Crs Code,Name,Changed By,Changed Date,NLC,16 Char Name,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Address Line 5,Postcode,Longitude,Latitude,Station Operator,Staffing Level,CCTV Available,Info. avail. from staff,Opening Note,CIS,Help Points,Help Points Available,Ticket Office Opening Note,Ticket Office Available,Ticket Office Location,Pre-purchase Collection,Ticket Machine Available,Oyster Issued,Oyster Topup,Oyster Pickup,Use Oyster,Oyster Comments,Smartcard Issued,Smartcard Topup,Smartcard Pickup,Smartcard Validator,Smartcard Comments,Travelcard Zone,Penalty Fares,Penalty Fares TOCs,Penalty Fares URL,Always show Oyster,Note,Primary Tel Country,Primary Tel Nr.,Primary Tel Ext.,Url,Available,Operator Name,Primary Tel Country,Primary Tel Nr.,Primary Tel Ext.,Url,Opening Note,Available,Operator Name,1st Class Lounge Note,1st Class Lounge Opening Note,1st Class Lounge Available,Seated Area Available,Seated Area Location,Waiting Room Opening Note,Waiting Room Available,Waiting Room Location,Trolleys Available,Refreshments Note,Refreshments Available,WC Available,WC Location,Baby Change Available,Baby Change Location,Showers Available,Telephones Exist,Telephones Usage Type,Wifi Note,Wifi Available,Web Kiosk Opening Note,Web Kiosk Available,Postbox Available,Postbox Location,Tourist Info Available,Tourist Info Location,ATM Available,ATM Location,Bureau de Change Available,Shops Note,Shops Available,Helpline Note,Helpline Contact,Helpline Opening Note,Staff Help Note,Staff Help Opening Note,Staff Help Available,Induction Loop,Accessible Ticket Machines Note,Accessible Ticket Machines Available,Height Adjusted Counter Note,Height Adjusted Counter Available,Train Access Ramp Available,Accessible Taxis,Accessible Phones,Nearest Stations More Facilities Note,National Key Toilets Available,National Key Toilets Location,Step Free Access Note,Step Free Access Available,Ticket Gates Note,Ticket Gates Available,Impaired Mobility Set Down Note,Impaired Mobility Set Down Available,Wheelchairs Opening Note,Wheelchairs Available,Spaces,Sheltered,Security,Location,Note,Type,Rail Replacement Note,Rail Replacement Map,Taxi Rank,Onward Travel,Metro Services,Airport,Port,Car Hire,Cycle Hire,Station Alert,TOCs,Station Category,Page Guid
ABE,Aber,KThimbleby,20/01/2014,381300,ABER,Nantgarw Road,-,,,,CF83 1AQ,-3.2298389345,51.5749606879,AW,partTime,Y,Yes - from ticket office,Same as ticket office opening times,,,N,,Y,,TicketOffice,N,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,,,,,http://www.arrivatrainswales.co.uk,N,,,0845 6061 660,,,,Y,,,,N,N,,,N,,N,,N,N,,N,,N,Y,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=CF83 1AQ&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Aber station</a></p>",N,,N,N,,N,,N,,N,,N,,08453 003 005,,Help provided by on train staff,,N,Y,,N,,N,Y,,,,N,,<p>Both platforms accesible only by ramps steeper than 1:12</p>,N,,,,N,,N,0,No,Y,,,,Use the bus stops under the bridge on Nantgarw Road,,,,,,,,,,AW,,2F0E4328983B4A1787C5DA3543167B65
ACY,Abercynon,spascos,19/07/2013,380100,ABERCYNON,Abercynon Railway Station,Station Road,Abercynon,,,CF45 4SE,-3.3270007535,51.6447060012,AW,unstaffed,Y,,,"DepartureScreens, ArrivalScreens",,Y,,N,,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,,,,,http://www.arrivatrainswales.co.uk,N,,,0845 6061 660,,,,Y,,,,N,N,,,N,,N,,N,N,,N,,N,N,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=CF45 4SE&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Abercynon South station</a></p>",N,,N,N,,N,,N,,N,,N,,08453 003 005,,,,N,Y,,Y,,N,Y,,,,N,,"<p>Both platforms accessed by short section of ramp steeper than 1:12, but suitable for use with caution.</p>",Y,,,,N,,N,0,No,Y,,,,<p>Wait outside the Navigation House pub</p>,,,,,,,,,,AW,,BE9930F9623945AA80DE965DA93F10B3
ABA,Aberdare,spascos,12/07/2013,398200,ABERDARE,Aberdare Railway Station,Abernant Road,Aberdare,Mid Glamorgan,,CF44 0PU,-3.4430991465,51.715057473,AW,partTime,Y,Yes - from ticket office,Same as ticket office,"DepartureScreens, ArrivalScreens",,Y,,Y,<p>Next to the ticket office at the top of the ramp</p>,"TicketOffice, TicketMachine",Y,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,,,,,http://www.arrivatrainswales.co.uk,N,,,0845 6061 660,,,,Y,,,,N,Y,,,N,,N,,N,N,,N,,N,Y,Cards,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=CF44 0PU&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Aberdare station</a></p>",N,,N,N,,N,,N,,N,,N,,08453 003 005,,,,N,Y,,Y,,N,Y,,,,N,,,Y,,,,N,,N,0,No,Y,,,,<p>Wait at Rail Link Bus stop adjacent to Leisure Centre</p>,,,"<p>Buy an Aberdare <em><strong>PLUSBUS</strong></em> ticket with your train ticket for discount-priced unlimited bus travel around the town. For details visit <a href=""http://www.plusbus.info"">www.plusbus.info</a></p>",,,,,,,AW,,F54C28741DF04876830A48D28EACA215
AVY,Aberdovey,jonesm,24/04/2013,443500,ABERDOVEY,Aberdovey Railway Station,Aberdovey,,,,LL35 0NR,-4.0570808351,52.543972227,AW,unstaffed,N,,,,,N,,N,,NotAvailable,N,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,,,,,http://www.arrivatrainswales.co.uk,N,,,0845 6061 660,,,,Y,,,,N,Y,,,N,,N,,N,N,,N,,N,N,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=LL35 0NR&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Aberdovey station</a></p>",N,,N,N,,N,,N,,N,,N,,08453 003 005,,Help provided by on train staff,,N,Y,,N,,N,N,,,,N,,<p>Currently (August 2009) the platform is too low for a ramp to be used for train access.&nbsp; Early in 2010 a hump will be installed to permit access by ramp to trains.</p>,N,,,,N,,N,5,No,N,on the platform,,,<p>In the station car park</p>,,<p>pick up and set down</p>,,,,,,,,AW,,0A2295A59B014DBE97D7554AB25B6C6F
ABH,Abererch,spascos,25/07/2013,444000,ABERERCH,Abererch Railway Station,Abererch,Pwllheli,,,LL53 6PJ,-4.3741959548,52.8986004612,AW,unstaffed,N,,,,,N,,N,,NotAvailable,N,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,,,,,http://www.arrivatrainswales.co.uk,N,,,0845 6061 660,,,,Y,,,,N,N,,,N,,N,,N,N,,N,,N,N,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=LL53 6PJ&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Abererch station</a></p>",N,,N,N,,N,,N,,N,,N,,08453 003 005,,Help provided by on train staff,,N,Y,,N,,N,N,,,,N,,<p>No wheelchair access to platform</p>,N,,,,N,,N,0,No,N,,,,Wait on access lane adjacent to level crossing,,,,,,,,,,AW,,79685BEB64E543B3A969192ACFB8CF4B
AGV,Abergavenny,spascos,19/07/2013,360200,ABERGAVENNY,Abergavenny Railway Station,Station Approach,Abergavenny,,,NP7 5HS,-3.0096642415,51.8166912401,AW,partTime,Y,Yes - from ticket office,,"DepartureScreens, Announcements, ArrivalScreens",,Y,,Y,<p>Station entrance</p>,"TicketOffice, TicketMachine",Y,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,,,,,http://www.arrivatrainswales.co.uk,N,,,0845 6061 660,,,,Y,,,,N,Y,,,Y,,N,Caf&eacute;,Y,Y,,N,,N,Y,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=NP7 5HS&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Abergavenny station</a></p>",N,,N,N,,N,,N,,N,,N,,08453 003 005,,<span>Staff help is available when the ticket office is open.  See Opening Hours in the Ticket Buying and Collection section for details.</span>,,Y,Y,,Y,,Y,Y,<p>located opposite station entrance</p>,<p>located opposite station entrance</p>,,N,<p>Entrance is through the station cafe</p>,<p>Newport bound platform only accessible by footbridge with 45 steps or by barrow crossing with lockable gates.&nbsp;Customers unable to use stairs must contact booking office staff for assistance over barrow crossing during staffing hours.</p>,N,,,,N,,Y,5,No,Y,in the car park near the station building,,Stands,<p>Outside the Great Western Hotel</p>,,<p>located opposite station entrance</p>,<p>Services available from apx 07:20 to 21:30</p> <p>&nbsp;</p>,,,,,,,AW,,3FD4089B0F7644FEBD460DFEA68D9FE4
AGL,Abergele & Pensarn,spascos,24/10/2013,244800,-,Abergele and Pensarn Railway Statio,Station Approach,Abergele,Clwyd,,LL22 7PR,-3.5826320621,53.2945909406,AW,unstaffed,N,,,DepartureScreens,,N,,N,,NotAvailable,N,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,,,,,http://www.arrivatrainswales.co.uk,N,,,0845 6061 660,,,,N,,,,N,Y,,,N,,N,,N,N,,N,,N,Y,Cards,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=LL22 7PR&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Abergele & Pensarn station</a></p>",N,,N,N,,N,,N,,N,,N,,08453 003 005,,Help provided by on train staff,,N,Y,,Y,,N,Y,,,,N,,,Y,,,,Y,,N,0,No,N,,,,Wait at the bus stops adjacent to Supermarket on Kingsway,,,,,,,,,,AW,,DB0392E6AA244CE5849E84698E388AEC
AYW,Aberystwyth,cevans,12/08/2013,430300,ABERYSTWYTH,Aberystwyth Railway Station,Station Yard,Alexandra Road,Aberystwyth,,SY23 1LH,-4.0819086977,52.4140569195,AW,partTime,Y,Yes - from ticket office,As ticket office opening hours,"DepartureScreens, Announcements, ArrivalScreens",<p>Ticket Office</p>,Y,,Y,<p>On the platform</p>,"TicketOffice, TicketMachine",Y,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,,,,,http://www.arrivatrainswales.co.uk,N,,,0845 6061 660,,,,Y,,,,N,Y,,,N,,N,Caf&eacute;,Y,Y,,Y,,N,N,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=SY23 1LH&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Aberystwyth station</a></p>",N,,N,N,,N,,N,,N,,N,,08453 003 005,,Help provided by on train staff,,N,Y,,Y,,N,Y,,,,N,<p>07:00 - 18:00 Monday to Saturday only</p>,,Y,,,,N,,N,4,No,Y,,,,Wait at side of the station opposite the station taxi rank,,<p>At station</p>,"<p>The Bus Station is located opposite the rail station.</p> <p>Arriva operates a network of regular local bus routes around Aberystwyth and to surrounding towns and villages. For route maps and timetables:</p> <p><a href=""http://www.arrivabus.co.uk/"">www.arrivabus.co.uk</a></p> <p> <p>Buy an Aberystwyth <em><strong>PLUSBUS</strong></em> ticket with your train ticket for discount-priced unlimited bus travel around the town. For details visit <a href=""http://www.plusbus.info"">www.plusbus.info</a></p> </p>",,,,,,,AW,,154095C159D04D52B910760C24F63255
AMF,Ammanford,cevans,12/08/2013,423600,AMMANFORD,Ammanford Railway Station,Ffordd-yr-Orsaf,Ammanford,,,SA18 2DD,-3.996765792,51.79597767,AW,unstaffed,N,,,DepartureScreens,,N,,N,,NotAvailable,N,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,,,,,http://www.arrivatrainswales.co.uk,N,,,0845 6061 660,,,,Y,,,,N,Y,,,N,,N,,N,N,,N,,N,N,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=SA18 2DD&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Ammanford station</a></p>",N,,N,N,,N,,N,,N,,N,,08453 003 005,,Help provided by on train staff.,,N,Y,,N,,N,Y,<p>Accessible taxis subject to availability from local suppliers</p>,,,N,,,Y,,,,N,,N,4,Yes,N,on the platform,,,<p>Wait outside the station exit adjacent to the level crossing.</p>,,,,,,,,,,AW,,A36C08D2FA4748718225F45711E16B74
BAJ,Baglan,cevans,12/08/2013,418600,BAGLAN,Seaway Parade,Baglan,Port Talbot,,,SA12 8ES,-3.8111623127,51.6155382192,AW,unstaffed,N,,,,,N,,N,,NotAvailable,N,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,,,,,http://www.arrivatrainswales.co.uk,N,,,0845 6061 660,,,,Y,,,,N,Y,,,N,,N,,N,N,,N,,N,N,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=SA12 8ES&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Baglan station</a></p>",N,,N,N,,N,,N,,N,,N,,08453 003 005,,Help provided by on train staff,,N,Y,,N,,N,Y,,<p>in station car park</p>,,N,,,Y,,,,N,,N,4,No,N,,,Stands,<p>Wait at the station entrance on Seaway Parade</p>,,,,,,,,,,AW,,A9B595E9A0AC40FE946C7313FC5BC90A
