"Crs Code","Name","Changed By","Changed Date","NLC","16 Char Name","Address Line 1","Address Line 2","Address Line 3","Address Line 4","Address Line 5","Postcode","Longitude","Latitude","Station Operator","Staffing Level","CCTV Available","Info. avail. from staff","Opening Note","CIS","Help Points","Help Points Available","Ticket Office Opening Note","Ticket Office Available","Ticket Office Location","Pre-purchase Collection","Ticket Machine Available","Oyster Issued","Oyster Topup","Oyster Pickup","Use Oyster","Oyster Comments","Smartcard Issued","Smartcard Topup","Smartcard Pickup","Smartcard Validator","Smartcard Comments","Travelcard Zone","Penalty Fares","Penalty Fares TOCs","Penalty Fares URL","Always show Oyster","Note","Primary Tel Country","Primary Tel Nr.","Primary Tel Ext.","Url","Available","Operator Name","Primary Tel Country","Primary Tel Nr.","Primary Tel Ext.","Url","Opening Note","Available","Operator Name","1st Class Lounge Note","1st Class Lounge Opening Note","1st Class Lounge Available","Seated Area Available","Seated Area Location","Waiting Room Opening Note","Waiting Room Available","Waiting Room Location","Trolleys Available","Refreshments Note","Refreshments Available","WC Available","WC Location","Baby Change Available","Baby Change Location","Showers Available","Telephones Exist","Telephones Usage Type","Wifi Note","Wifi Available","Web Kiosk Opening Note","Web Kiosk Available","Postbox Available","Postbox Location","Tourist Info Available","Tourist Info Location","ATM Available","ATM Location","Bureau de Change Available","Shops Note","Shops Available","Helpline Note","Helpline Contact","Helpline Opening Note","Staff Help Note","Staff Help Opening Note","Staff Help Available","Induction Loop","Accessible Ticket Machines Note","Accessible Ticket Machines Available","Height Adjusted Counter Note","Height Adjusted Counter Available","Train Access Ramp Available","Accessible Taxis","Accessible Phones","Nearest Stations More Facilities Note","National Key Toilets Available","National Key Toilets Location","Step Free Access Note","Step Free Access Available","Ticket Gates Note","Ticket Gates Available","Impaired Mobility Set Down Note","Impaired Mobility Set Down Available","Wheelchairs Opening Note","Wheelchairs Available","Spaces","Sheltered","Security","Location","Note","Type","Rail Replacement Note","Rail Replacement Map","Taxi Rank","Onward Travel","Metro Services","Airport","Port","Car Hire","Cycle Hire","Station Alert","TOCs","Station Category","Page Guid"
"AYS","Aylesbury","RCogger","21/02/2014",149200,"AYLESBURY","Station Way West","Aylesbury",,,,"HP20 1RU",-0.8150949655,51.8138961416,"CH","partTime","Y",,,"DepartureScreens, Announcements, ArrivalScreens",,"Y",,"Y","<p>At station entrance.</p>","TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N","<p>08456 005 165 (0830 to 1730, Mondays to Fridays)</p>",,,,"http://www.chilternrailways.co.uk/lostproperty","N",,,"08456 005 165",,,,"Y",,,,"N","Y",,,"Y",,"N","Coffee shop","Y","Y","In ticket office","Y","Female toilets","N","Y","CardsAndCoins",,"Y",,"N","Y","Outside the station","N",,"N",,"N",,"N",,"08456 005 165",,"Staff will assist wherever possible. Please note that the advertised availability of staff may differ from time to time without notice due to local arrangements or staff sickness.",,"Y","Y",,"Y",,"Y","Y","<p>For taxis from all UK stations visit www.traintaxi.co.uk.</p>",,,"Y",,"<p>Flat access to Platform 3  is available at all times.</p> <p>Lifts are in operation to and from Platforms 1 and 2<strong>.<br /> </strong></p>","Y",,,"<p>In front of station</p>","Y",,"Y",155,"Yes","Y","By the car park entrance to Platform 3.",,"Stands","<p>From the front of the station.</p>",,"<p>At front of station.</p>","<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/AYS.pdf"">here</a></p>",,,,,,,"CH",,"85605130C87C4627B1EB124137098AEB"
"AVP","Aylesbury Vale Parkway","RCogger","27/09/2013",1090,"Aylebury V Pkwy","Aylesbury Vale Parkway","Bicester Road","Aylesbury",,,"HP18 0PS",-0.860787,51.830795,"CH","partTime","Y",,,"DepartureScreens, Announcements, ArrivalScreens",,"Y",,"Y",,"TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N","<p>08456 005 165 (0830 to 1730, Mondays to Fridays)</p>",,,,"http://www.chilternrailways.co.uk/lostproperty","N",,,"08456 005 165",,,,"Y",,,,"N","N",,,"N",,"N","Caf&eacute;","Y","Y",,"Y",,"N","Y","Coins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=HP20 1RU&amp;z=9&amp;radRoaming=1"" target=""_blank""></a></p>","N",,"N","N",,"N",,"N",,"N",,"N",,"08456 005 165",,,,"Y","Y",,"Y",,"Y","Y",,,,"N",,,"Y",,,,"N",,"N",40,"Yes","Y",,"<p>Another 10 racks are available for motorbike parking.</p>","Wheel Racks",,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/AVP.pdf"">here</a></p>",,,,,,,"CH",,"25EEF7E9AA75410380CC2989591A66CD"
"BAN","Banbury","RCogger","27/02/2014",450200,"BANBURY.","Station Road","Banbury","Oxfordshire",,,"OX16 5AB",-1.3281304545,52.0603128185,"CH","fullTime","Y",,,"DepartureScreens, Announcements, ArrivalScreens",,"Y",,"Y","<p>Near ticket office.</p>","TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,"Applicable Operators: Chiltern Railways, CrossCountry, First Great Western","CH, XC, GW",,"N","<p>08456 005 165 (0830 to 1730, Mondays to Fridays)</p>",,,,"http://www.chilternrailways.co.uk/lostproperty","N",,,"08456 005 165",,,,"Y",,,,"N","Y",,,"N",,"N","Caf&eacute;","Y","Y",,"Y",,"N","Y","CardsAndCoins",,"Y",,"N","N",,"N",,"N",,"N","Kiosk News agent","Y",,"08456 005 165",,"Staff will assist wherever possible. Please note that the advertised availability of staff may differ from time to time without notice due to local arrangements or staff sickness.",,"Y","Y",,"Y",,"N","Y","<p>For taxis from all UK stations visit www.traintaxi.co.uk.</p>",,,"N","<p>On the platform bridge.</p>","<p>Flat access to all platforms via lifts.</p>","N",,,"<p>At station entrance.</p>","Y",,"Y",80,"Yes","Y","Near station entrance next to taxi rank.",,"Stands","<p>Rail replacement buses depart from the front of the station.</p>",,"<p>At front of station.</p>","<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/BAN.pdf"">here</a></p>",,,,,,,"CH",,"DB9C9878C1204C35B48E777FEDB9A69F"
"BCF","Beaconsfield","Unknown","08/01/2014",304700,"BEACONSFIELD","Penn Road","New Town","Beaconsfield",,,"HP9 2PJ",-0.6438176751,51.6112906569,"CH","partTime","Y",,,"DepartureScreens, Announcements",,"Y",,"Y","<p>In the booking hall to platform1, and before the station entrance to platform 2.</p>","TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N","<p>We welcome your feedback, suggestions and ideas to help us to make changes to improve your services.</p>",,,,"http://www.chilternrailways.co.uk/lostproperty","N",,,"08456 005 165",,,,"Y",,,,"N","N",,,"N",,"N","Coffee kiosk","Y","Y",,"Y","Female toilets","N","Y","CardsAndCoins",,"Y",,"N","N",,"N",,"N",,"N","Kiosk","Y",,"08456 005 165",,"Staff will assist wherever possible. Please note that the advertised availability of staff may differ from time to time without notice due to local arrangements or staff sickness.",,"Y","Y",,"Y",,"N","Y","<p>For taxis from all UK stations visit <a href=""http://www.traintaxi.co.uk"">www.traintaxi.co.uk</a></p>",,,"N",,"<p>Flat access to all platforms via two separate road entrances.</p>","Y",,,"<p>In front of station.</p>","N",,"N",82,"Yes","Y","In the ground floor car park area and on Platform 1.",,"Stands","<p>At main station entrance.</p>",,"<p>Taxi office on platform 2 .</p>","<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/BCF.pdf"">here</a></p>",,,,,,,"CH",,"02D47BDCA1C9446BA0E6109218D9FBE8"
"BCS","Bicester North","RCogger","28/01/2014",304800,"BICESTER NORTH","Chiltern Approach","Buckingham Road","Bicester",,,"OX26 6EF",-1.1503768782,51.9034915253,"CH","partTime","Y","Yes - from ticket office",,"DepartureScreens, Announcements",,"Y",,"Y","<p>At main station entrance and in the ticket office building.</p>","TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N","<p>We welcome your feedback, suggestions and ideas to help us to make changes to improve your services.</p>",,,,"http://www.chilternrailways.co.uk/lostproperty","N",,,"08456 005 165",,,,"Y",,,,"N","Y",,,"Y",,"N","Coffee shop","Y","Y",,"Y","Female toilets","N","N","CardsAndCoins",,"Y",,"N","N",,"N",,"N",,"N",,"N",,"08456 005 165",,"Ticket office staff will assist wherever possible. Please note that the advertised availability of staff may differ from time to time without notice due to local arrangements or staff sickness.",,"Y","Y",,"Y",,"Y","Y","<p>For taxis from all UK stations visit www.traintaxi.co.uk.</p>",,,"N",,"<p>Flat free access to platform 1 (services towards Bimrmingham) <br/><br/>Flat free access via lift fro patfrom 2 (services towards London).<br/>The lift is available Monday to Friday from 0600 to 2300, Sunday from 0600 to 1600. If you are travelling outside of these hours and require assistance, please call 08456 005165.</p>","N",,,"<p>In front of station.</p>","Y",,"N",80,"Yes","Y","By the Bicester Village Shuttle Bus stop and also on opposite side of station approach from this bus stop.",,"Stands","<p>Rail replacement buses depart from the front of the station.</p>",,"<p>At front of station.</p>","<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/BCS.pdf"">here</a></p>",,,,,,,"CH",,"6C0B3AD88EC74D06907A2F01C9814B0B"
"BIT","Bicester Town","RCogger","13/02/2014",310400,"BICESTER TOWN","London Road","Bicester",,,,"OX26 6HU",-1.1480658623,51.893494431,"CH","unstaffed","Y",,,,,"Y",,"N",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,"08456 005 165",,,,"Y",,,,"N","Y",,,"N",,"N",,"N","N",,"N",,"N","Y","CardsAndCoins",,"N",,"N","N",,"N",,"N",,"N",,"N",,,,"Please note station is unstaffed. Please call our assist line if you require assistance at this station.",,"N","Y",,"N",,"N","N",,,,"N",,,"Y",,,,"N",,"N",18,"Yes","Y","<p>By platform entrance</p>",,,"<p>Station car park</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/BIT.pdf"">here</a></p>",,,,,,"<div class=""msg""> <p>No trains from this station until further notice whilst the line is rebuilt. Replacement buses stop in Station Approach.</p> </div>","CH",,"3FFDB1B6C97C46C58A010C76121A91C3"
"BMO","Birmingham Moor Street","cplewa","20/11/2013",451500,"BIRMINGHAM M ST","Queensway","Birmingham",,,,"B4 7UL",-1.8924690801,52.4790880017,"CH","partTime","Y",,,"DepartureScreens, Announcements, ArrivalScreens",,"Y",,"Y","<p>Next to main ticket office.</p>","TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N","<p>We welcome your feedback, suggestions and ideas to help us to make changes to improve your services.</p>",,,,"http://www.chilternrailways.co.uk/lostproperty","N",,,"08456 005 165",,,,"Y",,,,"N","Y",,,"Y",,"N","Caf&eacute;, Buffet, Coffee kiosk","Y","Y",,"Y","Female toilets","N","Y","CardsAndCoins",,"Y",,"Y","N",,"N",,"Y","Located within a retail outlet on the station","N","Newsagent, Flower stall","Y",,"08456 005 165",,"Staff will assist wherever possible. Please note that the advertised availability of staff may differ from time to time without notice due to local arrangements or staff sickness.",,"Y","Y",,"Y",,"Y","Y","<p>For taxis from all UK stations visit www.traintaxi.co.uk.</p>",,,"N",,"<p>Flat access to all platforms.</p>","Y",,,"<p>At the main entrance.</p>","Y",,"N",28,"Yes","Y","Between Platforms 1 and 3 at the south end of the station.",,"Wheel Racks","<p>This station is not usually served by rail replacement buses, due to difficult road access. <br/>Replacement buses stop at <a href=""http://www.nationalrail.co.uk/stations/bsw/details.html"" target=""_blank"">Birmingham Snow Hill station</a>.</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/BMO.pdf"">here</a></p>",,,,,,,"CH",,"EA7C62D3E3964AA492DFC205A388F5CB"
"DNM","Denham","RCogger","17/02/2014",305200,"DENHAM","North Orbital Road","Denham Green","Denham","Greater London",,"UB9 5ES",-0.4974283469,51.5788353968,"CH","partTime","Y",,,"DepartureScreens, Announcements",,"Y",,"Y","<p>At station entrance.</p>","TicketMachine","Y","N","N","NotAvailable","N","Denham station is NOT within the London Oyster zones.","N","N","NotAvailable","N",,,,,,"Y","<p>We welcome your feedback, suggestions and ideas to help us to make changes to improve your services.</p>",,,,"http://www.chilternrailways.co.uk/lostproperty","N",,,"08456 005 165",,,,"Y",,,,"N","Y",,,"Y",,"N","Coffee kiosk","Y","Y",,"Y",,"N","Y","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=UB9 5ES&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Denham station</a></p>","Y",,"N","N",,"N",,"N",,"N","<p>Newsagents</p>","Y",,"08456 005 165",,"Ticket office staff will assist wherever possible. Please note that the advertised availability of staff may differ from time to time without notice due to local arrangements or staff sickness.",,"Y","Y",,"Y",,"N","Y","<p>For taxis from all UK stations visit <a href=""http://www.traintaxi.co.uk"">www.traintaxi.co.uk</a></p> <p><br/></p>",,,"N",,"<p>Flat access to all platforms via lifts.</p>","Y",,,"<p>At station entrance.</p>","Y",,"N",8,"Yes","Y","Near station entrance.",,"Stands","<p>At station entrance.</p>",,"<p><br/></p>","<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/DNM.pdf"">here</a></p>",,,,,,,"CH",,"291AE0D9E0A3467E92379B7891D25E78"
"DGC","Denham Golf Club","RCogger","20/02/2014",306000,"DENHAM GOLF CLUB","Slade Oak Lane","Higher Denham","Buckinghamshire",,,"UB9 5EJ",-0.5177787339,51.5805959151,"CH","unstaffed","Y",,,"DepartureScreens, Announcements",,"Y",,"N","<p>Permit to Travel machine at the entrance to Platform 2.</p>","NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N","<p>We welcome your feedback, suggestions and ideas to help us to make changes to improve your services.</p>",,,,"http://www.chilternrailways.co.uk/lostproperty","N",,,"08456 005 165",,,,"Y",,,,"N","N",,,"N",,"N",,"N","N",,"N",,"N","N","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=UB9 5DE&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Denham Golf Club station</a></p>","N",,"N","N",,"N",,"N",,"N",,"N",,"08456 005 165",,,,"N","Y",,"N",,"N","N","<p>For taxis from all UK stations visit www.traintaxi.co.uk.</p>",,"<p>The nearest station(s) with more facilities than Denham Golf Club are:</p> <ul> <li>Gerrards Cross</li> </ul>","N",,"<p><br/></p>","Y",,,,"N",,"N",3,"No","Y","At the entrance to the London bound platform.",,"Stands","<p>This station is generally not served by rail replacement buses, due to difficult road access. Passengers should use the Passenger Help Point on the station to arrange for a taxi.</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/DGC.pdf"">here</a></p>",,,,,,,"CH",,"32D70282FCAA4B3EBF73E74FE5D11219"
"DDG","Dorridge","RCogger","07/11/2013",452500,"DORRIDGE.","Station Approach","Dorridge","Solihull","West Midlands",,"B93 8JA",-1.7529081558,52.3720828621,"CH","partTime","Y",,,"DepartureScreens, Announcements","<p><br/></p>","Y","None","Y","<p>On&nbsp; Platform 1.</p>","TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N","<p><br/></p>",,,,,"N",,,,,,,"Y",,,,"N","Y",,,"Y",,"N",,"Y","Y",,"N",,"N","N","CardsAndCoins","<p>Find WiFi Hotspots around Dorridge station</p>","Y",,"N","N",,"N",,"N",,"N",,"N",,"0800 0924260",,"To ensure that we provide the best service possible we recommend that customers who require assistance book with us and provide at least 1 working day's notice. We will always aim to assist customers whether they have booked assistance or not. Booking assistance gives you the extra reassurance that your needs will be met. We operate some stations that are either unstaffed or only staffed at certain times. If we are given prior notification, it will allow us to put in place the necessary arrangements to ensure you are able to make the journey you want.",,"Y","Y","<p>&nbsp;On Platform One (London direction).</p>","Y","<p>None</p>","Y","Y",,"<p>none</p>",,"N",,"<p>Level access to Booking Hall and platform 1 (services towards Leamington Spa, Banbury, London Marylebone). Footbridge with 24 steps up and down to platforms 2-3, lifts available to both platforms.&nbsp;</p>","N",,,"<p>Marked taxi stopping bay</p>","Y",,"N",30,"Yes","Y","next to the waiting room on Platform 1","<p>.</p>","Stands, Lockers",,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/DDG.pdf"">here</a></p>",,,,,,,"CH",,"E1117D7E34BD4930894CFD5C2AD7A71D"
