"Crs Code","Name","Changed By","Changed Date","NLC","16 Char Name","Address Line 1","Address Line 2","Address Line 3","Address Line 4","Address Line 5","Postcode","Longitude","Latitude","Station Operator","Staffing Level","CCTV Available","Info. avail. from staff","Opening Note","CIS","Help Points","Help Points Available","Ticket Office Opening Note","Ticket Office Available","Ticket Office Location","Pre-purchase Collection","Ticket Machine Available","Oyster Issued","Oyster Topup","Oyster Pickup","Use Oyster","Oyster Comments","Smartcard Issued","Smartcard Topup","Smartcard Pickup","Smartcard Validator","Smartcard Comments","Travelcard Zone","Penalty Fares","Penalty Fares TOCs","Penalty Fares URL","Always show Oyster","Note","Primary Tel Country","Primary Tel Nr.","Primary Tel Ext.","Url","Available","Operator Name","Primary Tel Country","Primary Tel Nr.","Primary Tel Ext.","Url","Opening Note","Available","Operator Name","1st Class Lounge Note","1st Class Lounge Opening Note","1st Class Lounge Available","Seated Area Available","Seated Area Location","Waiting Room Opening Note","Waiting Room Available","Waiting Room Location","Trolleys Available","Refreshments Note","Refreshments Available","WC Available","WC Location","Baby Change Available","Baby Change Location","Showers Available","Telephones Exist","Telephones Usage Type","Wifi Note","Wifi Available","Web Kiosk Opening Note","Web Kiosk Available","Postbox Available","Postbox Location","Tourist Info Available","Tourist Info Location","ATM Available","ATM Location","Bureau de Change Available","Shops Note","Shops Available","Helpline Note","Helpline Contact","Helpline Opening Note","Staff Help Note","Staff Help Opening Note","Staff Help Available","Induction Loop","Accessible Ticket Machines Note","Accessible Ticket Machines Available","Height Adjusted Counter Note","Height Adjusted Counter Available","Train Access Ramp Available","Accessible Taxis","Accessible Phones","Nearest Stations More Facilities Note","National Key Toilets Available","National Key Toilets Location","Step Free Access Note","Step Free Access Available","Ticket Gates Note","Ticket Gates Available","Impaired Mobility Set Down Note","Impaired Mobility Set Down Available","Wheelchairs Opening Note","Wheelchairs Available","Spaces","Sheltered","Security","Location","Note","Type","Rail Replacement Note","Rail Replacement Map","Taxi Rank","Onward Travel","Metro Services","Airport","Port","Car Hire","Cycle Hire","Station Alert","TOCs","Station Category","Page Guid"
"AAP","Alexandra Palace","RDService","26/03/2014",602500,"ALEXANDRA PALACE","Station Road","Wood Green","Greater London",,,"N22 7ST",-0.120143081,51.59828928,"FC","partTime","Y",,,"DepartureScreens, Announcements","These are available on both the London and North bound platforms.","Y","Ticket office closed Mon - Fri between 12:40 and 15:30","Y","<p>Station Entrance</p>","TicketOffice, TicketMachine","Y","N","Y","TicketMachine","Y","TopUp only available from Ticket machine","N","N","NotAvailable","N",,"Zone 3",,,,"Y",,,,,"www.firstcapitalconnect.co.uk/lostproperty","N",,,"0845 026 4700",,,"open 7 days a week, from 0700 to 2200, except Christmas Day","Y","First Capital Connect",,,"N","Y",,,"Y","On Platforms 3 & 4","N",,"Y","N",,"N",,"N","N","CardsAndCoins","<p><a href=""""http://btopenzone.hotspot-directory.com/results.php?txtQuick=N22 7ST&z=9&radRoaming=1"""" target=""""_blank"""">Find WiFi Hotspots around Alexandra Palace station</a></p>","N",,"N","N",,"N",,"Y","Booking hall","N",,"Y",,"0800 058 2844",,"Staff assistance may be available but the arrangements must be pre-booked and First Capital Connect may offer a suitable alternative. Please phone the Helpline on 0800 058 2844.",,"Y","Y",,"Y","Discretion is shown and assistance is provided where appropriate","N","N","<p>Accessible taxis are not available</p>","<p>Public telephones are not accessible</p>","The nearest station(s) with more facilities are: Kings Cross","N",,"The Booking Office is accessible from the street. Via the footbridge. Stairs to all 3 platforms.","Y",,,,"N",,"N",20,"Yes","Y","inside booking office, and opposite booking office",,"Stands","<p>Customers travelling to Hornsey and Harringay should use the local bus routes W3 and 29.Southbound and Northbound will stop at bus stop N/S on the far side of Buckingham Road opposite the station exit.Buses to Harringay will stop at bus stop 29 on the far side of High Road. Exit station turn right and follow Station Road to the junction.Buses to Hornsey will stop at bus stop W3 on the near side of Buckingham Road outside the station exit.</p>",,"<p>Taxi office located in Booking Hall area.</p>","<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/AAP.pdf"""">here</a></p>",,,,,"<p>The cycle rack is located in the booking hall.</p>",,"FC",,"60E0923A8DD44D53ADC7D0189986FB5C"
"ARL","Arlesey","RDService","26/03/2014",617100,"ARLESEY","Old Oak Close","Arlesey",,,,"SG15 6XA",-0.266316514,52.02604173,"FC","partTime","Y",,,,,"N",,"Y","<p>Station Entrance</p>","TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,"www.firstcapitalconnect.co.uk/lostproperty","N",,,"0845 026 4700",,,"open 7 days a week, from 0700 to 2200, except Christmas Day","Y","First Capital Connect",,,"N","Y",,,"N",,"N",,"N","N",,"N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=SG15 6XA&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Arlesey station</a>","N",,"N","N",,"N",,"N",,"N",,"N",,"0800 058 2844",,"Staff assistance may be available but the arrangements must be pre-booked and First Capital Connect may offer a suitable alternative. Please phone the Helpline on 0800 058 2844.",,"Y","Y",,"N","<p>Discretion is shown and assistance is provided where appropriate</p>","N","N","<p>Accessible taxis are not available</p>","<p>Public telephones are not accessible</p>",,"N",,"<p>Services are available from Platform 2 (north bound) at all times. Step free access to Platform 1 (London bound) is only available during Ticket Office opening hours. The nearest station which is fully step free accessible is Stevenage.</p>","N",,,"<p>Set-Down/ Pick Up Points are available at the entrance to Platform 2 at all times. Step free access to & from Platform 1 is only available during the Ticket Office opening hours.</p>","Y",,"N",36,"No","Y","Front right hand side","<p>Cycle storeage is situated at the entrance to the car park of Old Oak Close.</p>","Stands","<p>Southbound and Northbound buses will stop directly outside the station exit.</p>",,,"<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/ARL.pdf"""">here</a></p>",,,,,,,"FC",,"3449815594FE45E0B6F5E310C12DF922"
"AWM","Ashwell & Morden","RDService","26/03/2014",608300,"-","Station Road","Odsey","Baldock","Herts",,"SG7 5RT",-0.109781119,52.03078237,"FC","partTime","Y",,,,"Help points are available on both platforms and in the car park.","Y",,"Y","Station Entrance","TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,"www.firstcapitalconnect.co.uk/lostproperty","N",,,"0845 026 4700",,,"open 7 days a week, from 0700 to 2200, except Christmas Day","Y","First Capital Connect",,,"N","Y",,,"N",,"N",,"N","N",,"N",,"N","N","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=SG7 5RT&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Ashwell & Morden station</a>","N",,"N","N",,"N",,"N",,"N",,"N",,"0800 058 2844",,"Staff assistance may be available but the arrangements must be pre-booked and First Capital Connect may offer a suitable alternative. Please phone the Helpline on 0800 058 2844.",,"Y","Y",,"N","Discretion is shown and assistance is provided where appropriate","N","N","<p>Accessible taxis are not available</p>","Public telephones are not accessible","The nearest station(s) with more facilities than Ashwell & Morden are: <ul><li>Baldock</ul>","N",,"Not suitable, stairs to both platforms and Booking Office","N",,,,"N",,"N",12,"Yes","Y","STATION ENTRANCE",,"Stands","<p>Southbound and Northbound buses will stop in the station forecourt.</p>",,,"<p><a href=""""http://www.nationalrail.co.uk/posters/AWM.pdf""""></a></p>",,,,,,,"FC",,"1A6B3DE5DB0D4D5C86BCCAE6046F9FEA"
"BDK","Baldock","RDService","26/03/2014",608400,"BALDOCK","Station Road","Baldock","Herts",,,"SG7 5BU",-0.187558402,51.99288055,"FC","partTime","Y",,,,"Help points are available on both platforms and in the car park.","Y",,"Y","Station entrance","TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,"www.firstcapitalconnect.co.uk/lostproperty","N",,,"0845 026 4700",,,"open 7 days a week, from 0700 to 2200, except Christmas Day","Y","First Capital Connect",,,"N","Y",,,"Y","On Platform 1. Only open during ticket office opening hours","N",,"N","N",,"N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=SG7 5BU&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Baldock station</a>","N",,"N","N",,"N",,"N",,"N",,"N",,"0800 058 2844",,"Staff assistance may be available but arrangements must be pre-booked and First Capital Connect may offer a suitable alternative. Please phone the Helpline on 0800 058 2844.",,"Y","Y",,"N","Discretion is shown and assistance is provided where appropriate","N","N","<p>Accessible taxis are not available</p>","<p>Public telephones are not accessible</p>","The nearest station(s) with more facilities than Baldock are: <ul><li>Letchworth</ul>","N",,"The Booking Office is accessible from the street. The platforms are only accessible by the stairs. The nearest stations with step free access are Stevenage or Royston","N",,,,"N",,"N",20,"Yes","Y","STATION ENTRANCE AND CAR PARK",,"Stands","<p>Southbound and Northbound buses will stop in the station forecourt.</p>",,,"<p><a href=""""http://www.nationalrail.co.uk/posters/BDK.pdf""""></a></p>",,,,,,,"FC",,"AE0A6BD4FDCB49D88B7A9B3A09644E1D"
"BAY","Bayford","RDService","26/03/2014",600600,"BAYFORD","Bayford","-",,,,"SG13 8PH",-0.095603552,51.75771888,"FC","unstaffed","Y",,,,"Help points are available on both platforms and in the car park.","Y",,"N",,"TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,"www.firstcapitalconnect.co.uk/lostproperty","N",,,"0845 026 4700",,,"open 7 days a week, from 0700 to 2200, except Christmas Day","Y","First Capital Connect",,,"N","Y",,,"N",,"N",,"N","N",,"N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=SG13 8PH&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Bayford station</a>","N",,"N","N",,"N",,"N",,"N",,"N",,"0800 058 2844",,"Staff assistance may be available but arrangements must be pre-booked and First Capital Connect may offer a suitable alternative. Please phone the Helpline on 0800 058 2844.",,"N","Y",,"N",,"N","N","<p>Accessible taxis are not available</p>","<p>Public telephones are not accessible</p>","<p>The nearest station(s) with more facilities than Bayford are:</p> <ul> <li>Hertford</li> <li>Cuffley</li> </ul>","N",,"<p>Platform 1 has step free access. However, Platform 2 is only accessible via the footbridge. The nearest station with full step free access is Hertford North.</p>","N",,,,"N",,"N",10,"No","Y","Cycle rack in car park",,"Stands","<p>Southbound buses will stop on the near side of Brickendon Lane.Northbound buses will stop on the far side of Brickendon Lane.</p>",,,"<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/CWH.pdf"""">here</a></p> <p><a href=""""http://www.nationalrail.co.uk/posters/BAY.pdf""""></a></p>",,,,,,,"FC",,"19140AF245EE41479E79578DE1FA211B"
"BDM","Bedford","RDService","26/03/2014",151200,"BEDFORD.","Ashburnham Road","Bedford",,,,"MK40 1DR",-0.479444432,52.13620145,"FC","fullTime","Y",,,,"<p>on platforms</p>","Y",,"Y","<p>Ticket Hall</p>","TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,"www.firstcapitalconnect.co.uk/lostproperty","N",,,"0845 026 4700",,,"open 7 days a week, from 0700 to 2200, except Christmas Day","Y","First Capital Connect",,,"N","Y",,,"Y","Pumpkin on main concourse and waiting rooms on platforms","N",,"Y","Y",,"N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=MK40 1DR&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Bedford station</a>","N",,"N","Y",,"N",,"Y","booking hall","N",,"Y",,"0800 058 2844",,"Please phone the Helpline on 0800 058 2844 to ensure that arrangements are in place.",,"Y","Y",,"Y",,"N","Y","<p>Accessible taxis are available</p>","<p>Public telephones are not accessible</p>",,"Y",,"<p>Ramp access to main entrance. Lifts and stairs to all platforms. Barriers with side gate for easy wheelchair access</p>","Y",,,,"Y",,"Y",386,"No","Y","front right hand side, and station front",,"Stands","<p>Rail replacement bus services run to and from Bedford station in Ashburnham Road.</p>",,,"<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/BDM.pdf"""">here</a></p>",,,,,,,"FC",,"AF2EFB207F904E898150FA4DE6672474"
"BIW","Biggleswade","RDService","26/03/2014",617000,"BIGGLESWADE","Station Road","Biggleswade",,,,"SG18 8AL",-0.261183356,52.08469197,"FC","partTime","Y",,,"DepartureScreens, Announcements","Help points are available on platform 1, station entrance and car park","Y",,"Y","Station Entrance","TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,"www.firstcapitalconnect.co.uk/lostproperty","N",,,"0845 026 4700",,,"open 7 days a week, from 0700 to 2200, except Christmas Day","Y","First Capital Connect",,,"N","Y",,"open while station staffed","Y","Platform 1","N",,"Y","N",,"N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=SG18 8AL&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Biggleswade station</a>","N",,"N","N",,"N",,"N",,"N",,"N",,"0800 058 2844",,"Staff assistance may be available but arrangements must be pre-booked and First Capital Connect may offer a suitable alternative. Please phone the Helpline on 0800 058 2844.",,"Y","Y",,"Y","Discretion is shown and assistance is provided where appropriate","N","N","<p>Accessible taxis are not available</p>","<p>Public telephones are not accessible</p>",,"N",,"The Booking Office is accessible from the street. However, the platforms are only available from the footbridge. The nearest station with step free access is Sandy. Customers using Platform 1 at Sandy (London bound) may require some assistance due to the steepness of the slope.","N",,,,"N",,"N",64,"No","Y","front left hand side",,"Stands","<p>Southbound and Northbound buses will stop in the station forecourt.</p>",,,"<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/BIW.pdf"""">here</a></p>",,,,,,,"FC",,"0376CB465914400D98918CC9CDA965D4"
"BOP","Bowes Park","RDService","26/03/2014",602700,"BOWES PARK","Myddleton Road","Bowes Park",,,,"N22 4NT",-0.119771828,51.60727599,"FC","partTime","Y",,,,"This is available on the platform.","Y",,"Y","<p>Bottom of stairs to platform</p>","TicketMachine","Y","N","Y","TicketMachine","Y",,"N","N","NotAvailable","N",,"Zone 3/4",,,,"Y",,,,,"www.firstcapitalconnect.co.uk/lostproperty","N",,,"0845 026 4700",,,"open 7 days a week, from 0700 to 2200, except Christmas Day","Y","First Capital Connect",,,"N","Y",,,"N",,"N",,"N","N",,"N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=N22 4NT&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Bowes Park station</a>","N",,"N","N",,"N",,"N",,"N",,"N",,"0800 058 2844",,"Staff assistance may be available but arrangements must be pre-booked and First Capital Connect may offer a suitable alternative. Please phone the Helpline on 0800 058 2844",,"Y","Y",,"N","Discretion is shown and assistance is provided where appropriate","N","N","<p>Accessible taxis are not available</p>","Public telephones are not accessible",,"N",,"Stairs to both platforms. The nearest station with step free access is Kings Cross.","N",,,,"N",,"N",0,"No","Y",,,,"Southbound buses will stop on the near side of Bounds Green Road, directly opposite Bounds Green Infant School.Northbound buses will stop on the far side of Bounds Green Road, directly opposite the Total petrol station.",,,"<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/BOP.pdf"""">here</a></p>",,,,,,,"FC",,"BB8A4F2E8B434C13A2440009A568D30E"
"BPK","Brookmans Park","RDService","26/03/2014",607400,"BROOKMANS PK","Station Road","Hatfield",,,,"AL9 7SS",-0.204545558,51.72106344,"FC","partTime","Y",,,,"On platforms and car park.","Y",,"Y","Station Entrance","TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,"www.firstcapitalconnect.co.uk/lostproperty","N",,,"0845 026 4700",,,"open 7 days a week, from 0700 to 2200, except Christmas Day","Y","First Capital Connect",,,"N","Y",,,"N",,"N",,"N","N",,"N",,"N","N","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=AL9 7SS&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Brookmans Park station</a>","N",,"N","N",,"N",,"N",,"N",,"N",,"0800 058 2844",,"Staff assistance may be available but arrangements must be pre-booked and First Capital Connect may offer a suitable alternative. Please phone the Helpline on 0800 058 2844.",,"Y","Y",,"Y","Discretion is shown and assistance is provided where appropriate","N","N","<p>Accessible taxis are not available</p>","Public telephones are not accessible","The nearest station(s) with more facilities than Brookmans Park are: <ul><li>Potters Bar<li>Hatfield</ul>","N",,"The Booking Office is accessible from the street. However, the platforms are only accessible via the footbridge. The nearest station with step free access is Potters Bar","N",,,,"N",,"N",10,"Yes","Y","Between the footbridge and booking office",,"Stands","<p>Southbound buses will stop on the far side of Station Road before the railway bridge. Northbound buses will stop on the near side of Station Road before the railway bridge.</p>",,,"<p><a href=""""http://www.nationalrail.co.uk/posters/BPK.pdf""""></a></p>",,,,,,,"FC",,"0A30033C04CF4F93A13B5A6A18032E96"
"CTK","City Thameslink","RDService","26/03/2014",512100,"CITY THAMESLINK","Ludgate Hill","Greater London",,,,"EC4M 7JH",-0.103584554,51.51394069,"FC","partTime","Y",,,,"<p>On concourse and platforms</p>","Y","Times above apply to Ludgate ticket office only. The times for the Holborn ticket are: Mon - Fri: 07:15 - 10:50 and 16:10 - 19:45 Sat - Sun: Closed","Y","<p>Station Entrance</p>","TicketMachine","Y","Y","Y","TicketMachine","Y",,"N","N","NotAvailable","N",,"Zone 1",,,,"Y",,,,,"www.firstcapitalconnect.co.uk/lostproperty","N",,,"0845 026 4700",,,"open 7 days a week, from 0700 to 2200, except Christmas Day","Y","First Capital Connect",,,"N","Y",,,"N",,"N",,"Y","Y",,"Y",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=EC4M 7JH&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around City Thameslink station</a>","N",,"N","N",,"N",,"Y",,"N",,"Y",,"0800 058 2844",,"Please phone the Helpline on 0800 058 2844 to ensure arrangements are in place.",,"Y","Y",,"N","<p>Fully accessible multi level counters.</p>","Y","Y","<p>Accessible taxis are available</p>","<p>Public telephones are not accessible</p>",,"Y",,"<p>Ramp access to entrance. Lifts and escalators to all platforms.</p>","Y",,,,"N",,"Y",28,"No","Y",,,"Stands",,,"Outside the Holborn entrance","<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/CTK.pdf"""">here</a></p>",,,,,"On Your Bike.Com<br />1 mile away from the station (20 minutes walk)<br />52-54 Tooley Street, London, London, SE1 2SZ <br />Tel: 020 7378 6669 <br />www.onyourbike.com <br />The London Bicycle Repair Shop <br />0.7 miles away from the station (14 minutes walk)<br />Shop 2-3, Benson House, Hatfields, London, SE1 8DQ <br />Tel: 020 7928 6898<br />www.londonbicycle.com <br />Lightride Distribution Ltd<br />0.4 miles away from the station (8 minutes walk)<br />88-90, Hatton Garden, London, EC1N 8PN<br />Tel: 0844 8704048<br />www.lightride.co.uk <br />London Bicycle Tour Co<br />0.6 miles away from the station (12 minutes walk)<br />Gabriels Wharf, 56, Upper Ground, London, SE1 9PP 0.6 miles away <br />Tel: 020 7928 6838<br />www.londonbicycle.com",,"FC",,"8F2A5E5FB6644C10A746E0E35C087452"
