"Crs Code","Name","Changed By","Changed Date","NLC","16 Char Name","Address Line 1","Address Line 2","Address Line 3","Address Line 4","Address Line 5","Postcode","Longitude","Latitude","Station Operator","Staffing Level","CCTV Available","Info. avail. from staff","Opening Note","CIS","Help Points","Help Points Available","Ticket Office Opening Note","Ticket Office Available","Ticket Office Location","Pre-purchase Collection","Ticket Machine Available","Oyster Issued","Oyster Topup","Oyster Pickup","Use Oyster","Oyster Comments","Smartcard Issued","Smartcard Topup","Smartcard Pickup","Smartcard Validator","Smartcard Comments","Travelcard Zone","Penalty Fares","Penalty Fares TOCs","Penalty Fares URL","Always show Oyster","Note","Primary Tel Country","Primary Tel Nr.","Primary Tel Ext.","Url","Available","Operator Name","Primary Tel Country","Primary Tel Nr.","Primary Tel Ext.","Url","Opening Note","Available","Operator Name","1st Class Lounge Note","1st Class Lounge Opening Note","1st Class Lounge Available","Seated Area Available","Seated Area Location","Waiting Room Opening Note","Waiting Room Available","Waiting Room Location","Trolleys Available","Refreshments Note","Refreshments Available","WC Available","WC Location","Baby Change Available","Baby Change Location","Showers Available","Telephones Exist","Telephones Usage Type","Wifi Note","Wifi Available","Web Kiosk Opening Note","Web Kiosk Available","Postbox Available","Postbox Location","Tourist Info Available","Tourist Info Location","ATM Available","ATM Location","Bureau de Change Available","Shops Note","Shops Available","Helpline Note","Helpline Contact","Helpline Opening Note","Staff Help Note","Staff Help Opening Note","Staff Help Available","Induction Loop","Accessible Ticket Machines Note","Accessible Ticket Machines Available","Height Adjusted Counter Note","Height Adjusted Counter Available","Train Access Ramp Available","Accessible Taxis","Accessible Phones","Nearest Stations More Facilities Note","National Key Toilets Available","National Key Toilets Location","Step Free Access Note","Step Free Access Available","Ticket Gates Note","Ticket Gates Available","Impaired Mobility Set Down Note","Impaired Mobility Set Down Available","Wheelchairs Opening Note","Wheelchairs Available","Spaces","Sheltered","Security","Location","Note","Type","Rail Replacement Note","Rail Replacement Map","Taxi Rank","Onward Travel","Metro Services","Airport","Port","Car Hire","Cycle Hire","Station Alert","TOCs","Station Category","Page Guid"
"ACC","Acton Central","CRyan","03/01/2014",140400,"ACTON CENTRAL","Acton Central Railway Station","Churchfield Road","Acton","Greater London",,"W3 6BH",-0.2636165401,51.5087756014,"LO","partTime","Y",,,"DepartureScreens, Announcements",,"Y",,"Y","<p>At both eastbound and westbound entrances</p>","TicketMachine","Y","Y","Y","TicketMachine","Y",,"N","N","NotAvailable","N",,"Zone 3",,,,"Y","<p>Via ticket office</p>",,,,,"N",,,"0845 330 9882",,,,"N",,,,"N","N",,,"N",,"N","Coffee shop","Y","N",,"N",,"N","Y","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=W3 6BH&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Acton Central station</a></p>","Y",,"N","N",,"N",,"N",,"N",,"N",,,,,,"Y","Y",,"Y","<p>Ticket office staff provide assistance where possible</p>","N","Y","<p>contact taxi operator directly</p>",,"<p>Willesden Junction</p>","N",,"<p>Both platforms are fully accessible from the street, although there is no step free access within station if crossing from one platform to the other</p>","N",,,,"N",,"N",6,"Yes","Y","Outside main station entrance",,"Stands","<p>Northbound: Stop J in The Vale</p> <p>Southbound: Stop H in The Vale</p> <p>Chiswick Park station is 750 metres from South Acton station.</p>",,,,,,,,,,"LO",,"F0133D1BEE494E8490EBBC6FF7D1557D"
"ANZ","Anerley","CRyan","06/01/2014",539700,"ANERLEY","Anerley Station Road","Anerley",,,,"SE20 8PY",-0.0659143281,51.413054424,"LO","partTime","Y",,,,,"Y",,"Y","<p>Located in the booking hall</p>","TicketOffice, TicketMachine","Y","Y","Y","TicketOffice, TicketMachine","Y","Oyster cards with a pre-loaded deposit only are available from ticket office. Top-up only from self-service ticket machine(s)","N","N","NotAvailable","N",,"Zone 4",,,,"Y",,,,,,"N",,,,,,,"Y",,,,"N","Y",,,"N",,"N",,"N","N",,"N",,"N","N","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=SE20 8AG&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Anerley station</a></p>","Y",,"N","N",,"N",,"N",,"N",,"N",,,,,,"Y","Y",,"Y",,"N","Y","<p>London Black Cab area.</p>",,,"N",,"<p>Step-free access to both platforms via separate side gates, although no step free access between platforms (footbridge only). Step-free access to Ticket Office from platform 2 (to Croydon). Mobility-impaired passengers may be able to interchange between platforms via street and road overbridge, although gradients may make this route unsuitable.</p>","N",,,"<p>Side street only</p>","Y",,"N",6,"No","Y","Platform 2",,"Stands","<p>Southbound and Northbound buses will stop directly outside the station exit.</p>",,"<p>Information on taxis from this station is available at www.traintaxi.co.uk</p>","<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/ANZ.pdf"">here</a></p>",,,,,,,"LO",,"C88BB02F828D4E98A6EDFEA35C9CD636"
"BCY","Brockley","CRyan","06/01/2014",540400,"BROCKLEY.","Coulgate Street","Brockley","London","London",,"SE4 2RW",-0.037813935,51.464746523,"LO","partTime","Y",,,"DepartureScreens, ArrivalScreens",,"Y",,"Y","<p>Located in the booking hall</p>","TicketOffice, TicketMachine","Y","Y","Y","TicketOffice, TicketMachine","Y","Oyster cards with a pre-loaded deposit only are available from ticket office. Top-up only from self-service ticket machine(s)","N","N","NotAvailable","N",,"Zone 2",,,,"Y","<p> <p>Call Southern Trains Customer Services 08451 272920 for issues related to Southern train services.</p> <p>Call London Overground Customer Services 0845 601 4867 for issues related to London Overground station staff and facilities.</p> </p>",,,,,"N",,,,,,,"Y",,,,"N","Y",,,"N",,"N","Coffee kiosk","Y","N",,"N",,"N","Y","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=SE4 2RW&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Brockley station</a></p>","Y",,"N","N",,"N",,"N",,"N",,"N",,,,,,"Y","Y",,"Y",,"Y","N","<p>London Black Cab area.</p>",,"<p>London Bridge</p>","N",,"<p>Step free access to platform 2 (to Croydon/Victoria) only. Footbridge with steps to platform 1 (to London Bridge). Nearest step-free station is Forest Hill</p>","N",,,,"N",,"N",16,"Yes","Y","station front",,"Stands","<p>Northbound: Stop BA in Brockley Road</p> <p>Southbound: Stop in Coulgate Street</p>",,"<p>Information on taxis from this station is available at www.traintaxi.co.uk</p>","<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/BCY.pdf"">here</a></p>",,,,,,,"LO",,"31F10243D4D8475FAB31F36A017EE790"
"BSY","Brondesbury","CRyan","03/01/2014",143700,"BRONDESBURY.","Brondesbury Railway Station","Kilburn High Road","Kilburn","Greater London",,"NW6 7QB",-0.2030812834,51.5456328731,"LO","partTime","Y",,,"Announcements",,"Y",,"Y","<p>Booking hall</p>","TicketMachine","Y","Y","Y","TicketMachine","Y",,"N","N","NotAvailable","N",,"Zone 2",,,,"Y","<p>Via ticket office</p>",,,,,"N",,,"0845 330 9882",,,,"N",,,,"N","Y",,,"Y",,"N",,"N","N",,"N",,"N","N","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=NW6 7QB&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Brondesbury station</a></p>","Y",,"N","Y","Outside the station","N",,"Y","Located outside the station","N","High street shops","Y",,,,,,"Y","Y",,"N","<p>Ticket office staff provide assistance where possible</p>","N","N","<p>contact taxi operator directly</p>",,"<p>Willesden Junction</p>","N",,"<p>Disabled access to ticket office only from street level.</p>","N",,,,"N",,"N",0,"No","Y","Immediately outside station entrance",,"Stands","<p>Westbound (towards Kew). Buses leave from the stop near the junction of Cavendish Road and Kilburn High Road</p> <p>Eastbound (towards Stratford). Buses leave from the stop near the junction of Iverson Road and Kilburn High Road</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/BSY.pdf"">here</a></p>","<p>Kilburn Underground station 150 metres. Turn left outside station.</p>","<p>For Gatwick or Luton change at West Hampstead for First Capital Connect services</p>",,,,,"LO",,"0F2C809C0E634270955796F66DEB12EA"
"BSP","Brondesbury Park","CRyan","03/01/2014",143800,"BRONDESBURY PARK","Brondesbury Park Railway Station","Brondesbury Park Road","Brondesbury","Greater London",,"NW6 6RP",-0.2104998266,51.5403506936,"LO","partTime","Y",,,"Announcements",,"Y",,"Y","<p>Booking hall</p>","TicketMachine","Y","Y","Y","TicketOffice, TicketMachine","Y",,"N","N","NotAvailable","N",,"Zone 2",,,,"Y","<p>Via ticket office</p>",,,,,"N",,,"0845 330 9882",,,,"N",,,,"N","Y",,,"Y",,"N",,"N","N",,"N",,"N","N","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=NW6 6RP&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Brondesbury Park station</a>","N",,"N","Y",,"N",,"N",,"N",,"N",,,,,,"Y","Y",,"Y","<p>Ticket office staff provide assistance where possible</p>","N","N","<p>contact taxi operator directly</p>",,,"N",,,"N",,,,"N",,"N",9,"Yes","Y","Eastbound platform 2",,"Stands","All services leave from the stop near the junction of The Avenue and Brondesbury Park Road",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/BSP.pdf"">here</a></p>","<p>Queens Park station is 5 minutes walk along Salusbury Road</p>","<p>Change at West Hampstead for First Capital Connect trains to Luton or Gatwick</p>",,,,,"LO",,"EB41DDBC451F441AAB9D24E6C9D83AC3"
"BSH","Bushey","CRyan","03/01/2014",139500,"BUSHEY","Bushey Railway Station","Pinner Road","Watford",,,"WD19 4EA",-0.3853236425,51.6457512678,"LO","fullTime","Y",,,"DepartureScreens, Announcements",,"Y","On Fridays, ticket office is open until 20:00.","Y","<p>Booking hall and Eastbury Rd entrance</p>","TicketMachine","Y","Y","Y","TicketMachine","Y",,"N","N","NotAvailable","N",,"Zone 8",,,,"Y","<p>Booking office staff will assist where possible</p>",,,,,"N",,,"0845 330 9882",,,,"N",,,,"N","Y",,,"Y",,"N","Coffee kiosk","Y","N",,"N",,"N","N",,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=WD19 4EA&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Bushey station</a></p>","Y",,"N","Y","Outside the station","N",,"N",,"N","News agent","Y",,,,,,"Y","Y",,"Y","<p>Ticket office staff provide assistance where possible</p>","N","N","<p>contact taxi operator directly</p>",,"<p>Watford Junction</p>","N",,,"N",,,,"N",,"N",15,"Yes","Y","behind the Ticket Office","<p>Lockable area. Key available from ticket office</p>","Compounds","<p>Northbound: public service bus stop in Pinner Road, Southbound: Stop C in Pinner Road outside station</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/BSH.pdf"">here</a></p>",,,,,,,"LO",,"8C22CB5C28FC4B1586A1CD415FA1F8F5"
"CIR","Caledonian Rd & Barnsbury","CRyan","03/01/2014",143900,"CALEDONIAN ROAD","-","Caledonian Rd","Barnsbury","Greater London",,"N1 1DF",-0.1151973117,51.5433544064,"LO","partTime","Y",,,"Announcements",,"Y",,"Y","<p>Entrance to&nbsp;platform</p>","TicketMachine","Y","Y","Y","TicketOffice, TicketMachine","Y",,"N","N","NotAvailable","N",,"Zone 2",,,,"Y","<p>You can Contact Customer Services on 08456014867</p>",,,,,"N",,,"0845 330 9882",,,,"N",,,,"N","N",,,"N",,"N",,"N","N",,"N",,"N","N","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=N1 1DN&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Caledonian Rd & Barnsbury station</a></p>","N",,"N","N","Post Office located nearby","N",,"N",,"N","High street shops","N",,,,,,"Y","Y","<p>The Ticket machine is accessible to wheelchair users</p>","Y","<p>Ticket office staff provide assistance where possible</p>","N","Y","<p>contact taxi operator directly</p>",,,"N",,"<p>Step-free access to ticket office&nbsp;and footbridge&nbsp;Lifts to island platform.&nbsp;&nbsp;</p> <p>Please note there is a&nbsp;long path sloping up from the ticket office to the footbridge.</p>","Y",,,,"N",,"N",9,"No","Y",,,"Stands","<p> <p>Westbound: Please take service bus 153 bus from Stop S in Hemingford Road to Holloway Road station, then take the rail replacement bus from Stop SU outside.</p> <p>Eastbound: Please take service bus 153 bus from Stop S in Hemingford Road to Holloway Road station, then take the rail replacement bus from Stop SY opposite station in Holloway Road</p> </p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/CIR.pdf"">here</a></p>","<p>Caledonian Road underground station is a 10 minute walk. Exit station into Caledonian Road and turn right under railway bridge. Underground&nbsp;station is on the&nbsp;left hand side beyond Market Road.&nbsp;</p>",,,,,,"LO",,"BFBFA8E51D3D4C95ABE8A9030499F43E"
"CMD","Camden Road","CRyan","03/01/2014",144000,"CAMDEN ROAD","Camden Road Railway Station","Camden Road",,,,"NW1 9LS",-0.139772041,51.5419481621,"LO","partTime","Y",,,"DepartureScreens, Announcements",,"Y",,"Y","<p>Booking hall</p>","TicketMachine","Y","Y","Y","TicketOffice, TicketMachine","Y",,"N","N","NotAvailable","N",,"Zone 2",,,,"Y","<p>Contact Customer Services on 0845 601 4867</p>",,,,,"N",,,"0845 330 9882",,,,"N",,,,"N","N",,,"N",,"N","Coffee kiosk","Y","N",,"N",,"N","N","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=NW1 9LS&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Camden Road station</a></p>","Y",,"N","Y","Post Office located nearby","N",,"Y","Located on concourse","N","High street shops","N",,,,,,"Y","Y",,"N","<p>Ticket office staff provide assistance where possible</p>","N","Y","<p>contact taxi operator directly</p>",,,"N",,,"Y",,,,"N",,"N",6,"No","Y",,,"Stands","<p>Westbound: Stop B in Royal College Street</p> <p>Eastbound: Stop G in Camden Road</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/CMD.pdf"">here</a></p>","<p>Camden Town station is a 5 minute walk. Turn right out of station entrance into Camden Road.</p>",,,,,,"LO",,"C9DCA439E8664D8289CE0F7F2E5B4BC5"
"CNN","Canonbury","CRyan","03/01/2014",144100,"CANONBURY","Canonbury Railway Station","Wallace Road","Canonbury","Greater London",,"N1 2PG",-0.0919120646,51.5483736002,"LO","partTime","Y",,,"Announcements",,"Y",,"Y","<p>Station forecourt</p>","TicketMachine","Y","Y","Y","TicketOffice, TicketMachine","Y",,"N","N","NotAvailable","N",,"Zone 2",,,,"Y","<p>You can Contact Customer Services on 0845 601 4867</p>",,,,,"N",,,"0845 330 9882",,,,"N",,,,"N","N",,,"N",,"N","Kiosk on Platform 2/3","Y","N",,"N",,"N","N","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=N1 2PG&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Canonbury station</a></p>","Y",,"N","Y","Post Office located nearby","N",,"Y",,"N",,"N",,,,,,"Y","Y",,"Y","<p>Ticket office staff provide assistance where possible</p>","N","Y","<p>contact taxi operator directly</p>",,"<p>Stratford</p>","N",,"<p>Level access from street to ticket office/concourse/footbridge</p> <p>Lift from concourse/footbridge to platforms</p>","Y",,,,"N",,"N",24,"No","Y",,,"Stands","<p>Westbound: Stop CP in Grosvenor Avenue</p> <p>Eastbound: Stop CQ in Grosvenor Avenue</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/CNN.pdf"">here</a></p>",,,,,,,"LO",,"FD366277278046388EE08EE82A2A2570"
"CPK","Carpenders Park","CRyan","03/01/2014",144200,"CARPENDERS PARK","Carpenders Park Railway Station","Prestwick Road","Watford","WD19 7DT",,"WD19 7DT",-0.3859416057,51.628350627,"LO","fullTime","Y",,,"DepartureScreens, Announcements",,"Y",,"Y","<p>Booking hall</p>","TicketMachine","Y","Y","Y","TicketMachine","Y",,"N","N","NotAvailable","N",,"Zone 7",,,,"Y",,,,,,"N",,,"0845 330 9882",,,,"N",,,,"N","Y",,,"N",,"N","Food outlet (Seating unavailable)","Y","N",,"N",,"N","Y","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=WD19 6DT&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Carpenders Park station</a></p>","N",,"N","N","Post Office located nearby","N",,"N",,"N","High street shops","Y",,,,,,"Y","Y",,"Y","<p>Ticket office staff provide assistance where possible</p>","N","Y","<p>contact taxi operator directly</p>","<p>Outside booking office. Sloped passage from entrance to booking hall.</p>","<p>Watford Junction</p>","N",,"<p>Long sloping ramp from station entrance to booking hall. Level access from booking hall to platforms.</p>","Y",,,,"N",,"N",4,"No","Y",,"<p>Cycle Disclaimer</p>","Stands","<p>Northbound and southbound: In Delta Gain, adjacent to east side station entrance</p>",,"<p>Usually available in station forecourt</p>",,,,,,,,"LO",,"9222ADD379034CFFA60FB4146CF4672B"
