"Crs Code","Name","Changed By","Changed Date","NLC","16 Char Name","Address Line 1","Address Line 2","Address Line 3","Address Line 4","Address Line 5","Postcode","Longitude","Latitude","Station Operator","Staffing Level","CCTV Available","Info. avail. from staff","Opening Note","CIS","Help Points","Help Points Available","Ticket Office Opening Note","Ticket Office Available","Ticket Office Location","Pre-purchase Collection","Ticket Machine Available","Oyster Issued","Oyster Topup","Oyster Pickup","Use Oyster","Oyster Comments","Smartcard Issued","Smartcard Topup","Smartcard Pickup","Smartcard Validator","Smartcard Comments","Travelcard Zone","Penalty Fares","Penalty Fares TOCs","Penalty Fares URL","Always show Oyster","Note","Primary Tel Country","Primary Tel Nr.","Primary Tel Ext.","Url","Available","Operator Name","Primary Tel Country","Primary Tel Nr.","Primary Tel Ext.","Url","Opening Note","Available","Operator Name","1st Class Lounge Note","1st Class Lounge Opening Note","1st Class Lounge Available","Seated Area Available","Seated Area Location","Waiting Room Opening Note","Waiting Room Available","Waiting Room Location","Trolleys Available","Refreshments Note","Refreshments Available","WC Available","WC Location","Baby Change Available","Baby Change Location","Showers Available","Telephones Exist","Telephones Usage Type","Wifi Note","Wifi Available","Web Kiosk Opening Note","Web Kiosk Available","Postbox Available","Postbox Location","Tourist Info Available","Tourist Info Location","ATM Available","ATM Location","Bureau de Change Available","Shops Note","Shops Available","Helpline Note","Helpline Contact","Helpline Opening Note","Staff Help Note","Staff Help Opening Note","Staff Help Available","Induction Loop","Accessible Ticket Machines Note","Accessible Ticket Machines Available","Height Adjusted Counter Note","Height Adjusted Counter Available","Train Access Ramp Available","Accessible Taxis","Accessible Phones","Nearest Stations More Facilities Note","National Key Toilets Available","National Key Toilets Location","Step Free Access Note","Step Free Access Available","Ticket Gates Note","Ticket Gates Available","Impaired Mobility Set Down Note","Impaired Mobility Set Down Available","Wheelchairs Opening Note","Wheelchairs Available","Spaces","Sheltered","Security","Location","Note","Type","Rail Replacement Note","Rail Replacement Map","Taxi Rank","Onward Travel","Metro Services","Airport","Port","Car Hire","Cycle Hire","Station Alert","TOCs","Station Category","Page Guid"
"AMR","Amersham","iwatson","02/01/2014",50600,"AMERSHAM (UND)","Station Approach","Amersham","Buckinghamshire",,,"HP6 5AZ",-0.607590127,51.6742069133,"LT","fullTime","Y",,,,"<p>All trains carry a ramp for wheelchair access</p>","N",,"Y",,"NotAvailable","Y","Y","Y","TicketMachine","Y",,"N","N","NotAvailable","N",,"Zone 9",,,,"Y","Chiltern Railways Customer Services",,,,"https://www.tfl.gov.uk/tfl/contact/lostproperty","N",,,"0845 330 9882",,,,"Y",,,,"N","N",,,"Y",,"N",,"Y","Y","Male and female toilets are available on the platform - no charge.","N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=HP6 5AZ&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Amersham station</a>","N",,"N","N",,"N",,"Y",,"N",,"N",,,,"<p>Staff are at Amersham when trains are running</p>",,"Y","Y","<p>Accessible ticket machines sell tickets suitable for use on London Underground services, including Travelcards. Where tickets for National Rail services are not available through an accessible ticket machine, ticket office staff provide assistance where possible.</p>","Y","<p>Ticket office staff provide assistance where possible. See ticket office opening hours.</p>","N","N","<p>Contact taxi operator directly</p>",,,"N",,"<p>There is step free access between the street and Platform 3 for Southbound Metropolitan Line services. Customers need to be aware that there is a step between train and platform of up to 200mm for London Underground services. There is no step-free access between the street and Platforms 1 and 2 for Chiltern services. Boarding ramps are not available at this station.</p>","N",,,"<p>Drop-off point close by with drop curb but no safe crossing.</p>","Y",,"N",56,"Yes","Y",,,,"<p>Hill Avenue. Bus Stop J&nbsp;</p>",,,"<p>Please see TfL's interactive map for details of bus routes and destinations served: http://www.journeyplanner.org/im/SI-C.html</p>","<p>Metropolitan Line</p>","<p>Interchange in Central London for services to Gatwick, Heathrow, Stansted and London City</p>",,,,,"LT",,"016E908539C5476786F7C072EB265AB8"
"ZBB","Barbican","donohuej","26/04/2013",50100,"BARBICAN UND","Aldersgate Street","London",,,,"EC1A 4JA",-0.0974358805,51.5196864173,"LT","fullTime","Y",,,,"<p>Please seek assistance from station staff</p>","N",,"Y",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N","<p>First Capital Connect Customer Relations</p>",,,,"https://www.tfl.gov.uk/tfl/contact/lostproperty","N",,,"0845 330 9882",,,,"Y",,,,"N","N",,,"N",,"N",,"Y","N","None","N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=EC1A 4JA&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Barbican station</a>","N",,"N","N",,"N",,"N",,"N",,"Y",,,,"For First Capital Connect phone 0800 058 2844 or Text 0800 975 1052. Phone staffed 7 days a week, 0700 - 2200, except Christmas Day.",,"N","Y","<p>Accessible ticket machines sell tickets suitable for use on London Underground services, including Travelcards. Where tickets for National Rail services are not available through an accessible ticket machine, ticket office staff provide assistance where possible.</p>","Y","<p>Ticket office staff provide assistance where possible. See ticket office opening hours.</p>","N","N","<p>Contact taxi operator directly</p>",,,"N",,,"N",,,"<p>Drop-off point close by with drop curb and pelican crossing.</p>","Y",,"N",20,"No","Y",,,,,,,"<p>Please see TfL's interactive map for details of bus routes and destinations served: http://www.journeyplanner.org/im/SI-C.html</p>","<p>Metropolitan, Circle, Hammersmith & City Lines</p>","<p>Interchange at Farringdon for National Rail services to Luton. Interchange at King's Cross St Pancras for the Piccadilly Line to Heathrow Terminals 1, 2, 3, 4 and 5</p>",,,,"<p>Barbican Railway station is no longer part of the National Rail network following the closure of the Moorgate to Farringdon route as part of the <a href=""http://www.nationalrail.co.uk/service_disruptions/thameslink-programme.html"">Thameslink</a> Improvement Programme</p>","LT",,"33E66E75F1314C9A8F493CB4700012FE"
"BHO","Blackhorse Road","donohuej","26/04/2013",740000,"BLACKHORSE ROAD","Blackhorse Road Railway Station","Blackhorse Road","Walthamstow","Greater London",,"E17 6NH",-0.0412458332,51.5862075528,"LT","fullTime","Y",,,,"Please seek assistance from on train staff","N",,"Y","<p>Ticket Hall</p>","NotAvailable","N","Y","Y","TicketMachine","Y",,"N","N","NotAvailable","N",,"Zone 3",,,,"Y","London Overground Customer Service Centre",,,,"https://www.tfl.gov.uk/tfl/contact/lostproperty","N",,,"0845 330 9882",,,,"Y",,,,"N","N",,,"N",,"N",,"Y","N","None","N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=E17 6NH&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Blackhorse Road station</a>","N",,"N","N",,"N",,"N",,"N",,"Y",,,,,,"Y","Y","Accessible ticket machines sell tickets suitable for use on London Underground services, including Travelcards. Where tickets for National Rail services are not available through an accessible ticket machine, ticket office staff provide assistance where possible.","Y","Ticket office staff provide assistance where possible. See ticket office opening hours.","N","N","Contact taxi operator directly",,,"N",,,"N",,,"Forest Road and car park entrance - Drop-off point close by with drop curb and pelican crossing.","N",,"N",15,"No","Y",,,,,,,"Please see TfL's interactive map for details of bus routes and destinations served: http://www.journeyplanner.org/im/SI-C.html","Victoria Line","Interchange at Tottenham Hale for National Rail Services to Stansted",,,,,"LT",,"4CFFA2628EBE4B3CBDE3D5A8639DCE08"
"ZCW","Canada Water","chrystad","19/03/2013",788,"Canada Water","Deal Porter Way","Surrey Quays","London",,,"SE16 2YS",-0.050791,51.498231,"LT","unstaffed","N",,,,,"N",,"N",,"NotAvailable","N","Y","Y","TicketMachine","Y",,"N","N","NotAvailable","N",,"Zone 2",,,,"Y","<p>To be confirmed by station operator.</p> <p>&nbsp;</p> <p>&nbsp;</p>",,,,,"N",,,,,,,"N",,,,"N","N",,,"N",,"N",,"N","N",,"N",,"N","N","CardsAndCoins",,"N",,"N","N",,"N",,"N",,"N",,"N",,,,,,"N","Y",,"N",,"N","N",,,,"N",,,"N",,,,"N",,"N",,"No","N",,,,,,,,"<p>Interchange between London Overground East London Line service and London Underground Jubilee Line trains between Stratford and Stanmore.</p>",,,,,,"LT",,"C6176F3804AB4B108EAC9D06735E7A37"
"CFO","Chalfont & Latimer","iwatson","02/01/2014",53900,"-","Station Approach","Little Chalfont","Buckinghamshire",,,"HP7 9PR",-0.5605191022,51.6681092656,"LT","fullTime","Y",,,,"<p>Please seek assistance from staff</p>","N",,"Y",,"NotAvailable","N","Y","Y","TicketMachine","Y",,"N","N","NotAvailable","N",,"Zone 8",,,,"Y","Chiltern Railways Customer Services",,,,"https://www.tfl.gov.uk/tfl/contact/lostproperty","N",,,"0845 330 9882",,,,"Y",,,,"N","N",,,"N",,"N",,"Y","Y","Male and female toilets are available on the platform - no charge.","N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=HP7 9PR&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Chalfont & Latimer station</a>","N",,"N","N",,"N",,"Y",,"N",,"Y",,,,"<p>London Underground staff are available when trains are running.</p>",,"Y","Y","<p>Accessible ticket machines sell tickets suitable for use on London Underground services, including Travelcards. Where tickets for National Rail services are not available through an accessible ticket machine, ticket office staff provide assistance where possible.</p>","Y","<p>Ticket office staff provide assistance where possible. See ticket office opening hours.</p>","N","Y","<p>Contact taxi operator directly</p>",,,"N",,"<p>There is step free access between the street and all platforms, but be aware that step free access between the street and ticket office is only available via the Bedford Road entrance, and that it is not possible to interchange between Northbound and Southbound platforms without a street journey. Customers need to be aware that there is a step between train and platform of up to 300mm for London Underground services.</p>","Y",,,"<p>Drop-off point close by with drop curb but no safe crossing.</p>","N",,"N",7,"Yes","Y",,,,,,"Mini cab office outside the station.","Please see TfL's interactive map for details of bus routes and destinations served: http://www.journeyplanner.org/im/SI-C.html","Metropolitan Line","Interchange in Central London for services to Gatwick, Heathrow, Stansted and London City",,,,,"LT",,"C8E6B072CF10426B9B333EE25BBDFC3B"
"CLW","Chorleywood","dhanley","02/01/2014",54600,"CHORLEYWOOD UND","Station Approach","Chorleywood","Hertfordshire",,,"WD3 5ND",-0.5183116683,51.6542489506,"LT","fullTime","Y",,,,"<p>Available when station is staffed</p>","N",,"Y",,"NotAvailable","Y","Y","Y","TicketMachine","Y",,"N","N","NotAvailable","N",,"Zone 7",,,,"Y","Chiltern Railways Customer Services",,,,"https://www.tfl.gov.uk/tfl/contact/lostproperty","N",,,"0845 330 9882",,,,"Y",,,,"N","N",,,"N",,"N",,"N","Y","Male and female toilets are available on the platform - no charge.","N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=WD3 5ND&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Chorleywood station</a>","N",,"N","N",,"N",,"N",,"N",,"N",,,,"London Underground staff are available when trains are running. <dl class=""zebra""> <dd class=""clear hlt""> <br /> </dd> </dl>",,"Y","Y","<p>Accessible ticket machines sell tickets suitable for use on London Underground services, including Travelcards. Where tickets for National Rail services are not available through an accessible ticket machine, ticket office staff provide assistance where possible.</p>","Y","<p>Ticket office staff provide assistance where possible. See ticket office opening hours.</p>","N","Y","<p>Contact taxi operator directly</p>",,,"N",,"<p>Customers need to be aware that there is a step between train and platform of up to 300mm for London Underground services.</p>","Y",,,"<p>Drop-off point close by with drop curb but no safe crossing.</p>","N",,"N",0,"No","Y",,,,,,"Mini cab office outside the station.","Please see TfL's interactive map for details of bus routes and destinations served: http://www.journeyplanner.org/im/SI-C.html","Metropolitan Line","Interchange in Central London for services to Gatwick, Heathrow, Stansted and London City",,,,,"LT",,"BF84017F19214CBCB6F5CB6B63E9B51B"
"ZEL","Elephant & Castle (Underground)","kdaniels","18/02/2014",0,"NA","Camberwell","Greater London",,,,"SE17 1LB",0.060266,51.294506,"LT","unstaffed","Y",,,,,"N",,"Y",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,"Zone 1/2",,,,"N","<p>For more information, please contact Transport for London on 0843 222 1234 or visit <a href=""http://www.tfl.gov.uk"">www.tfl.gov.uk</a></p>",,,,,"N",,,,,,,"N",,,,"N","N",,,"N",,"N",,"N","N",,"N",,"N","N","CardsAndCoins",,"N",,"N","N",,"N",,"N",,"N",,"N",,,,,,"N","Y",,"N",,"N","N",,,,"N",,,"N",,,,"N",,"N",,,,,,,,,,,,,,,,"<p>This page relates to the Elephant &amp; Castle Underground station, operated by London Underground Limited.</p> <p>For details about the National Rail station, please visit this <a href=""http://www.nationalrail.co.uk/stations/eph/details.html"">page</a></p>","LT",,"933B048A0A284632BDCAEF1B70B26BF8"
"GFD","Greenford","donohuej","26/04/2013",313600,"GREENFORD.","Oldfield Lane","Greenford",,,,"UB6 8PX",-0.3445415183,51.542318953,"LT","fullTime","Y",,,,,"N",,"Y",,"NotAvailable","N","Y","Y","TicketMachine","Y",,"N","N","NotAvailable","N",,"Zone 4","Applicable Operators: First Great Western","GW",,"Y","First Great Western Customer Services",,,,"https://www.tfl.gov.uk/tfl/contact/lostproperty","N",,,,,,,"N",,,,"N","N",,,"N",,"N",,"Y","Y","None","N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=UB6 8PX&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Greenford station</a>","N",,"N","N",,"N",,"Y",,"N",,"Y",,,,,,"Y","Y","Accessible ticket machines sell tickets suitable for use on London Underground services, including Travelcards. Where tickets for National Rail services are not available through an accessible ticket machine, ticket office staff provide assistance where possible.","Y","Ticket office staff provide assistance where possible. See ticket office opening hours.","N","N","Contact taxi operator directly",,,"N",,,"N",,,"Oldfield Lane entrance - Drop-off point close by with drop curb and puffin crossing.","Y",,"N",12,"Yes","Y",,,,"<p>Front of the station</p>",,,"<p>Please see TfL's interactive map for details of bus routes and destinations served: http://www.journeyplanner.org/im/SI-C.html</p>","<p>Central Line</p>","<p>Interchange in Central London for services to Gatwick, Heathrow, Stansted and London City</p>",,,,,"LT",,"EFEC0CDB63AC41CD8588BB8626970571"
"GUN","Gunnersbury","donohuej","26/04/2013",558800,"GUNNERSBURY","Gunnersbury Railway Station","Chiswick High Road","Chiswick","Greater London",,"W4 4AN",-0.2757834472,51.4918691216,"LT","fullTime","Y",,,,,"N",,"Y","<p>Ticket Hall</p>","NotAvailable","N","Y","Y","TicketMachine","Y",,"N","N","NotAvailable","N",,"Zone 3",,,,"Y","London Overground Customer Service Centre",,,,"https://www.tfl.gov.uk/tfl/contact/lostproperty","N",,,"0845 330 9882",,,,"Y",,,,"N","N",,,"Y","Waiting room located on single island platform.","N",,"N","N","None","N",,"N","N","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=W4 4AN&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Gunnersbury station</a>","N",,"N","N",,"N",,"N",,"N",,"N",,,,"When booking office is open",,"Y","Y","<p>Accessible ticket machines sell tickets suitable for use on London Underground services, including Travelcards. Where tickets for National Rail services are not available through an accessible ticket machine, ticket office staff provide assistance where possible.</p>","Y","<p>Ticket office staff provide assistance where possible. See ticket office opening hours.</p>","N","N","<p>Contact taxi operator directly</p>",,,"N",,"<p>It is possible to make a step-free interchange between Northbound and Soutghbound platforms, but not to enter or exit the station step-free. Customers need to be aware that there is a step between train and platform of up to 200mm for London Underground services. Boarding ramps are not available at this station.</p>","N",,,"<p>Chiswick High Road entrance - Drop-off point close by with drop curb and pelican crossing.</p>","Y",,"N",0,"No","Y",,,,,,,"Please see TfL's interactive map for details of bus routes and destinations served: http://www.journeyplanner.org/im/SI-C.html","District Line","Interchange at Hammersmith for the Piccadilly Line to Heathrow Terminals 1, 2, 3, 4 and 5, or at West Brompton for direct National Rail services to Gatwick",,,,,"LT",,"F5050816567E493296BDA5545C782748"
"HDN","Harlesden","donohuej","26/04/2013",152100,"HARLESDEN","Harlesden Railway Station","Acton Lane","Harlesden","Greater London",,"NW10 7AA",-0.2582328517,51.5365728794,"LT","fullTime","Y",,,,,"N",,"Y","<p>Forecourt</p>","NotAvailable","N","Y","Y","TicketMachine","Y",,"N","N","NotAvailable","N",,"Zone 3",,,,"Y","London Overground Customer Service Centre",,,,"https://www.tfl.gov.uk/tfl/contact/lostproperty","N",,,"0845 330 9882",,,,"Y",,,,"N","N",,,"N",,"N",,"N","N","None","N",,"N","N","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=NW10 7AA&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Harlesden station</a>","N",,"N","N",,"N",,"N",,"N",,"N",,,,,,"Y","Y","Accessible ticket machines sell tickets suitable for use on London Underground services, including Travelcards. Where tickets for National Rail services are not available through an accessible ticket machine, ticket office staff provide assistance where possible.","Y","Ticket office staff provide assistance where possible. See ticket office opening hours.","N","N","Contact taxi operator directly",,,"N",,,"N",,,,"N",,"N",5,"No","Y",,,,,,,"Please see TfL's interactive map for details of bus routes and destinations served: http://www.journeyplanner.org/im/SI-C.html","Bakerloo Line","Interchange at Harrow & Wealdstone for National Rail services to Gatwick",,,,,"LT",,"BFABE5CBE3874749948AE7081EE1F296"
