"Crs Code","Name","Changed By","Changed Date","NLC","16 Char Name","Address Line 1","Address Line 2","Address Line 3","Address Line 4","Address Line 5","Postcode","Longitude","Latitude","Station Operator","Staffing Level","CCTV Available","Info. avail. from staff","Opening Note","CIS","Help Points","Help Points Available","Ticket Office Opening Note","Ticket Office Available","Ticket Office Location","Pre-purchase Collection","Ticket Machine Available","Oyster Issued","Oyster Topup","Oyster Pickup","Use Oyster","Oyster Comments","Smartcard Issued","Smartcard Topup","Smartcard Pickup","Smartcard Validator","Smartcard Comments","Travelcard Zone","Penalty Fares","Penalty Fares TOCs","Penalty Fares URL","Always show Oyster","Note","Primary Tel Country","Primary Tel Nr.","Primary Tel Ext.","Url","Available","Operator Name","Primary Tel Country","Primary Tel Nr.","Primary Tel Ext.","Url","Opening Note","Available","Operator Name","1st Class Lounge Note","1st Class Lounge Opening Note","1st Class Lounge Available","Seated Area Available","Seated Area Location","Waiting Room Opening Note","Waiting Room Available","Waiting Room Location","Trolleys Available","Refreshments Note","Refreshments Available","WC Available","WC Location","Baby Change Available","Baby Change Location","Showers Available","Telephones Exist","Telephones Usage Type","Wifi Note","Wifi Available","Web Kiosk Opening Note","Web Kiosk Available","Postbox Available","Postbox Location","Tourist Info Available","Tourist Info Location","ATM Available","ATM Location","Bureau de Change Available","Shops Note","Shops Available","Helpline Note","Helpline Contact","Helpline Opening Note","Staff Help Note","Staff Help Opening Note","Staff Help Available","Induction Loop","Accessible Ticket Machines Note","Accessible Ticket Machines Available","Height Adjusted Counter Note","Height Adjusted Counter Available","Train Access Ramp Available","Accessible Taxis","Accessible Phones","Nearest Stations More Facilities Note","National Key Toilets Available","National Key Toilets Location","Step Free Access Note","Step Free Access Available","Ticket Gates Note","Ticket Gates Available","Impaired Mobility Set Down Note","Impaired Mobility Set Down Available","Wheelchairs Opening Note","Wheelchairs Available","Spaces","Sheltered","Security","Location","Note","Type","Rail Replacement Note","Rail Replacement Map","Taxi Rank","Onward Travel","Metro Services","Airport","Port","Car Hire","Cycle Hire","Station Alert","TOCs","Station Category","Page Guid"
"AIG","Aigburth","bulkUploads","08/10/2013",225500,"AIGBURTH","Mersey Road","Liverpool",,,,"L17 6AG",-2.927160737,53.3645833,"ME","partTime","Y",,,"DepartureScreens, Announcements",,"Y",,"Y",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,"0151 702 2951",,,,"Y",,,,"N","N",,,"Y",,"N",,"N","N",,"Y",,"N","Y","CardsAndCoins","&lt;p&gt;&lt;a href=&quot;&quot;http://btopenzone.hotspot-directory.com/results.php?txtQuick=L17 6AG&amp;z=9&amp;radRoaming=1&quot;&quot; target=&quot;&quot;_blank&quot;&quot;&gt;Find WiFi Hotspots around Aigburth station&lt;/a&gt;&lt;/p&gt;","N",,"N","N",,"N",,"N",,"N",,"N",,"0151 702 2071",,,,"Y","Y",,"N",,"Y","Y","<p>Telephone numbers for taxi companies are displayed at all of our stations.</p>",,"<p>The nearest fully disabled accessible station is Brunswick. </p>","N",,,"N",,,,"N",,"N",8,"No","Y",,,"Stands","<p>Bus stops on Aigburth Road</p>",,,"<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/AIG.pdf"""">here</a></p>",,,,,,,"ME",,"0FF905DB44B34068AE4F2309BC78F93C"
"ANS","Ainsdale","bulkUploads","08/10/2013",235000,"AINSDALE","Station Road","Ainsdale","Southport",,,"PR8 3HJ",-3.042669326,53.60183287,"ME","fullTime","Y",,,"DepartureScreens, Announcements","<p>Help point located on Liverpool bound platform.</p>","Y",,"Y",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,"0151 702 2951",,,,"Y",,,,"N","Y",,,"Y",,"N",,"N","Y",,"N",,"N","Y","CardsAndCoins","&lt;p&gt;&lt;a href=&quot;&quot;http://btopenzone.hotspot-directory.com/results.php?txtQuick=PR8 3HJ&amp;z=9&amp;radRoaming=1&quot;&quot; target=&quot;&quot;_blank&quot;&quot;&gt;Find WiFi Hotspots around Ainsdale station&lt;/a&gt;&lt;/p&gt;","N",,"N","Y","Post Office located nearby","N",,"Y","Located outside the station","N",,"N",,"0151 702 2071",,,,"Y","Y",,"N","<p>All disabled passengers will be offered assistance by station staff.</p>","N","Y","<p>Telephone numbers for taxi companies are displayed at all our stations</p>",,"<p>The nearest station(s) with more facilities than Ainsdale are:</p> <ul> <li>Formby</li> <li>Southport</li> </ul>","N",,"<p>Car park and ticket office are step free. Interchange via level crossing.</p>","Y",,,,"N",,"N",40,"Yes","Y","adjacent to booking office","<p><span style=""""font-family: ;"""" data-sheets-rawvalue=""""8 stand 32 secure"""">8 stands, 32 secure</span></p>","Compound, Stands","<p>Buses stop on Shore Road, Ainsdale</p>",,,"<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/ANS.pdf"""">here</a></p>",,,,,,,"ME",,"DA7D504F91DC4FB2B7106C7360208BEA"
"AIN","Aintree","MMlynarska","08/10/2013",212500,"AINTREE","Ormskirk Road","Liverpool",,,,"L9 5BE",-2.956664741,53.47400907,"ME","fullTime","Y",,,"DepartureScreens, Announcements, ArrivalScreens",,"Y",,"Y",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,"0151 702 2951",,,,"Y",,,,"N","Y",,,"Y",,"N","Cold drinks vending machine Food vending machine","Y","N",,"N",,"N","Y","CardsAndCoins","&lt;p&gt;Find WiFi Hotspots around Aintree station&lt;/p&gt;","N",,"N","N",,"N",,"N",,"N",,"N",,"0151 702 2071",,,,"Y","Y",,"N","<p>disabled passenger will be offered assistance by station staff.</p>","Y","Y","<p>telephone number for taxi's are displayed at all our stations</p>",,,"N",,"<p>Car park and ticket office are step free. Access to Ormskirk platform via ramped overbridge</p>","Y",,,,"Y",,"N",12,"Yes","Y","on Liverpool bound platform",,"Stands","<p>Ormskirk Road, Liverpool L9</p>",,,"<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/AIN.pdf"""">here</a></p>",,,,,"http://www.bikeandgo.co.uk/ Only £3.80 per 24 hours (10 Bike & Go bicycles) Live",,"ME",,"4EC5BFC25E0F4B1F9ED507C7BB9923AE"
"AUG","Aughton Park","bulkUploads","08/10/2013",221500,"AUGHTON PARK","Long Lane","Ormskirk",,,,"L39 5BT",-2.895078195,53.55448798,"ME","fullTime","Y",,,"DepartureScreens, Announcements","<p>Located on Liverpool bound platform.</p>","Y",,"Y",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,"0151 702 2951",,,,"Y",,,,"N","Y",,,"N",,"N",,"N","N",,"N",,"N","Y","CardsAndCoins","&lt;p&gt;&lt;a href=&quot;&quot;http://btopenzone.hotspot-directory.com/results.php?txtQuick=L39 5BT&amp;z=9&amp;radRoaming=1&quot;&quot; target=&quot;&quot;_blank&quot;&quot;&gt;Find WiFi Hotspots around Aughton Park station&lt;/a&gt;&lt;/p&gt;","N",,"N","N",,"N",,"N",,"N",,"N",,"0151 702 2071",,,,"Y","Y",,"N","<p>Aughton Park does not have disabled access.  The platforms are accessible via steps.  The nearest disabled accesible station is Ormskirk.</p>","N","N","<p>Telephone number for taxi companies are displayed at all of our stations.</p>",,"<p>The nearest disabled accesible station is Ormskirk.</p>","N",,,"N",,,,"N",,"N",4,"No","Y","adjacent to booking office",,"Stands","<p>buses stopped on Long Lane, Aughton</p>",,,"<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/AUG.pdf"""">here</a></p>",,,,,,,"ME",,"AA29FD5A8C024CDF8D9B5CD83D979475"
"BAC","Bache","bulkUploads","08/10/2013",218700,"BACHE","Mill Lane","Chester",,,,"CH2 1BS",-2.892360673,53.20933376,"ME","unstaffed","Y",,,"DepartureScreens, Announcements, ArrivalScreens",,"Y",,"N",,"NotAvailable","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,"0151 702 2951",,,,"Y",,,,"N","Y",,,"N",,"N",,"N","N",,"N",,"N","Y","CardsAndCoins","&lt;p&gt;&lt;a href=&quot;&quot;http://btopenzone.hotspot-directory.com/results.php?txtQuick=CH2 1BS&amp;z=9&amp;radRoaming=1&quot;&quot; target=&quot;&quot;_blank&quot;&quot;&gt;Find WiFi Hotspots around Bache station&lt;/a&gt;&lt;/p&gt;","N",,"N","N",,"N",,"N",,"N",,"N",,"0151 702 2071",,,,"N","Y","<p>All of our automatic ticket machines are DDA compliant.</p>","Y","<p>This station is unmanned.</p>","N","N","<p>Phone numbers for taxi services are displayed at all our stations.</p>",,"<p>Chester train station is fully compliant with DDA requirements.</p>","N",,,"N",,,,"N",,"N",20,"Yes","Y","Car Park and Approach Ramp on the Chester Bound Platform",,"Stands","<p>Chester Bound Service bus stops in Mill Lane, Chester. Liverpool Bound Services bus stops adajacent to Hospital subway. ( Liverpool Road)</p>",,,"<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/BAC.pdf"""">here</a></p>",,,,,,,"ME",,"782DD5C5F26C42789DEA8C77069FD5EA"
"BAH","Bank Hall","bulkUploads","08/10/2013",223800,"BANK HALL","Bank Hall Street","Liverpool",,,,"L20 8BX",-2.987464984,53.43780206,"ME","fullTime","Y",,,"DepartureScreens, Announcements, ArrivalScreens","<p>Inside the ticket office.</p>","Y",,"Y",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,"0151 702 2951",,,,"Y",,,,"N","Y",,,"N",,"N",,"N","N",,"N",,"N","Y","Coins","&lt;p&gt;&lt;a href=&quot;&quot;http://btopenzone.hotspot-directory.com/results.php?txtQuick=L20 8BX&amp;z=9&amp;radRoaming=1&quot;&quot; target=&quot;&quot;_blank&quot;&quot;&gt;Find WiFi Hotspots around Bank Hall station&lt;/a&gt;&lt;/p&gt;","N",,"N","Y","Outside the station","N",,"N",,"N",,"N",,"0151 702 2071",,,,"Y","Y",,"N","<p>Bank Hall does not have disabled access.  All platforms are only accessible via steps.  The nearest station with disabled facilities is Sandhills.</p>","N","N","<p>Telephone numbers for taxi companies are displayed at all of our stations.</p>",,"<p>Sandhills is fully compliant with DDA regulations.</p>","N",,,"N",,,,"N",,"N",0,"No","Y",,,,"<p>Bank Hall Street, Liverpool</p>",,,"<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/BAH.pdf"""">here</a></p>",,,,,,,"ME",,"B5F2EEC7FD3B4F0B905C3EFD9F72BA70"
"BEB","Bebington","bulkUploads","08/10/2013",218800,"BEBINGTON","Old Chester Road","Bebington",,,,"CH63 7LA",-3.003642726,53.35767221,"ME","fullTime","Y",,,"DepartureScreens, Announcements",,"Y",,"Y",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,"0151 702 2951",,,,"Y",,,,"N","Y",,,"Y",,"N",,"N","N",,"N",,"N","Y","CardsAndCoins","&lt;p&gt;&lt;a href=&quot;&quot;http://btopenzone.hotspot-directory.com/results.php?txtQuick=CH63 7LA&amp;z=9&amp;radRoaming=1&quot;&quot; target=&quot;&quot;_blank&quot;&quot;&gt;Find WiFi Hotspots around Bebington station&lt;/a&gt;&lt;/p&gt;","N",,"N","N",,"N",,"N",,"N",,"N",,"0151 702 2071",,,,"Y","Y",,"N","<p>All disabled passengers will be offered assistance by station staff.</p>","Y","Y","<p>Telephone number for taxi companies are displayed at all of our stations.</p>",,,"N",,"<p>Car park to ticket office and platforms are step free. Long ramps to platforms.</p>","Y",,,,"N",,"N",30,"Yes","Y",,"<p>Secure cycle parking is available at the station. If you are interested in reserving secure parking further details can be found at  <a href=""""http://www.merseyrail.org/"""">www.merseyrail.org</a></p>","Compounds","<p>Old Chester Road, Bebington.</p>",,,"<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/BEB.pdf"""">here</a></p>",,,,,,,"ME",,"F8094CD0251748ACAA8ABC24AC2B347E"
"BID","Bidston","bulkUploads","08/10/2013",213600,"BIDSTON","Station Approach","Bidston","Birkenhead",,,"CH43 7RF",-3.078570263,53.40914752,"ME","partTime","Y",,,"DepartureScreens, Announcements",,"Y",,"Y",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,"0151 702 2951",,,,"Y",,,,"N","Y",,,"Y",,"N",,"N","N",,"Y",,"N","Y","CardsAndCoins","&lt;p&gt;&lt;a href=&quot;&quot;http://btopenzone.hotspot-directory.com/results.php?txtQuick=CH43 7RF&amp;z=9&amp;radRoaming=1&quot;&quot; target=&quot;&quot;_blank&quot;&quot;&gt;Find WiFi Hotspots around Bidston station&lt;/a&gt;&lt;/p&gt;","N",,"N","N",,"N",,"N",,"N",,"N",,"0151 702 2071",,,,"Y","Y",,"N","<p>All disabled passengers will be offered assistance by station staff</p>","N","Y","<p>Telephone number for taxi companies are displayed at all of our stations.</p>",,,"N",,,"N",,,,"N",,"N",0,"No","Y",,,,"<p>Bidston Station Approch, Birkenhead</p>",,,"<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/BID.pdf"""">here</a></p>",,,,,,,"ME",,"7B7BB1C3A3644081B6A01166456C7472"
"BDL","Birkdale","bulkUploads","08/10/2013",235200,"BIRKDALE","Liverpool Road","Birkdale","Southport",,,"PR8 4AF",-3.014715579,53.63353433,"ME","fullTime","Y",,,"DepartureScreens, Announcements, ArrivalScreens",,"Y",,"Y",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,"0151 702 2951",,,,"Y",,,,"N","Y",,,"Y",,"N","Food vending machine","Y","Y",,"Y","Female toilets","N","Y","Cards","&lt;p&gt;&lt;a href=&quot;&quot;http://btopenzone.hotspot-directory.com/results.php?txtQuick=PR8 4AF&amp;z=9&amp;radRoaming=1&quot;&quot; target=&quot;&quot;_blank&quot;&quot;&gt;Find WiFi Hotspots around Birkdale station&lt;/a&gt;&lt;/p&gt;","N",,"N","Y","Post Office located nearby","N",,"N",,"N",,"N",,"0151 702 2071",,,,"Y","Y",,"N","<p>All disabled passengers will be offered assistance by station staff.</p>","Y","Y","<p>Telephone numbers for taxi companies are displayed at all of our stations.</p>",,,"N",,"<p>Car park and ticket office are step free. Interchange via level crossing.</p>","Y",,,,"Y",,"N",61,"Yes","Y","waiting room on Liverpool platform","<p>Secure cycle parking is available at the station. If you are interested in reserving secure parking further details can be found at  <a href=""""http://www.merseyrail.org"""">www.merseyrail.org</a></p> <p><span style=""""font-family: ;"""" data-sheets-rawvalue=""""8 stand 32 secure"""">26 stands 35 secure spaces</span></p>","Compound, Stands","<p>Liverpool Road, Birkdale, Southport</p>",,,"<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/BDL.pdf"""">here</a></p>",,,,,,,"ME",,"0A64B432F9934B7D88017D9B274339D5"
"BKC","Birkenhead Central","bulkUploads","08/10/2013",221700,"BIRKENHEAD CTL","Argyle Street South","Birkenhead",,,,"CH41 9DB",-3.019416498,53.38900094,"ME","fullTime","Y",,,"DepartureScreens, Announcements",,"Y",,"Y",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,"0151 702 2951",,,,"Y",,,,"N","Y",,,"Y",,"N","Food vending machine","Y","N",,"Y",,"N","Y","CardsAndCoins","&lt;p&gt;&lt;a href=&quot;&quot;http://btopenzone.hotspot-directory.com/results.php?txtQuick=CH41 9DB&amp;z=9&amp;radRoaming=1&quot;&quot; target=&quot;&quot;_blank&quot;&quot;&gt;Find WiFi Hotspots around Birkenhead Central station&lt;/a&gt;&lt;/p&gt;","N",,"N","Y","Outside the station","N",,"N",,"N","News agent","Y",,"0151 702 2071",,,,"Y","Y",,"N","<p>Ticket office counter can be adjusted in height.</p>","Y","Y","<p>Telephone number for taxi companies are displayed at all our stations.</p>",,,"N",,"<p>Ticket office and platforms are step free. Lifts access to each platform but only 800mm wide access.</p>","Y",,,,"N",,"N",56,"Yes","Y","on Liverpool bound platform","<p>Secure cycle parking is available at the station. If you are interested in reserving secure parking further details can be found at  <a href=""""http://www.merseyrail.org"""">www.merseyrail.org</a></p> <p><span style=""""font-family: ;"""" data-sheets-rawvalue=""""26 rack 30 secure spaces"""">26 racks, 30 secure spaces</span></p>","Stands, Compounds","<p>Argyle Street, Birkenhead</p>",,,"<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/BKC.pdf"""">here</a></p>",,,,,,,"ME",,"83D366C67DB44DA292460DA76E1FD380"
