"Crs Code","Name","Changed By","Changed Date","NLC","16 Char Name","Address Line 1","Address Line 2","Address Line 3","Address Line 4","Address Line 5","Postcode","Longitude","Latitude","Station Operator","Staffing Level","CCTV Available","Info. avail. from staff","Opening Note","CIS","Help Points","Help Points Available","Ticket Office Opening Note","Ticket Office Available","Ticket Office Location","Pre-purchase Collection","Ticket Machine Available","Oyster Issued","Oyster Topup","Oyster Pickup","Use Oyster","Oyster Comments","Smartcard Issued","Smartcard Topup","Smartcard Pickup","Smartcard Validator","Smartcard Comments","Travelcard Zone","Penalty Fares","Penalty Fares TOCs","Penalty Fares URL","Always show Oyster","Note","Primary Tel Country","Primary Tel Nr.","Primary Tel Ext.","Url","Available","Operator Name","Primary Tel Country","Primary Tel Nr.","Primary Tel Ext.","Url","Opening Note","Available","Operator Name","1st Class Lounge Note","1st Class Lounge Opening Note","1st Class Lounge Available","Seated Area Available","Seated Area Location","Waiting Room Opening Note","Waiting Room Available","Waiting Room Location","Trolleys Available","Refreshments Note","Refreshments Available","WC Available","WC Location","Baby Change Available","Baby Change Location","Showers Available","Telephones Exist","Telephones Usage Type","Wifi Note","Wifi Available","Web Kiosk Opening Note","Web Kiosk Available","Postbox Available","Postbox Location","Tourist Info Available","Tourist Info Location","ATM Available","ATM Location","Bureau de Change Available","Shops Note","Shops Available","Helpline Note","Helpline Contact","Helpline Opening Note","Staff Help Note","Staff Help Opening Note","Staff Help Available","Induction Loop","Accessible Ticket Machines Note","Accessible Ticket Machines Available","Height Adjusted Counter Note","Height Adjusted Counter Available","Train Access Ramp Available","Accessible Taxis","Accessible Phones","Nearest Stations More Facilities Note","National Key Toilets Available","National Key Toilets Location","Step Free Access Note","Step Free Access Available","Ticket Gates Note","Ticket Gates Available","Impaired Mobility Set Down Note","Impaired Mobility Set Down Available","Wheelchairs Opening Note","Wheelchairs Available","Spaces","Sheltered","Security","Location","Note","Type","Rail Replacement Note","Rail Replacement Map","Taxi Rank","Onward Travel","Metro Services","Airport","Port","Car Hire","Cycle Hire","Station Alert","TOCs","Station Category","Page Guid"
"ACR","Accrington","cevans","20/08/2013",255200,"ACCRINGTON","Eagle Street","Accrington","Lancashire",,,"BB5 1LN",-2.370007007,53.7532047183,"NT","partTime","Y",,,,,"N",,"Y",,"TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,"0845 00 00 125",,,,"Y",,,,"N","Y",,,"Y",,"N",,"N","N",,"N",,"N","Y","CardsAndCoins","<p>Find WiFi Hotspots around Accrington station</p>","N",,"N","N",,"N",,"N",,"N",,"N",,"08456 008 008",,,,"Y","Y","Ticket machine is on Platform 2 near the foot bridge<br>","Y","<p>Ticket office staff make every effort to provide the assistance that disabled passengers require.</p>","N","Y","<p>contact Customer Relations 0845 00 00 125</p>",,,"N",,"<p>Leeds/Colne platform : step free access from Paxton street up steep 50 metre ramp with handrail or past the casrpark and a shallower ramp. Preston platform : step free access up gently sloping footpath from Eagle Street. Ticket office is on Leeds/Colne platform, with stepped footbridge between platforms comprising of 25 steps up and 24 steps down with rest platforms .</p>","Y",,,"<p>No designated area is provided. The station front may be used for set down purposes.</p>","N",,"Y",32,"Yes","Y",,"<p><span style=""font-family: ;"" data-sheets-rawvalue=""32 stand spaces"">32 stand spaces</span></p>","Stands","<p>Replacement road transport pick up / drop off in the new station car park off Eagle Street.</p> <p>Proceed out of the station up Paxton Street., turn right onto Blackburn Road., go under railway bridge take the next right onto Eagle Street. Car park on right</p> <p>&nbsp;</p> <p>&nbsp;</p>",,"<p>Outside the station at bottom of ramp</p>","<p> <p>Information to plan your onward journey is available in a printable format <a href=""http://www.nationalrail.co.uk/posters/ACR.pdf"">here</a></p> </p>",,,,,,,"NT",,"261A1A9A76B94A50A876519F190026F1"
"ACK","Acklington","cevans","20/08/2013",766200,"ACKLINGTON","Acklington Station","Morpeth","Northumberland",,,"NE65 4DE",-1.6518374674,55.3070975547,"NT","unstaffed","Y",,,,"none","N","unstaffed","N",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,"0845 00 00 125",,,,"Y",,,,"N","Y",,,"Y","There is a waiting room provided on southbound platform.","N",,"N","N",,"N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=NE65 4DE&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Acklington station</a>","N",,"N","N",,"N",,"N",,"N",,"N",,"0808 156 1606",,,,"N","Y",,"N",,"N","Y","Contact Customer Relations 0845 00 00 125",,,"N",,"Station is unstaffed. Step free access. No access problems for disabled or wheelchair bound customers as the access to the platforms is via road bridge and ramp. Level access to Edinburgh platform, ramped access to Newcastle platform.","Y",,,"no specified set down point but the car park has level access to the station","Y",,"N",8,"No","Y",,"<p><span style=""font-family: ;"" data-sheets-rawvalue=""32 stand spaces"">8 stand spaces</span></p>","Stands","<p>Pick up and drop off at the entrance to the station car park</p>",,,"<p> <p>Information to plan your onward journey is available in a printable format <a href=""http://www.nationalrail.co.uk/posters/ACK.pdf"">here</a></p> </p>",,,,,,,"NT",,"B6BF710203534215A15DF7EDD74D3BBB"
"ADC","Adlington (Cheshire)","welsbys","25/04/2013",293900,"ADLINGTON CHES","London Road","Adlington","Macclesfield","Cheshire",,"SK10 4NA",-2.1335607741,53.3195692889,"NT","unstaffed","Y",,,,"Located on Macclesfield platform. Links for current train running.","Y",,"N",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,"0845 00 00 125",,,,"Y",,,,"N","Y",,,"N","shelter only","N",,"N","N",,"N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=SK10 4NA&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Adlington (Cheshire) station</a>","N",,"N","N",,"N",,"N",,"N",,"N",,"0808 156 1606",,,,"N","Y",,"N",,"N","Y","contact Customer Relations 0845 00 00 125","The highest operating part of the telephone is 1140 mm above floor level.","The nearest station(s) with more facilities than Adlington (Cheshire) are: <ul><li>Poynton<li>Prestbury<li>Macclesfield</ul>","N",,"Short ramp from station front to Manchester platform. Separate long sloping footpaths from Brookledge Lane over bridge to Manchester and Macclesfield platforms. Access onto trains by means of wheelchair ramp on train is dependent on the type of train. Contact Customer Relations for information","Y",,,"No designated area is provided. The station front may be used for set down purposes.","N",,"N",0,"No","Y",,,,"<p>Buses for travel towards Macclesfield and Wilmslow will depart from the bus stop at the top of the station access road at the junction with London Road (A6) Buses towards Stockport and Manchester will depart from the opposite side of the road</p>",,,"<p> <p>Information to plan your onward journey is available in a printable format <a href=""http://www.nationalrail.co.uk/posters/ADC.pdf"">here</a></p> </p>",,,,,,,"NT",,"72B70F25A1D4421CB5C1C72DE2E7828D"
"ADL","Adlington (Lancs)","cevans","20/08/2013",264100,"ADLINGTON LANCS","Railway Road","Adlington","Preston",,,"PR8 9RS",-2.603061143,53.6129455037,"NT","partTime","N",,,,,"N",,"Y",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,"0845 00 00 125",,,,"Y",,,,"N","Y",,,"Y","Waiting room available during booking office hours, and canopies at all times","N",,"N","N",,"N",,"N","N","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=PR8 9RS&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Adlington (Lancs) station</a>","N",,"N","N",,"N",,"N",,"N",,"N",,"0808 156 1606",,,,"Y","Y",,"N","<p>Ticket office staff make every effort to provide the assistance that disabled passengers require.</p>","N","Y","<p>contact Customer Relations 0845 00 00 125</p>",,,"N",,"<p>Bolton/Manchester platform: step free access from Railway Road down steep 50 metre ramp with handrail. Preston platform: level access from station front, access also from Railway Road down 21 steps to station front.</p>","Y",,,"<p>No designated area is provided. The station front may be used for set down purposes.</p>","N",,"N",8,"No","N",,,"Stands","<p>Buses for travel towards Bolton and Preston are located 50 yards on the right from the top of the railway steps along Railway Road (B6227). Nearside of the road is for Bolton and the far side of the road is for Preston.</p>",,,"<p> <p>Information to plan your onward journey is available in a printable format <a href=""http://www.nationalrail.co.uk/posters/ADL.pdf"">here</a></p> </p>",,,,,,,"NT",,"697A176FF5F147C59454BB33832EEACD"
"AWK","Adwick","cevans","20/08/2013",835300,"ADWICK","Church Lane","Adwick-le-Street","Doncaster","South Yorkshire",,"DN6 7AJ",-1.1814750981,53.5730230423,"NT","unstaffed","Y",,,,"<p>none</p>","N","unstaffed","N",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,"0845 00 00 125",,,,"Y",,,,"N","N",,,"N",,"N",,"N","N",,"N",,"N","Y","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=DN6 7AJ&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Adwick station</a></p>","N",,"N","N",,"Y",,"N",,"N",,"N",,"0808 156 1606",,,,"N","Y","Accepts Cash & Cards","Y",,"N","Y",,,,"N",,"<p>Station is unstaffed. Ramped access to both platforms via ramped footbridge. Step free access from car park to platforms. Helpline available at this station. Lift available during train running times.</p>","Y",,,"<p>Step free access from car park to platforms.</p>","Y",,"N",10,"No","Y","in the car park","<span style=""font-family: ;"" data-sheets-rawvalue=""32 stand spaces"">10 stand spaces</span>","Stands","<p>Pick Up / Drop Off at Bus Stop on Station Car Park</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/AWK.pdf"">here</a></p>",,,,,,,"NT",,"28D8FAD992D748BD9D5FB34F2DB49007"
"ALD","Alderley Edge","cevans","20/08/2013",276000,"ALDERLEY EDGE","London Road","Alderley Edge","Cheshire",,,"SK9 7QA",-2.2368004282,53.3037952145,"NT","partTime","N",,,,,"N",,"Y",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,"0845 00 00 125",,,,"Y",,,,"N","N",,,"Y","Waiting room available during booking office hours, and canopies at all times","N",,"N","N",,"N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=SK9 7QA&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Alderley Edge station</a>","N",,"N","N",,"N",,"N",,"N",,"N",,"0808 156 1606",,,,"Y","Y",,"N","<p>Ticket office staff make every effort to provide the assistance that disabled passengers require.</p>","N","Y","<p>contact Customer Relations 0845 00 00 125</p>",,"The nearest station(s) with more facilities than Alderley Edge are: <ul><li>Wilmslow</ul>","N",,"<p>Separate level access from car park to Crewe platform and from station drive to ticket office and Manchester platform. A stepped footbridge links the two platforms.</p>","Y",,,"<p>No designated area is provided. The station front may be used for set down purposes.</p>","N",,"N",10,"No","N",,"<p><span style=""font-family: ;"" data-sheets-rawvalue=""32 stand spaces"">10 stand spaces</span></p>","Stands","<p>Buses for travel towards Wilmslow and Stockport will depart from the bus stop on the A34 London Road located outside Andrew Nowell Estate Agents. Buses towards Crewe will set down/depart at the bus stop outside no.15 Wine Bar</p>",,,"<p> <p>Information to plan your onward journey is available in a printable format <a href=""http://www.nationalrail.co.uk/posters/ALD.pdf"">here</a></p> </p>",,,,,,,"NT",,"0372DCF9A0C94A5181936B9104062DD0"
"ALW","Allens West","cevans","20/08/2013",752000,"ALLENS WEST","Durham Lane","Allens West","Stockton On Tees","Redcar and Cleveland",,"TS16 0PF",-1.3634261099,54.5241168886,"NT","unstaffed","Y",,,,"none","N","unstaffed","N",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,"0845 00 00 125",,,,"Y",,,,"N","Y",,,"N","There are no waiting rooms provided at the station. Shelters are provided on both platforms.","N",,"N","N",,"N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=TS16 0PF&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Allens West station</a>","N",,"N","N",,"N",,"N",,"N",,"N",,"0808 156 1606",,,,"N","Y",,"N",,"N","Y",,,"The nearest station(s) with more facilities than Allens West are: <ul><li>Eaglescliffe</ul>","N",,"Station is unstaffed. However no access problems for disabled or wheelchair bound customers. Access to the platforms is via Durham Lane and a level crossing, which is step free. Step free access from car park to station entrance.","Y",,,"Step free access from car park to station entrance","Y",,"N",8,"No","Y",,"<p><span style=""font-family: ;"" data-sheets-rawvalue=""4 cycle lockers and 4 stand spaces"">4 cycle lockers and 4 stand spaces</span>. Stands and lockers are available. Stands are free of charge but lockers must be hired for a minimum period of 4 weeks. Cost: 4 weeks = £4.00, 6 months = £26.00, 12 months = £52.00, all with a returnable deposit of £15.00. For further information, please contact Stockton Borough council on 01642 528499.</p>","Lockers, Stands","<p>Pick Up/Drop Off adjacent to Level Crossing</p>",,,"<p> <p>Information to plan your onward journey is available in a printable format <a href=""http://www.nationalrail.co.uk/posters/ALW.pdf"">here</a></p> </p>",,,,,,,"NT",,"FC4F5B6A05824AFDAACDBD6A2ADCA73F"
"ALM","Alnmouth","MMlynarska","08/10/2013",778700,"ALNMOUTH","Alnmouth Station","Lesbury","Northumberland",,,"NE66 3QF",-1.636879701,55.3924116094,"NT","partTime","Y",,,,"<p>none</p>","N","part time opening hours","Y","<p>located on platform 1</p> <p>Accepts cards only</p>","TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,"0845 00 00 125",,,,"Y",,,,"N","Y",,,"N",,"Y",,"N","Y",,"N",,"N","Y","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=NE66 2ST&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Alnmouth station</a></p>","N",,"N","N",,"N",,"N",,"N",,"N",,"0808 156 1606",,"Barrow crossing will be closed out of booking office hours.",,"Y","Y",,"N","<p>staff will come out of the office to assist</p>","N","Y","<p>contact Customer Relations 0845 00 00 125</p>",,,"N","<p>Disabled toilet available any time with radar key access.</p>","<p>Only one member of staff at this station so any assistance must be pre booked.</p>","Y",,,,"N",,"Y",16,"Yes","Y","Up platform","<p><span style=""font-family: ;"" data-sheets-rawvalue=""8 cycle lockers and 8 stand spaces"">8 cycle lockers and 8 stand spaces</span></p>","Lockers, Stands","<p>Pick Up / Drop Off on Station Car Park</p>",,,"<p> <p>Information to plan your onward journey is available in a printable format <a href=""http://www.nationalrail.co.uk/posters/ALM.pdf"">here</a></p> </p>",,,,,"<A href=""http://www.bikeandgo.co.uk/"">http://www.bikeandgo.co.uk/</A> <BR>Only&nbsp; £3.80 per 24 hours (10 Bike & Go bicycles) <BR>Expected 2013&nbsp;",,"NT",,"B5044DA70D0E4E5D9DCF99475A83F333"
"ALP","Althorpe","cevans","20/08/2013",653200,"ALTHORPE HUMBER","Althorpe Station","Althorpe","Scunthorpe","North Lincolnshire",,"DN17 3HL",-0.7325863963,53.5852897369,"NT","unstaffed","Y",,,,"none","N","unstaffed","N",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,"0845 00 00 125",,,,"Y",,,,"N","N",,,"N","There are no waiting rooms provided at the station. Shelters are provided on both platforms.","N",,"N","N",,"N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=DN17 3HL&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Althorpe station</a>","N",,"N","N",,"N",,"N",,"N",,"N",,"0808 156 1606",,,,"N","Y",,"N",,"N","Y","contact Customer Relations 0845 00 00 125",,"The nearest station(s) with more facilities than Althorpe are: <ul><li>Scunthorpe</ul>","N",,"Station is unstaffed. No access for wheelchair bound customers as the access to the platforms is via steps. No car park available at the station.","N",,,,"N",,"N",6,"No","Y",,,"Stands","<p>Pick Up / Drop Off in the layby facing the station</p>",,,"<p> <p>Information to plan your onward journey is available in a printable format <a href=""http://www.nationalrail.co.uk/posters/ALP.pdf"">here</a></p> </p>",,,,,,,"NT",,"4346F80F7909448AA7B674C305081AF0"
"ALT","Altrincham","MMlynarska","08/10/2013",280600,"ALTRINCHAM.","Stamford New Road","Altrincham","Cheshire",,,"WA14 1EN",-2.3472814543,53.3874545043,"NT","partTime","Y",,,,,"N",,"Y",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,"0845 00 00 125",,,,"Y",,,,"N","Y",,,"N",,"N",,"N","N",,"N",,"N","Y","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=WA14 1EN&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Altrincham station</a></p>","N",,"N","N",,"N",,"N",,"N",,"N",,"0808 156 1606",,"assistance cannot be given at this station",,"Y","Y",,"N","<p>staff make every effort to provide assistance for disabled passengers requiring tickets.</p>","N","Y","<p>contact Customer Relations</p>",,,"N",,"<p>Separate level access from bus station to Platform 1(Metrolink trams) and from Oakfield Road car park entrance to Platform 4 (to Chester). To Platform 2 (Metrolink trams) and 3 (to Manchester) via gated crossing which requires staff assistance.</p>","Y",,,"<p>No designated area is provided. The station front may be used for set down purposes.</p>","N",,"N",8,"No","Y",,,"Stands","<p>Bus services will arrive and depart from the bus stop located within the station car park at the rear of Platform 4.</p>",,"<p>At opposite side of bus interchange to station, near to library</p>","<p> <p>Information to plan your onward journey is available in a printable format <a href=""http://www.nationalrail.co.uk/posters/ALT.pdf"">here</a></p> </p>","<p>Metrolink tram terminus within station.GMPTE 0161 228 7811</p>",,,,"<A href=""http://www.bikeandgo.co.uk/"">http://www.bikeandgo.co.uk/</A> <BR>Only&nbsp; £3.80 per 24 hours (10 Bike & Go bicycles) <BR>Expected 2013&nbsp;","<p>This station has Barrow or Level crossing. We do not recommend that you use it without assistance.</p>","NT",,"0292A293DBEF4141B18936A523B024F4"
