"Crs Code","Name","Changed By","Changed Date","NLC","16 Char Name","Address Line 1","Address Line 2","Address Line 3","Address Line 4","Address Line 5","Postcode","Longitude","Latitude","Station Operator","Staffing Level","CCTV Available","Info. avail. from staff","Opening Note","CIS","Help Points","Help Points Available","Ticket Office Opening Note","Ticket Office Available","Ticket Office Location","Pre-purchase Collection","Ticket Machine Available","Oyster Issued","Oyster Topup","Oyster Pickup","Use Oyster","Oyster Comments","Smartcard Issued","Smartcard Topup","Smartcard Pickup","Smartcard Validator","Smartcard Comments","Travelcard Zone","Penalty Fares","Penalty Fares TOCs","Penalty Fares URL","Always show Oyster","Note","Primary Tel Country","Primary Tel Nr.","Primary Tel Ext.","Url","Available","Operator Name","Primary Tel Country","Primary Tel Nr.","Primary Tel Ext.","Url","Opening Note","Available","Operator Name","1st Class Lounge Note","1st Class Lounge Opening Note","1st Class Lounge Available","Seated Area Available","Seated Area Location","Waiting Room Opening Note","Waiting Room Available","Waiting Room Location","Trolleys Available","Refreshments Note","Refreshments Available","WC Available","WC Location","Baby Change Available","Baby Change Location","Showers Available","Telephones Exist","Telephones Usage Type","Wifi Note","Wifi Available","Web Kiosk Opening Note","Web Kiosk Available","Postbox Available","Postbox Location","Tourist Info Available","Tourist Info Location","ATM Available","ATM Location","Bureau de Change Available","Shops Note","Shops Available","Helpline Note","Helpline Contact","Helpline Opening Note","Staff Help Note","Staff Help Opening Note","Staff Help Available","Induction Loop","Accessible Ticket Machines Note","Accessible Ticket Machines Available","Height Adjusted Counter Note","Height Adjusted Counter Available","Train Access Ramp Available","Accessible Taxis","Accessible Phones","Nearest Stations More Facilities Note","National Key Toilets Available","National Key Toilets Location","Step Free Access Note","Step Free Access Available","Ticket Gates Note","Ticket Gates Available","Impaired Mobility Set Down Note","Impaired Mobility Set Down Available","Wheelchairs Opening Note","Wheelchairs Available","Spaces","Sheltered","Security","Location","Note","Type","Rail Replacement Note","Rail Replacement Map","Taxi Rank","Onward Travel","Metro Services","Airport","Port","Car Hire","Cycle Hire","Station Alert","TOCs","Station Category","Page Guid"
"ABW","Abbey Wood","swhitworth","06/12/2013",513100,"ABBEY WOOD.","Wilton Road","Abbey Wood","London",,,"SE2 9RH",0.1203255703,51.4907705898,"SE","partTime","Y",,"Staff may not always be available during staffing times to provide assistance and booking assistance, if required,in advance is advised although not compulsory","DepartureScreens, Announcements","On platform","Y","Being staffed may mean there is only staff in the ticket office, who may not always be available to assist - booking is recommended","Y","<p>On way in to access trains</p>","TicketMachine","Y","Y","Y","TicketMachine","Y","Oyster cards with a pre-loaded deposit only are available from ticket office. Top-up only from self-service ticket machine(s)","N","N","NotAvailable","N",,"Zone 4",,,,"Y",,,,,,"N",,,,,,,"Y",,,,"N","Y",,,"N","Only available when staff present","N","Coffee kiosk","Y","Y",,"N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=SE2 9RH&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Abbey Wood station</a>","N",,"N","N",,"N",,"N",,"N",,"Y",,,,,,"Y","Y","Station forecourt","Y",,"Y","Y","<p>Accessible taxis are available</p>","<p>Public telephones are not accessible</p>",,"N",,"Suitable for wheelchair access.","Y",,,,"Y",,"Y",10,"Yes","Y","front of station",,"Stands",,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/ABW.pdf"">here</a></p>",,,,,,,"SE",,"22AAA917DCD24966B34018A406F22A5B"
"ADM","Adisham","welsbys","24/04/2013",516000,"ADISHAM","Station road,","Adisham,","Canterbury, KENT,","Kent",,"CT3 3JE",1.1991009599,51.24120466,"SE","unstaffed","Y",,"Unstaffed station",,,"Y",,"N",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"Y",,,,"N","Y",,,"N",,"N",,"N","N",,"N",,"N","N","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=CT3 3JE&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Adisham station</a>","N",,"N","N",,"N",,"N",,"N",,"N",,,,,,"N","Y",,"N","<p>Unmanned Station</p>","N","N","<p>Accessible taxis are available</p>","<p>Public telephones are not accessible</p>","The nearest station(s) with more facilities than Adisham are: <ul><li>Canterbury</ul>","N",,"<p>Access to plt 1 via unmade path.</p>","Y",,,,"N",,"N",0,"No","Y",,,,,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/ADM.pdf"">here</a></p>",,,,,,,"SE",,"8B5CC977CBF948A48A1B999EB817CB79"
"AYP","Albany Park","cevans","23/08/2013",513200,"ALBANY PARK","Steyton Avenue,","Bexley,","Kent,","Greater London",,"DA5 3HP",0.1264117482,51.435802106,"SE","partTime","Y",,"Staff may not always be available during staffing times to provide assistance and booking assistance, if required,in advance is advised although not compulsory","DepartureScreens, Announcements","<p>On platform</p>","Y","Being staffed may mean there is only staff in the ticket office, who may not always be available to assist - booking is recommended","Y","<p>On way in to access trains</p>","TicketMachine","Y","Y","Y","TicketMachine","Y","Oyster cards with a pre-loaded deposit only are available from ticket office. Top-up only from self service ticket machine","N","N","NotAvailable","N",,"Zone 5",,,,"Y",,,,,,"N",,,,,,,"Y",,,,"N","Y",,,"N","Only available when staff present","N","Coffee kiosk","Y","N",,"N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=DA5 3HP&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Albany Park station</a>","N",,"N","N",,"N",,"N",,"N",,"N",,,,,,"Y","Y","Station Forecourt","Y",,"N","Y","<p>Accessible taxis are not available</p>","<p>Public telephones are not accessible</p>",,"N",,"Not suitable for wheelchair access. The nearest accessible Station is Sidcup","N",,,,"N",,"Y",10,"No","Y",,,"Stands",,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/AYP.pdf"">here</a></p>",,,,,,,"SE",,"F7C5B7195C044C60B6405B235B7B1280"
"AFK","Ashford International","swhitworth","11/03/2014",500400,"ASHFORD (KENT)","Station Road","ASHFORD","Kent",,,"TN23 1EZ",0.8762136579,51.1437067227,"SE","fullTime","Y",,"Staff may not always be available during staffing times to provide assistance and booking assistance, if required,in advance is advised although not compulsory","DepartureScreens, Announcements, ArrivalScreens",,"Y",,"Y","<p>On way in to access trains</p>","TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"Y",,,,"N","Y",,,"Y",,"N","Coffee shop","Y","Y",,"Y",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=TN23 1EZ&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Ashford International station</a>","N",,"N","N",,"N",,"N",,"N",,"Y",,,,,,"Y","Y",,"Y",,"Y","Y","<p>Accessible taxis are available</p>","<p>Public telephones are not accessible</p>",,"Y",,"<p>Please refer to relevant train operator. Suitable for wheelchair access.</p>","Y",,,,"Y",,"Y",232,"Yes","Y","behind bus stop front of station",,"Stands",,,"<p>in front of station</p>","<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/AFK.pdf"">here</a></p>",,,,,"Brompton Dock <BR>0208 232 3931<BR><A href=""http://www.bromptondock.co.uk/"">www.bromptondock.co.uk</A>&nbsp;",,"SE",,"61DB43CACD0E432BAD0CCC5C7622ADE4"
"AYL","Aylesford","cevans","23/08/2013",516200,"AYLESFORD","Station Road","Aylesford","Kent",,,"ME20 7LL",0.4661759816,51.3013152424,"SE","unstaffed","Y",,"Unstaffed station","DepartureScreens, Announcements","On platform","Y",,"N",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"Y",,,,"N","Y",,,"N",,"N",,"N","N",,"N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=ME20 7LL&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Aylesford station</a>","N",,"N","N",,"N",,"N",,"N",,"N",,,,,,"N","Y",,"N","Unmanned Station","N","N","<p>Accessible taxis are not available</p>","<p>Public telephones are not accessible</p>",,"N",,"Platform 1 suitable for wheelchair access - Nearest suitable stations are Maidstone West/East","N",,,,"Y",,"N",6,"No","Y","Platform 1",,"Stands",,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/AYL.pdf"">here</a></p>",,,,,,,"SE",,"E7C046F3F2E4410C82A84A8076944FF4"
"AYH","Aylesham","PChilver","24/07/2013",519700,"AYLESHAM","Ackholt Road","AYLESHAM","Kent",,,"CT3 3AS",1.2094647967,51.2272569983,"SE","partTime","Y",,"Staff may not always be available during staffing times to provide assistance and booking assistance, if required,in advance is advised although not compulsory",,,"Y","Being staffed may mean there is only staff in the ticket office, who may not always be available to assist - booking is recommended","Y",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"Y",,,,"N","Y",,,"Y","platform 1","N",,"N","N",,"N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=TN23 1EZ&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Aylesham station</a>","N",,"N","N",,"N",,"N",,"N",,"N",,,,,,"Y","Y",,"N",,"N","Y","<p>Accessible taxis are available</p>","<p>Public telephones are not accessible</p>","The nearest station(s) with more facilities than Aylesham are: <ul><li>Canterbury</ul>","N",,"Up platform to London accessed through ticket office or when closed through the side gate. No access to Platform 2. Car Park has no marked spaces.","N",,,,"N",,"Y",0,"No","Y",,"You may leave your cycle in the rack provided on Platform 1, however you do so at your own risk.",,,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/AYH.pdf"">here</a></p>",,,,,,,"SE",,"D684AA03041F439F9B4542E1DF7172AD"
"BMG","Barming","cevans","23/08/2013",513300,"BARMING","BARMING Rail Station","MAIDSTONE","Kent",,,"ME16 9NS",0.4789637551,51.2848921019,"SE","partTime","Y",,"Staff may not always be available during staffing times to provide assistance and booking assistance, if required,in advance is advised although not compulsory","DepartureScreens",,"Y","Being staffed may mean there is only staff in the ticket office, who may not always be available to assist - booking is recommended","Y",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"Y",,,,"N","Y",,,"N","Only available when staff present","N",,"N","N",,"N",,"N","N","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=ME16 9NS&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Barming station</a>","N",,"N","N",,"N",,"N",,"N",,"N",,,,,,"Y","Y",,"N",,"N","Y","<p>Accessible taxis are not available</p>","<p>Public telephones are not accessible</p>","The nearest station(s) with more facilities than Barming are: <ul><li>Maidstone</ul>","N",,"Platform 2 suitable for wheelchair access. Nearest suitable station is Maidstone East.","N",,,,"Y",,"Y",9,"Yes","Y","car park & Platform 2",,"Stands",,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/BMG.pdf"">here</a></p>",,,,,,,"SE",,"0E86F87F81A444ED90E018C6BF3F8FEA"
"BNH","Barnehurst","cevans","23/08/2013",508900,"BARNEHURST","Station Approach","BARNEHURST","Greater London",,,"DA7 6HQ",0.1608769153,51.4648492522,"SE","partTime","Y",,"Staff may not always be available during staffing times to provide assistance and booking assistance, if required,in advance is advised although not compulsory","ArrivalScreens","<p>On platform</p>","Y","Being staffed may mean there is only staff in the ticket office, who may not always be available to assist - booking is recommended","Y","<p>On way in to access trains</p>","TicketMachine","Y","Y","Y","TicketMachine","Y","Oyster cards with a pre-loaded deposit only are available from ticket office. Top-up only from self-service ticket machine(s)","N","N","NotAvailable","N",,"Zone 6",,,,"Y",,,,,,"N",,,,,,,"Y",,,,"N","Y",,,"Y","in booking hall","N",,"N","Y",,"N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=DA7 6HQ&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Barnehurst station</a>","N",,"N","N",,"N",,"N",,"N",,"Y",,,,,,"Y","Y","Station Forecourt","Y",,"Y","Y","<p>Accessible taxis are not available</p>","<p>Public telephones are not accessible</p>",,"N",,"Step free access to Platform 2 via Car Park in Hornbeam Lane. Step free access to Platform 1 via path linking Station Approach to Northall Road.","Y",,,,"Y",,"Y",10,"Yes","Y","rear of ticket office","<p>You may leave your cycle in the racks provided near the station entrances, however you do so at your own risk.</p>","Stands",,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/BNH.pdf"">here</a></p>",,,,,,,"SE",,"58FFA1C634A74ADCA0C8309EFC051A48"
"BBL","Bat & Ball","welsbys","24/04/2013",509000,"-","Bat & Ball Road","SEVENOAKS","Kent",,,"TN14 5AP",0.194239522,51.2897582534,"SE","unstaffed","Y",,"Unstaffed station","DepartureScreens","<p>On platform</p>","Y",,"N",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"Y",,,,"N","Y",,,"N",,"N",,"N","N",,"N",,"N","N","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=TN14 5AP&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Bat & Ball station</a>","N",,"N","N",,"N",,"N",,"N",,"N",,,,,,"N","Y",,"N","<p>Unmanned Station</p>","N","N","<p>Accessible taxis are not available</p>","<p>Public telephones are not accessible</p>",,"N",,"<p>Platform 2 suitable for wheelchair access. Nearest suitable station is Sevenoaks.</p>","N",,,,"N",,"N",0,"No","Y",,,,,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/BBL.pdf"">here</a></p>",,,,,,,"SE",,"2040DA3C9A674FC3B0CCF7E7DBEB11EB"
"BAT","Battle","cevans","23/08/2013",521500,"BATTLE","Station Approach","BATTLE","East Sussex",,,"TN33 0DE",0.4947070255,50.9129109203,"SE","partTime","Y",,"Staff may not always be available during staffing times to provide assistance and booking assistance, if required,in advance is advised although not compulsory","DepartureScreens, Announcements, ArrivalScreens",,"Y","Being staffed may mean there is only staff in the ticket office, who may not always be available to assist - booking is recommended","Y","<p>On the way to accessing trains</p>","TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"Y",,,,"N","Y",,,"Y","booking hall area","N",,"N","Y",,"N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=TN33 0DE&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Battle station</a>","N",,"N","N",,"N",,"N",,"N",,"N",,,,,,"Y","Y","<p>To be installed on platform 1</p>","Y",,"Y","Y","<p>Accessible taxis are available</p>","<p>Public telephones are not accessible</p>",,"N",,"<p>Toilets only are step free. Platform 1 only step free.</p>","N",,,,"Y",,"N",20,"Yes","Y","Car park","<p>You may leave your cycle in the rack provided at the front of the station, however you do so at your own risk.</p>","Stands",,,"<p>outside station front</p>","<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/BAT.pdf"">here</a></p>",,,,,,,"SE",,"D3AA0C968DA8468192CCE8163C53F73F"
