"Crs Code","Name","Changed By","Changed Date","NLC","16 Char Name","Address Line 1","Address Line 2","Address Line 3","Address Line 4","Address Line 5","Postcode","Longitude","Latitude","Station Operator","Staffing Level","CCTV Available","Info. avail. from staff","Opening Note","CIS","Help Points","Help Points Available","Ticket Office Opening Note","Ticket Office Available","Ticket Office Location","Pre-purchase Collection","Ticket Machine Available","Oyster Issued","Oyster Topup","Oyster Pickup","Use Oyster","Oyster Comments","Smartcard Issued","Smartcard Topup","Smartcard Pickup","Smartcard Validator","Smartcard Comments","Travelcard Zone","Penalty Fares","Penalty Fares TOCs","Penalty Fares URL","Always show Oyster","Note","Primary Tel Country","Primary Tel Nr.","Primary Tel Ext.","Url","Available","Operator Name","Primary Tel Country","Primary Tel Nr.","Primary Tel Ext.","Url","Opening Note","Available","Operator Name","1st Class Lounge Note","1st Class Lounge Opening Note","1st Class Lounge Available","Seated Area Available","Seated Area Location","Waiting Room Opening Note","Waiting Room Available","Waiting Room Location","Trolleys Available","Refreshments Note","Refreshments Available","WC Available","WC Location","Baby Change Available","Baby Change Location","Showers Available","Telephones Exist","Telephones Usage Type","Wifi Note","Wifi Available","Web Kiosk Opening Note","Web Kiosk Available","Postbox Available","Postbox Location","Tourist Info Available","Tourist Info Location","ATM Available","ATM Location","Bureau de Change Available","Shops Note","Shops Available","Helpline Note","Helpline Contact","Helpline Opening Note","Staff Help Note","Staff Help Opening Note","Staff Help Available","Induction Loop","Accessible Ticket Machines Note","Accessible Ticket Machines Available","Height Adjusted Counter Note","Height Adjusted Counter Available","Train Access Ramp Available","Accessible Taxis","Accessible Phones","Nearest Stations More Facilities Note","National Key Toilets Available","National Key Toilets Location","Step Free Access Note","Step Free Access Available","Ticket Gates Note","Ticket Gates Available","Impaired Mobility Set Down Note","Impaired Mobility Set Down Available","Wheelchairs Opening Note","Wheelchairs Available","Spaces","Sheltered","Security","Location","Note","Type","Rail Replacement Note","Rail Replacement Map","Taxi Rank","Onward Travel","Metro Services","Airport","Port","Car Hire","Cycle Hire","Station Alert","TOCs","Station Category","Page Guid"
"AGT","Aldrington","CPancutt","11/11/2013",528000,"ALDRINGTON","Aldrington Avenue","Hove",,,,"BN3 5AE",-0.181209698,50.83636472,"SN","unstaffed","Y",,"This station is not staffed","DepartureScreens, Announcements",,"Y",,"N",,"TicketMachine","Y","N","N","NotAvailable","N",,"N","Y","TicketMachine","Y",,,,,,"N","<p>Please call Customer Services 08451 272920</p> <p> <p><strong>Cycle restrictions on Southern trains from this station</strong></p> <p>0801 to Brighton - cycles cannot be carried at all on this train<br/>0824 to Brighton - cycles cannot be carried at all on this train<br/>0841 to Brighton - cycles cannot be carried at all on this train<br/>1729 to Littlehampton - cycles cannot be carried on this train<br/>1751 to Littlehampton - cycles cannot be carried on this train<br/>1806 to Portsmouth Harbour - cycles cannot be carried on this train<br/>1834 to Southampton Central - cycles cannot be carried on this train<br/></p> <p>Please visit <a href=""""http://www.southernrailway.com/your-journey/cycle-policy/"""" target=""""_blank"""">www.southernrailway.com/cyclepolicy</a> for more information</p> </p>",,,,,"N",,,,,,,"N","Please call Customer Services on 08451 272920",,,"N","Y",,,"N","<p>Small shelter with step on each platform with seat inside.</p>","N",,"N","N",,"N",,"N","N",,"&lt;p&gt;Find WiFi Hotspots around Aldrington station&lt;/p&gt;","N",,"N","N",,"N",,"N",,"N",,"N","<p>Please call our assisted travel team on 0800 138 1016 to book assistance at stations in advance of travel.</p>","0800 138 1016",,"<p>This station is not staffed</p>",,"N","Y",,"Y","<p>No booking office</p>","N","Y",,,"<p>Hove</p>","N",,"<p>Steep ramps to platforms.  Thin platforms (2m), ramps cannot be deployed.</p>","Y",,,"<p>Drop off available from Mortimer Road</p>","N",,"N",8,"No","Y","<p>Subway</p>",,"Stands","<p>Down from station on corner of Portland Road and Tamworth Road.</p>",,"<p>Information on taxis from this station is available at www.traintaxi.co.uk</p>","<p>Information to plan your onward journey is available in a printable format <a href="""">here</a></p> <p>Live bus running information available on screens at entrance and exit from platforms.</p>",,,,,,,"SN",,"EE8D03E3063E4F4387E1321E5D4F3B91"
"AMY","Amberley","kmonk","14/11/2013",525000,"AMBERLEY","New Barn Road","Amberley",,,,"BN18 9LR",-0.541989047,50.896668,"SN","unstaffed","Y",,,"Announcements","<p>Emergency telephone on platform 2 with poster listing numbers to ring to obtain information.</p>","Y",,"N",,"TicketMachine","Y","N","N","NotAvailable","N",,"N","Y","TicketMachine","Y",,,,,,"N","<p>Please call Customer Services on 08451 272920</p> <p> </p> <p><strong>Cycle restrictions on Southern trains from this station</strong></p> <p>0626 to London Victoria - cycles cannot be carried beyond Horsham<br/>0736 to London Victoria - cycles cannot be carried beyond Horsham<br/>0816 to London Victoria - cycles cannot be carried beyond Horsham</p> <p>Please visit <a href=""""http://www.southernrailway.com/your-journey/cycle-policy/"""" target=""""_blank"""">www.southernrailway.com/cyclepolicy</a> for more information.</p> <p> </p>",,,,,"N",,,,,,,"N","Please call Customer services on 08451272920",,,"N","Y",,,"N",,"N",,"N","N",,"N",,"N","Y","CardsAndCoins","&lt;p&gt;Find WiFi Hotspots around Amberley station&lt;/p&gt;","N",,"N","N",,"N",,"N",,"N",,"N","<p>Please call Assisted travel team on 08001381016</p>","Please call Assisted travel team on 08001381016",,"<p>This station is not staffed.</p>",,"N","Y",,"Y","<p>No booking office</p>","N","Y","<p>Accessible taxis to/from this station to/from the nearest accessible station can be arranged through Southern Assisted Travel - 0800 138 1016. For other taxi journeys, contact local taxi companies, details of which can be found at www.traintaxi.co.uk.</p>",,"<p>The nearest station(s) with more facilities than Amberley are:</p> <ul> <li>Arundel </li> <li>Horsham </li> </ul>","N",,"<p>Partially Step Free.  Level access to platform 2 (to the coast).  Steps to platform 1 (to London).</p>","N",,,"<p>There are pick up / drop off points in the Amberley working museum car park</p>","Y",,"N",0,"No","Y",,,,,,,"<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/AMY.pdf"""">here</a></p>",,,,,,,"SN",,"44924368790546159BA19C182C71871A"
"ANG","Angmering","CRaan","21/03/2014",526700,"ANGMERING","Station Road","East Preston","Angmering","West Sussex",,"BN16 3RE",-0.4893894,50.8165699,"SN","partTime","Y",,,"DepartureScreens, Announcements",,"Y",,"Y","<p>Located in the booking hall</p>","TicketMachine","Y","N","N","NotAvailable","N",,"N","Y","TicketMachine","Y",,,,,,"N","<p>Please call Customer Services on 08451 272920</p> <p> <p><strong>Cycle restrictions on Southern trains from this station</strong></p> <p>0537 to Victoria - cycles cannot be carried beyond Hove<br/>0602 to London Bridge - cycles cannot be carried beyond Hove<br/>0640 to London Bridge - cycles cannot be carried beyond Hove<br/>0650 to Victoria - cycles cannot be carried beyond Hove<br/>0711 to Victoria - cycles cannot be carried beyond Hove<br/>0726 to Brighton - cycles cannot be carried beyond Worthing<br/>0730 to Brighton - cycles cannot be carried beyond Worthing<br/>0738 to Victoria - cycles cannot be carried beyond Hove<br/>0753 to Brighton - cycles cannot be carried beyond Worthing<br/>0806 to Brighton - cycles cannot be carried on this train<br/>0810 to Brighton - cycles cannot be carried on this train<br/>0823 to Victoria - cycles cannot be carried beyond Hove<br/>0846 to Brighton - cycles cannot be carried beyond Worthing</p> <p> <p>Please visit <a href=""""http://www.southernrailway.com/your-journey/cycle-policy/"""" target=""""_blank"""">www.southernrailway.com/cyclepolicy</a> for more information</p> </p> </p>",,,,,"N",,,,,,,"N","Please call Customer Service 08451 272 920",,,"N","Y",,,"Y","<p>Platform 1- seats under roof</p> <p>Platform 2 - ramp to small shelter with perch seats </p> <p>Platform 2 - seats on platform </p> <p>Seating available in the ticket hall</p>","N","Coffee kiosk","Y","Y",,"Y",,"N","N",,"&lt;p&gt;&lt;a href=&quot;&quot;http://btopenzone.hotspot-directory.com/results.php?txtQuick=BN16 3RE&amp;z=9&amp;radRoaming=1&quot;&quot; target=&quot;&quot;_blank&quot;&quot;&gt;Find WiFi Hotspots around Angmering station&lt;/a&gt;&lt;/p&gt;","N",,"N","N",,"N",,"N",,"N",,"N","<p>Please call assisted travel team on 08001381016</p>","Please call the assisted travel team on 08001381016",,,,"Y","Y",,"Y",,"N","Y","<p>For information contact local taxi companies, details of which can be found at www.traintaxi.co.uk.</p>",,"<p>Littlehampton</p> <p>Barnham</p>","N",,"<p>Step-free access to both platforms via side gates. Access between platforms via level crossing.</p>","Y",,,"<p>Available outside ticket hall</p>","Y",,"N",62,"Yes","Y","Platform 2 and car park",,"Stands","<p>Southbound and Northbound buses will stop directly outside the station exit.</p>",,"<p>Information on taxis from this station is available at www.traintaxi.co.uk</p>","<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/ANG.pdf"""">here</a></p>",,,,,,,"SN",,"C2011D01EADE43348AFBEF068C0A64FC"
"APD","Appledore (Kent)","CPancutt","12/11/2013",500300,"APPLEDORE KENT","Station Road","Appledore","Kent",,,"TN26 2DF",0.816355536,51.0332352,"SN","unstaffed","Y",-1,,"DepartureScreens",,"N",,"N",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N","<p><strong>Cycle restrictions on Southern trains from this station<br/></strong>0627 to Brighton - cycles cannot be carried beyond Eastbourne<br/>0731 to Brighton - cycles cannot be carried beyond Hastings</p> <p>Please visit <a href=""""http://www.southernrailway.com/cyclepolicy"""">www.southernrailway.com/cyclepolicy</a> for more information</p>",,,,,"N",,,,,,,"N","Call Customer Services on 08451 27 29 20",,,"N","Y",,,"N",,"N",,"N","N",,"N",,"N","Y","CardsAndCoins","&lt;p&gt;&lt;a href=&quot;&quot;http://btopenzone.hotspot-directory.com/results.php?txtQuick=TN26 2DF&amp;z=9&amp;radRoaming=1&quot;&quot; target=&quot;&quot;_blank&quot;&quot;&gt;Find WiFi Hotspots around Appledore (Kent) station&lt;/a&gt;&lt;/p&gt;","N",,"N","N",,"N",,"N",,"N",,"N",,,,,,"N","Y","<p>No ticket machines</p>","N","<p>There is no ticket hall at this station</p>","N","N","<p>For information contact local taxi companies, details of which can be found at www.traintaxi.co.uk.</p>",,"<p>The nearest station(s) with more facilities than Appledore (Kent) are:</p> <ul> <li>Rye</li> <li>Ashford International</li> </ul>","N",,"<p>Level access platform 1 (to Ashford International).  Short path and gentle ramp to platform 2 (to Hastings).  Access between platforms via level crossing. </p>","Y",,,"<p>No dedicated area</p>","N",,"N",4,"Yes","Y","on Platform 1",,"Stands","<p>Southbound buses will stop on the near side of Oakleigh Park North outside the station exit. Northbound buses will stop on the far side of Oakleigh Park North outside the station exit.</p>",,"<p>Information on taxis from this station is available at www.traintaxi.co.uk</p>","<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/APD.pdf"""">here</a></p>",,,,,,,"SN",,"988DF646DE1048C2B6F27960EFE947B7"
"ARU","Arundel","CRaan","21/03/2014",525100,"ARUNDEL","Station Approach","Arundel","West Sussex",,,"BN18 9PH",-0.546171346,50.84820145,"SN","partTime","Y",,,"DepartureScreens, Announcements",,"N",,"Y","<p>Located in the booking hall</p>","TicketMachine","Y","N","N","NotAvailable","N",,"N","Y","TicketOffice, TicketMachine","N","<p>Southern's smartcard is called 'the key'.  You can apply on line at <a href=""http://www.southernrailway.com/thekey"">www.southernrailway.com/thekey</a> or pick up an application form from a Southern ticket office</p>",,,,,"N","<p><strong>Cycle restrictions on Southern trains from this station</strong></p> <p>0557 to London Victoria - cycles cannot be carried beyond Horsham<br/>0621 to London Victoria - cycles cannot be carried beyond Horsham<br/>0658 to London Victoria - cycles cannot be carried beyond Horsham<br/>0718 to London Bridge - cycles cannot be carried beyond Horsham<br/>0731 to London Victoria - cycles cannot be carried beyond Horsham<br/>0811 to London Victoria - cycles cannot be carried beyond Horsham</p> <p>Please visit <a href=""""http://www.southernrailway.com/your-journey/cycle-policy/"""">www.southernrailway.com/cyclepolicy</a> for more information.</p>",,,,,"N",,,,,,,"N",,,,"N","Y",,,"Y",,"N",,"Y","Y",,"N",,"N","Y","CardsAndCoins","&lt;p&gt;&lt;a href=&quot;&quot;http://btopenzone.hotspot-directory.com/results.php?txtQuick=BN18 9PH&amp;z=9&amp;radRoaming=1&quot;&quot; target=&quot;&quot;_blank&quot;&quot;&gt;Find WiFi Hotspots around Arundel station&lt;/a&gt;&lt;/p&gt;","N",,"N","N",,"N",,"N",,"N",,"N",,,,,,"Y","Y",,"Y",,"N","Y","<p>For information contact local taxi companies, details of which can be found at www.traintaxi.co.uk.</p>",,"<ul> <li>Barnham</li> <li>Horsham</li> </ul>","N",,"<p>Platform 1 (to London) step free from front of station.  Platform 2 (to coast) step free via side street.</p>","Y",,,"<p>Whilst there is no dedicated area, there is ample space for impaired mobility set down / pick up</p>","Y",,"N",23,"Yes","Y","Platform 1 and car park",,"Stands","<p>Station forecourt</p>",,"<p>Information on taxis from this station is available at www.traintaxi.co.uk</p>","<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/ARU.pdf"""">here</a></p>",,,,,,,"SN",,"1BB61E5D1D0A46E4A42678B28F408697"
"AHD","Ashtead","CRaan","21/03/2014",534700,"ASHTEAD","Woodfield Lane","Ashtead","Surrey",,,"KT21 2DR",-0.308147338,51.31788158,"SN","partTime","Y",,,"DepartureScreens, Announcements","<p>White in colour</p>","Y",,"Y","<p>Ticket machines located close to ticket office and on platform 2.</p>","TicketMachine","Y","N","N","NotAvailable","N",,"N","Y","TicketMachine","N","<p>Southern's smartcard is called 'the key'.  You can apply on line at <a href=""http://www.southernrailway.com/thekey"">www.southernrailway.com/thekey</a> or pick an application form from a Southern ticket office. </p>",,,,,"N",,,,,,"N",,,,,,,"N",,,,"N","Y",,,"Y","<p>Waiting rooms are available on both platforms</p>","N","<p>A small outlet selling coffees, teas and newspapers is avaialble from 05.45 - 09.00, Monday to Friday located on platform 1.</p>","Y","Y",,"Y",,"N","Y","Cards","&lt;p&gt;&lt;a href=&quot;&quot;http://btopenzone.hotspot-directory.com/results.php?txtQuick=KT21 2DR&amp;z=9&amp;radRoaming=1&quot;&quot; target=&quot;&quot;_blank&quot;&quot;&gt;Find WiFi Hotspots around Ashtead station&lt;/a&gt;&lt;/p&gt;","N",,"N","Y","<p>Situated next to level crossing on Platform 2 side</p>","N",,"N",,"N",,"N",,,,,,"Y","Y",,"Y",,"Y","Y","<p>For information contact local taxi companies, details of which can be found at www.traintaxi.co.uk.</p>",,"<ul> <li>Epsom</li> </ul>","N",,"<p>Step-free access to platforms. Interchange between platforms via level crossing.</p> <p>Step free access to coffee stall on platform 1 - limited times only</p>","Y",,,"<p>Whilst there is no dedicated area, there is ample space for impaired mobility set down / pick up</p>","Y",,"N",80,"Yes","Y","car park","<p><span style=""""font-family: ;"""" data-sheets-rawvalue=""""5 lockers and 60 cycle stand parking spaces"""">5 lockers and 60 cycle stand parking spaces</span></p>","Lockers, Stands","<p>On the corner of Woodfield Road and Woodfield Lane.</p>",,"<p>Taxi company available within station car park</p> <p>Tel: 01372 271271</p> <p>Additional information on taxis from this station is available at www.traintaxi.co.uk</p>","<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/AHD.pdf"""">here</a></p>",,,,,,,"SN",,"C5A23F31E1B04F8EB3853D76652CE497"
"AHS","Ashurst (Kent)","kmonk","13/11/2013",539800,"ASHURST KENT","off A264 Ashurst Hill","Ashurst",,,,"TN3 9TL",0.152661963,51.12865582,"SN","unstaffed","Y",,,,"<p>Yes, both are white in colour</p>","Y",,"N",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N","<p>Call Customer Services 08451 272920</p>",,,,,"N",,,,,,,"N","Please call customer service on 08451 272 920",,,"N","Y",,"Seat in shelter on platform 1 (1 step to access) seat in shelter on platform 2 (step free) No space for wheelchairs.","N",,"N",,"N","N",,"N",,"N","N",,"&lt;p&gt;&lt;a href=&quot;&quot;http://btopenzone.hotspot-directory.com/results.php?txtQuick=TN3 9TL&amp;z=9&amp;radRoaming=1&quot;&quot; target=&quot;&quot;_blank&quot;&quot;&gt;Find WiFi Hotspots around Ashurst station&lt;/a&gt;&lt;/p&gt;","N",,"N","N",,"N",,"N",,"N",,"N","<p>Please call the assisted travel team on 0800 138 1016</p>","Please call the assisted travel team on 0800 138 1016",,"<p>Station is not staffed </p>",,"N","Y","<p>Permit to Travel</p>","N","<p>No booking office</p>","N","Y","<p>For information contact local taxi companies, details of which can be found at www.traintaxi.co.uk.</p>",,"<p>The nearest station(s) with more facilities than Ashurst are:</p> <ul> <li>Edenbridge</li> <li>Tunbridge Wells</li> </ul>","N",,"<p>Partially Step Free.  Level access to platform 2 (to Uckfield).  Steps to platform 1 (to London)</p>","N",,,"<p>In Car Park</p>","Y",,"N",8,"No","Y","<p>Car park</p>","<p>Lockers are hired for - 3 months (13 weeks) £20 - 6 months (26 weeks) £40 - 12 months (52 weeks) £71</p>","Stands","<p>Outside station approach on A264 Ashurst Hill.</p>",,"<p>Information on taxis from this station is available at www.traintaxi.co.uk</p>","<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/AHS.pdf"""">here</a></p>",,,,,,,"SN",,"99F0C96938F44441B2DA14FF527CC12B"
"BAB","Balcombe","CRaan","21/03/2014",549200,"BALCOMBE","London Road","Balcombe","West Sussex",,,"RH17 6JQ",-0.136932431,51.05551334,"SN","partTime","Y","Yes - from help point, Yes - from ticket office",,"DepartureScreens, Announcements","<p>The help point is white</p>","Y",,"Y",,"TicketOffice","Y","N","N","NotAvailable","N",,"N","Y","TicketMachine","Y","<p>Southerns smart card is called the key you can apply at <a href=""http://www.southernrailway.com/thekey"">www.southernrailway.com/thekey</a> or pick up an application form from a Southern ticket office.</p>",,,,,"N","<p>Call Customer Services 08451 272920</p>",,,,,"N",,,,,,,"N","Please call customer services on 08451 272 2920",,,"N","Y",,"Shelter on platform 1 - not suitable for wheelchairs (narrow door and 1 step). P","Y",,"N",,"N","Y",,"N",,"N","N","CardsAndCoins","&lt;p&gt;&lt;a href=&quot;&quot;http://btopenzone.hotspot-directory.com/results.php?txtQuick=RH17 6JQ&amp;z=9&amp;radRoaming=1&quot;&quot; target=&quot;&quot;_blank&quot;&quot;&gt;Find WiFi Hotspots around Balcombe station&lt;/a&gt;&lt;/p&gt;","Y",,"N","N",,"N",,"N",,"N",,"N",,,,,,"Y","Y",,"N",,"N","Y","<p>Accessible taxis to/from this station to/from the nearest accessible station can be arranged through Southern Assisted Travel - 0800 138 1016. For other taxi journeys, contact local taxi companies, details of which can be found at www.traintaxi.co.uk.</p>",,"<p>The nearest station(s) with more facilities than Balcombe are:</p> <ul> <li>Haywards Heath</li> <li>Three Bridges</li> </ul>","N",,"<p>Partially step free access.  Step-free access from car park to platform 1 (for trains to London). Footbridge with steps to platform 2 (for trains to Brighton). Nearest step-free staffed station is Haywards Heath.</p>","N",,,"<p>In Car Park</p>","Y",,"N",6,"No","Y","car park",,"Stands","<p>Outside station on B2036 London Road.</p>",,"<p>Information on taxis from this station is available at www.traintaxi.co.uk</p>","<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/BAB.pdf"""">here</a></p>",,,,,,,"SN",,"33DBADAA3FF4469C94961B73A86D6C3F"
"BAL","Balham","kmonk","14/11/2013",539900,"BALHAM.","Balham High Road","Balham","London",,,"SW12 9SG",-0.152421221,51.44322754,"SN","fullTime","Y",,,"DepartureScreens, Announcements","<p>These are white in colour, linked to staff in control 24 hours a day and can be found on all platforms and the paved area outside the station. Also, there is a staffed customer information counter on platforms 1/2.</p>","Y",,"Y","<p>Located in the booking hall</p>","TicketOffice, TicketMachine","Y","Y","Y","TicketOffice, TicketMachine","Y",,"N","N","NotAvailable","N",,"Zone 3",,,,"Y","<p>Please contact Customer Services on 08451 272920</p>",,,,,"N",,,,,,,"N","Please call Customer services on 08451 272 920",,,"N","Y",,,"N",,"N","Food outlet (Seating available)","Y","Y",,"N",,"N","N","CardsAndCoins","&lt;p&gt;&lt;a href=&quot;&quot;http://btopenzone.hotspot-directory.com/results.php?txtQuick=SW12 9SG&amp;z=9&amp;radRoaming=1&quot;&quot; target=&quot;&quot;_blank&quot;&quot;&gt;Find WiFi Hotspots around Balham station&lt;/a&gt;&lt;/p&gt;","N",,"N","N",,"N",,"N",,"N",,"N",,"Please call the Assisted travel team on 0800 138 1016",,,,"Y","Y",,"Y","<p>Please ask staff for assistance or call Southern Assisted Travel in advance of travel on 0800 138 1016</p>","Y","Y","<p>London Black Cab area.</p>",,"<p>London Victoria & Clapham Junction</p>","Y","<p>Accessible toilet available on platform 1.  If this is locked please ask staff at the staffed information point for the key.</p>","<p>Step-free access to platforms 1 and 2 from street via lift. Step-free interchange is possible between platforms 1 (to Croydon/Sutton/London Bridge) and 2 (to Victoria). During times of engineering work trains may stop on platform 3 which is not step-free, please check when dates of travel are known. Nearest step-free stations are Clapham Junction, Victoria, Streatham Common or Streatham Hill.</p>","N",,,,"N",,"Y",14,"Yes","Y","<p>Side entrance</p>",,"Stands",,,,"<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/BAL.pdf"""">here</a></p>","<p>Underground</p>",,,,,,"SN",,"AFA4749EB07F444CBA6371258F06F5C6"
"BAD","Banstead","CPancutt","13/11/2013",534800,"BANSTEAD","Banstead Road","Banstead","Surrey",,,"SM7 1PZ",-0.213158063,51.32934844,"SN","unstaffed","Y",-1,,"DepartureScreens, Announcements","<p>The help point is white in colour and situated near the stairs to the platform.  There is also a yellow automated help point on the platform.</p>","Y",,"N",,"NotAvailable","Y","N","N","NotAvailable","Y",,"N","N","NotAvailable","N",,"Zone 6",,,,"Y","<p>Please call on 08451 272920</p>",,,,,"N",,,,,,,"Y",,,,"N","Y",,,"N",,"N",,"N","N",,"N",,"N","N","CardsAndCoins","&lt;p&gt;&lt;a href=&quot;&quot;http://btopenzone.hotspot-directory.com/results.php?txtQuick=SM7 1PZ&amp;z=9&amp;radRoaming=1&quot;&quot; target=&quot;&quot;_blank&quot;&quot;&gt;Find WiFi Hotspots around Banstead station&lt;/a&gt;&lt;/p&gt;","N",,"N","N",,"N",,"N",,"N",,"N",,,,,,"N","Y","<p>Ticket machine available on Platform 1</p>","Y","<p>No booking office</p>","N","Y","<p>London Black Cab area.</p>",,"<p>Epsom Downs or Sutton</p>","N",,"<p>No step-free access. Nearest step-free station is Sutton.</p>","N",,,,"N",,"N",10,"Yes","Y",,,"Stands",,,,"<p>Information to plan your onward journey is available in a printable format <a href=""""http://www.nationalrail.co.uk/posters/BAD.pdf"""">here</a></p>",,,,,,,"SN",,"E653684A90D84FA086C7F0E03E25EF5C"
