"Crs Code","Name","Changed By","Changed Date","NLC","16 Char Name","Address Line 1","Address Line 2","Address Line 3","Address Line 4","Address Line 5","Postcode","Longitude","Latitude","Station Operator","Staffing Level","CCTV Available","Info. avail. from staff","Opening Note","CIS","Help Points","Help Points Available","Ticket Office Opening Note","Ticket Office Available","Ticket Office Location","Pre-purchase Collection","Ticket Machine Available","Oyster Issued","Oyster Topup","Oyster Pickup","Use Oyster","Oyster Comments","Smartcard Issued","Smartcard Topup","Smartcard Pickup","Smartcard Validator","Smartcard Comments","Travelcard Zone","Penalty Fares","Penalty Fares TOCs","Penalty Fares URL","Always show Oyster","Note","Primary Tel Country","Primary Tel Nr.","Primary Tel Ext.","Url","Available","Operator Name","Primary Tel Country","Primary Tel Nr.","Primary Tel Ext.","Url","Opening Note","Available","Operator Name","1st Class Lounge Note","1st Class Lounge Opening Note","1st Class Lounge Available","Seated Area Available","Seated Area Location","Waiting Room Opening Note","Waiting Room Available","Waiting Room Location","Trolleys Available","Refreshments Note","Refreshments Available","WC Available","WC Location","Baby Change Available","Baby Change Location","Showers Available","Telephones Exist","Telephones Usage Type","Wifi Note","Wifi Available","Web Kiosk Opening Note","Web Kiosk Available","Postbox Available","Postbox Location","Tourist Info Available","Tourist Info Location","ATM Available","ATM Location","Bureau de Change Available","Shops Note","Shops Available","Helpline Note","Helpline Contact","Helpline Opening Note","Staff Help Note","Staff Help Opening Note","Staff Help Available","Induction Loop","Accessible Ticket Machines Note","Accessible Ticket Machines Available","Height Adjusted Counter Note","Height Adjusted Counter Available","Train Access Ramp Available","Accessible Taxis","Accessible Phones","Nearest Stations More Facilities Note","National Key Toilets Available","National Key Toilets Location","Step Free Access Note","Step Free Access Available","Ticket Gates Note","Ticket Gates Available","Impaired Mobility Set Down Note","Impaired Mobility Set Down Available","Wheelchairs Opening Note","Wheelchairs Available","Spaces","Sheltered","Security","Location","Note","Type","Rail Replacement Note","Rail Replacement Map","Taxi Rank","Onward Travel","Metro Services","Airport","Port","Car Hire","Cycle Hire","Station Alert","TOCs","Station Category","Page Guid"
"ABD","Aberdeen","PTNyamurundira","31/01/2014",897600,"ABERDEEN.","Guild Street","Aberdeen",,,,"AB11 6LX",-2.097480496,57.14304825,"SR","partTime","Y","Yes - from help point, Yes - from ticket office",,"DepartureScreens, Announcements, ArrivalScreens",,"Y",,"Y",,"TicketOffice, TicketMachine","Y","N","N","NotAvailable","N",,"N","Y","TicketMachine","N",,,,,,"N","<p>scotrailcustomer.relations@firstgroup.com </p>",,,,,"N",,,,,,,"N",,"<p><strong>Located</strong></p> <p>Next to the booking office</p> <p><strong>Tickets accepted</strong></p> <p>Advance Loyalty Club members can also use all ScotRail First Class Lounges on presentation of their membership card as well as ANY type of ticket valid for travel on ScotRail services that day. Tickets not valid on ScotRail services cannot be accepted.</p> <p><strong>Facilities</strong></p> <p>Screens with updated train information, digital freeview television, papers, magazines</p> <p><strong>Refreshments</strong></p> <p>Complimentary refreshments and light snacks</p> <p><strong>Wi-Fi</strong></p> <p>Yes</p> <p><strong>Showers</strong></p> <p>Yes</p>",,"N","N",,,"N",,"Y",,"N","Y",,"Y",,"Y","Y","CardsAndCoins","<p>Find WiFi Hotspots around Aberdeen station</p>","N",,"N","N",,"N",,"N",,"N","Kiosk News agent","N",,"Tel 08009122901, 1800108009122901 (for hard of hearing)",,,,"Y","Y",,"Y",,"Y","Y",,,,"N",,"<p>Fully accessible </p>","Y",,,,"N",,"Y",80,"Yes","Y","additional cycle parking located outside Union Square Shopping Centre",,"Stands",,,"visit www.traintaxi.co.uk for details of taxis available for hire","for details of bus services, visit www.travelinescotland.com or call 0871 200 22 33 (24 hours)",,"Aberdeen Airport is located near Dyce Station, from where a connecting bus service operates. A direct bus service also operates from Aberdeen city centre. For details, visit www.travelinescotland.com or call 0871 200 22 33 (24 hours)","Ferry service runs from Aberdeen Ferry Terminal to Kirkwall and Lerwick. For details of these, plus connecting buses to the Ferry Terminal, visit www.travelinescotland.com or call 0871 200 22 33 (24 hours)",,,,"SR",,"B82EF8B262C241B7B2E33BF635902A64"
"AUR","Aberdour","PTNyamurundira","30/01/2014",909000,"ABERDOUR","Station Place","Aberdour","Burntisland",,,"KY3 0SN",-3.300556443,56.05458044,"SR","partTime","Y","Yes - from help point, Yes - from ticket office",,"Announcements, ArrivalScreens",,"Y",,"Y",,"TicketOffice, TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N","<p>scotrailcustomer.relations@firstgroup.com </p>",,,,,"N",,,,,,,"N",,,,"N","Y",,,"Y",,"N",,"N","Y",,"Y",,"N","Y","CardsAndCoins","<p>Find WiFi Hotspots around Aberdour station</p>","N",,"N","N",,"N",,"N",,"N",,"N",,,,,,"Y","Y","<p>Located on Platform 1</p>","Y",,"N","Y",,,,"Y","<p>Available ticket opening hours</p>","<p>Level access to ticket office and platform 1. Steep Ramp down to platform 2 and connecting footbridge with stairs between platforms. No unassisted wheelchair access to platform 2, Kirkcaldy / Dundee bound</p>","N",,,,"Y",,"N",5,"No","N",,,"Lockers, Stands","<p>Bus stop on main road near car park entrance.</p>",,"visit www.traintaxi.co.uk for details of taxis available for hire","for details of bus services, visit www.travelinescotland.com or call 0871 200 22 33 (24 hours)",,,,,,,"SR",,"E54D6DFAD6A24ED2BF8CD1FC861BB19F"
"AAT","Achanalt","RDService","21/11/2013",860000,"ACHANALT","Station Road, off A382","Achanalt","-",,,"IV23 2QD",-4.914216676,57.60981331,"SR","unstaffed","N","Yes - from help point",,,,"Y",,"N",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N","<p>scotrailcustomer.relations@firstgroup.com </p>",,,,,"N",,,,,,,"N",,,,"N","Y",,,"Y",,"N",,"N","N",,"N",,"N","N","CardsAndCoins","<p>Find WiFi Hotspots around Achanalt station</p>","N",,"N","N",,"N",,"N",,"N",,"N",,,,,,"N","Y",,"N",,"N","N",,,,"N",,"<p>Level over rough ground but revolving gate to prevent access by sheep plus large vehicle crossing gate. No unassisted wheelchair access</p>","N",,,,"N",,"N",6,"No","N",,,"Stands",,,"visit www.traintaxi.co.uk for details of taxis available for hire","for details of bus services, visit www.travelinescotland.com or call 0871 200 22 33 (24 hours)",,,,,,,"SR",,"29E9FDBC849E4B71B6CEFE07E09AF4B9"
"ACN","Achnasheen","cplewa","11/03/2014",860100,"ACHNASHEEN","Achnasheen","-",,,,"IV22 2EJ",-5.072367544,57.57910082,"SR","unstaffed","N","Yes - from help point",,,,"Y",,"N",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N","<p>scotrailcustomer.relations@firstgroup.com </p>",,,,,"N",,,,,,,"N",,,,"N","Y",,,"Y",,"N",,"N","Y",,,,"N","N","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=IV22 2EJ&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Achnasheen station</a></p>","N",,"N","N",,"N",,"N",,"N",,"N",,,,,,"N","Y",,"N",,"N","Y",,,,"Y",,"<p>Access to platform 2 is level from car park. There is no disabled access/egress to or from platform 1, access is via footbridge from platform 2</p>","N",,,,"N",,"N",6,"No","N",,,"Stands",,,"visit www.traintaxi.co.uk for details of taxis available for hire","for details of bus services, visit www.travelinescotland.com or call 0871 200 22 33 (24 hours)",,,,,,,"SR",,"4DFECDB9AEF04088A0C0BE5FC0C337A6"
"ACH","Achnashellach","RDService","21/11/2013",860200,"ACHNASHELLACH","Achnashellach","Highland",,,,"IV54 8YH",-5.33306294,57.4820548,"SR","unstaffed","N","Yes - from help point",,,,"Y",,"N",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N","<p>scotrailcustomer.relations@firstgroup.com </p>",,,,,"N",,,,,,,"N",,,,"N","Y",,,"Y",,"N",,"N","N",,"N",,"N","N","CardsAndCoins","<p><a href=""""http://btopenzone.hotspot-directory.com/results.php?txtQuick=IV54 8YH&z=9&radRoaming=1"""" target=""""_blank"""">Find WiFi Hotspots around Achnashellach station</a></p>","N",,"N","N",,"N",,"N",,"N",,"N",,,,,,"N","Y",,"N",,"N","N",,,,"N",,"<p>Access is by way of a rough track and a swinging cattle proof gate.</p>","N",,,,"N",,"N",6,"No","N",,,"Stands",,,"visit www.traintaxi.co.uk for details of taxis available for hire","for details of bus services, visit www.travelinescotland.com or call 0871 200 22 33 (24 hours)",,,,,,,"SR",,"594C2D292F67441483C2F69485BD0092"
"ADW","Addiewell","RDService","21/11/2013",931000,"ADDIEWELL","Addiewell","-",,,,"EH55 8NQ",-3.606517263,55.84340123,"SR","unstaffed","Y","Yes - from help point",,,,"Y",,"N",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N","<p>scotrailcustomer.relations@firstgroup.com </p>",,,,,"N",,,,,,,"N",,,,"N","Y",,,"Y",,"N",,"N","N",,"N",,"N","N","CardsAndCoins","<p><a href=""""http://btopenzone.hotspot-directory.com/results.php?txtQuick=EH55 8NQ&z=9&radRoaming=1"""" target=""""_blank"""">Find WiFi Hotspots around Addiewell station</a></p>","N",,"N","N",,"N",,"N",,"N",,"N",,,,,,"N","Y",,"N",,"N","N",,,,"N",,"<p>Level to Edinburgh - connecting footbridge between platforms. No wheelchair access, rough ground whole station </p>","N",,,,"N",,"N",6,"No","N",,,"Stands","<p>Bus stop located on the main road.</p>",,"visit www.traintaxi.co.uk for details of taxis available for hire","for details of bus services, visit www.travelinescotland.com or call 0871 200 22 33 (24 hours)",,,,,,,"SR",,"916F7F7195F746B9860391C29D05E75B"
"AIR","Airbles","RDService","21/11/2013",969500,"AIRBLES","Airbles","-",,,,"ML1 2SX",-3.994178739,55.78282474,"SR","unstaffed","Y","Yes - from help point",,,,"Y",,"N",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N","<p>scotrailcustomer.relations@firstgroup.com </p>",,,,,"N",,,,,,,"N",,,,"N","Y",,,"Y",,"N",,"N","N",,"N",,"N","N","CardsAndCoins","<p><a href=""""http://btopenzone.hotspot-directory.com/results.php?txtQuick=ML1 2SX&z=9&radRoaming=1"""" target=""""_blank"""">Find WiFi Hotspots around Airbles station</a></p>","N",,"N","N",,"N",,"N",,"N",,"N",,,,,,"N","Y",,"N",,"N","Y",,,,"N",,"<p>Ramps down to both platforms.</p>","Y",,,,"N",,"N",6,"No","N",,,"Stands","<p>Bus will pick up / drop off on Airbles Road.</p>",,"visit www.traintaxi.co.uk for details of taxis available for hire","for details of bus services, visit www.travelinescotland.com or call 0871 200 22 33 (24 hours)",,,,,,,"SR",,"D92F5A3743A744DABA6F2D1FF14AA38F"
"ADR","Airdrie","PTNyamurundira","31/01/2014",975900,"AIRDRIE","Broomknoll Street","Airdrie","North Lanarkshire",,,"ML6 9EX",-3.982897473,55.86397274,"SR","fullTime","Y","Yes - from help point, Yes - from ticket office",,"DepartureScreens, Announcements, ArrivalScreens",,"Y","Proposal to alter hours","Y",,"TicketOffice, TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N","<p>scotrailcustomer.relations@firstgroup.com </p>",,,,,"N",,,,,,,"N",,,,"N","Y",,,"Y",,"N","Food outlet (Seating unavailable)","Y","Y",,"Y",,"N","Y","CardsAndCoins","<p>Find WiFi Hotspots around Airdrie station</p>","N",,"N","N",,"N",,"N",,"N",,"N",,,,,,"Y","Y",,"Y",,"Y","Y",,,,"N",,"<p>The whole station is step free.</p>","Y",,,,"N",,"N",30,"Yes","N",,,"Stands",,,"visit www.traintaxi.co.uk for details of taxis available for hire","for details of bus services, visit www.travelinescotland.com or call 0871 200 22 33 (24 hours)",,,,,,,"SR",,"C001B6C45A2E45BE9C7254C2FE04EB20"
"AXP","Alexandra Parade","RDService","21/11/2013",990500,"ALEXANDRA PARADE","Alexandra Parade","-",,,,"G31 3JN",-4.211419355,55.86366362,"SR","unstaffed","Y","Yes - from help point",,"Announcements",,"Y",,"N",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N","<p>scotrailcustomer.relations@firstgroup.com </p>",,,,,"N",,,,,,,"N",,,,"N","Y",,,"Y",,"N",,"N","N",,"N",,"N","N","CardsAndCoins","<p><a href=""""http://btopenzone.hotspot-directory.com/results.php?txtQuick=G31 3JN&z=9&radRoaming=1"""" target=""""_blank"""">Find WiFi Hotspots around Alexandra Parade station</a></p>","N",,"N","N",,"N",,"N",,"N",,"N",,,,,,"N","Y",,"N",,"N","N",,,,"N",,"<p>Stairs down from street to both platforms.</p>","N",,,,"N",,"N",6,"No","N",,,"Stands","<p>Southbound and Northbound buses will stop at the bus stop at the end of Old Oak Close.</p>",,"visit www.traintaxi.co.uk for details of taxis available for hire","for details of bus services, visit www.travelinescotland.com or call 0871 200 22 33 (24 hours)",,,,,,,"SR",,"7BB142BF8E58490388940A3EA431EA0D"
"ALX","Alexandria","RDService","21/11/2013",986100,"ALEXANDRIA","200 Bank Street","Alexandria","Balloch",,,"G83 0UL",-4.577469118,55.98507321,"SR","partTime","Y","Yes - from help point, Yes - from ticket office",,"DepartureScreens, Announcements",,"Y",,"Y",,"TicketOffice","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N","<p><a href=""""""""mailto:scotrailcustomer.relations@firstgroup.com"""""""">scotrailcustomer.relations@firstgroup.com</a> </p>",,,,,"N",,,,,,,"N",,,,"N","Y",,,"Y",,"N",,"N","N",,"N",,"N","Y","CardsAndCoins","<p><a href=""""http://btopenzone.hotspot-directory.com/results.php?txtQuick=G83 0UL&z=9&radRoaming=1"""" target=""""_blank"""">Find WiFi Hotspots around Alexandria station</a></p>","N",,"N","N",,"N",,"N",,"N",,"N",,"Tel: 0800 912 2901; 18001 0800 912 2901 (for the hard of hearing)",,,,"Y","Y",,"N",,"Y","Y",,,,"N",,"<p>Ramp up to single platform - level access to ticket office from platform</p>","Y",,,,"N",,"N",10,"No","N",,,"Stands","Bus will pick up / drop off on Bank Street at St Marys school.",,"visit www.traintaxi.co.uk for details of taxis available for hire","for details of bus services, visit www.travelinescotland.com or call 0871 200 22 33 (24 hours)",,,,,,,"SR",,"A6B980E841E14A91AA53A4CB13CCA089"
