Crs Code,Name,Changed By,Changed Date,NLC,16 Char Name,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Address Line 5,Postcode,Longitude,Latitude,Station Operator,Staffing Level,CCTV Available,Info. avail. from staff,Opening Note,CIS,Help Points,Help Points Available,Ticket Office Opening Note,Ticket Office Available,Ticket Office Location,Pre-purchase Collection,Ticket Machine Available,Oyster Issued,Oyster Topup,Oyster Pickup,Use Oyster,Oyster Comments,Smartcard Issued,Smartcard Topup,Smartcard Pickup,Smartcard Validator,Smartcard Comments,Travelcard Zone,Penalty Fares,Penalty Fares TOCs,Penalty Fares URL,Always show Oyster,Note,Primary Tel Country,Primary Tel Nr.,Primary Tel Ext.,Url,Available,Operator Name,Primary Tel Country,Primary Tel Nr.,Primary Tel Ext.,Url,Opening Note,Available,Operator Name,1st Class Lounge Note,1st Class Lounge Opening Note,1st Class Lounge Available,Seated Area Available,Seated Area Location,Waiting Room Opening Note,Waiting Room Available,Waiting Room Location,Trolleys Available,Refreshments Note,Refreshments Available,WC Available,WC Location,Baby Change Available,Baby Change Location,Showers Available,Telephones Exist,Telephones Usage Type,Wifi Note,Wifi Available,Web Kiosk Opening Note,Web Kiosk Available,Postbox Available,Postbox Location,Tourist Info Available,Tourist Info Location,ATM Available,ATM Location,Bureau de Change Available,Shops Note,Shops Available,Helpline Note,Helpline Contact,Helpline Opening Note,Staff Help Note,Staff Help Opening Note,Staff Help Available,Induction Loop,Accessible Ticket Machines Note,Accessible Ticket Machines Available,Height Adjusted Counter Note,Height Adjusted Counter Available,Train Access Ramp Available,Accessible Taxis,Accessible Phones,Nearest Stations More Facilities Note,National Key Toilets Available,National Key Toilets Location,Step Free Access Note,Step Free Access Available,Ticket Gates Note,Ticket Gates Available,Impaired Mobility Set Down Note,Impaired Mobility Set Down Available,Wheelchairs Opening Note,Wheelchairs Available,Spaces,Sheltered,Security,Location,Note,Type,Rail Replacement Note,Rail Replacement Map,Taxi Rank,Onward Travel,Metro Services,Airport,Port,Car Hire,Cycle Hire,Station Alert,TOCs,Station Category,Page Guid,,,,,
ASN,Addlestone,KMiller,28/12/2013,555000,ADDLESTONE,Station Road,Addlestone,Weybridge,,,KT15 2PB,-0.484448913,51.37304695,SW,unstaffed,Y,,,,<p>Customer Help points are located on every platform</p>,Y,,Y,<p>By entrance to platform 1</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,<p>Please contact our Customer Service Centre on 0845 6000 650</p>,,,,,N,,,,,,,Y,,,,N,N,,,Y,,N,,N,Y,,N,,N,N,CardsAndCoins,<p>Find WiFi Hotspots around Addlestone station</p>,N,,N,N,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,Y,,,<p>Weybridge or Woking</p>,N,,<p>There is step free access to platform 1 (for trains to Weybridge) and platform 2 (for trains to Virginia Water and Staines).</p> <p>Interchange is via a 54 step footbridge or a level crossing at the end of the platforms.</p>,N,,,,N,,N,10,No,Y,,,Stands,"<p>High Street, Town side of level crossing or outside of former Safeway supermarket</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/ASN.pdf"">here</a></p>",,,,,,<p><strong>Note about step free access:</strong></p> <p>There is step free access to platform 1 (for trains to Weybridge) and platform 2 (for trains to Virginia Water and Staines).</p> <p>Interchange is via a 54 step footbridge or a level crossing at the end of the platforms.</p> �,SW,,715E042AA81545A09B3F279F7927E256,,,,,
AHT,Aldershot,JCollins,01/03/2014,562300,ALDERSHOT.,Station Road,Aldershot,,,,GU11 1HN,-0.759860484,51.24641674,SW,fullTime,Y,,,,<p>Customer Help points are located on every platform</p>,Y,,Y,<p>Outside station near ticket office entrance</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,Y,,,,,,N,<p>Please contact our Customer Services Department on 0845 6000 650</p>,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,N,,Y,Y,,Y,,N,Y,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=GU11 1HN&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Aldershot station</a></p>",N,,N,Y,,N,,N,,N,,N,,,,,,Y,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,Y,Y,,,,N,"<p>A National Key Scheme toilet is available. Radar Key available from station staff. If you wish to buy a 'National Key Scheme' key, [RADAR]. Their address is 12 City Forum, 250 City Road, London EC1V 8AF, tel: 020 7250 3222, minicom: 020 7250 4119, fax: 020 7250 0212, email: radar@radar.org.uk, web www.radar.org.uk/ site:</p>",,Y,,,,N,,Y,29,Yes,Y,<p>Platform 1 and car park</p>,"<p><span style=""font-family: ;"" data-sheets-rawvalue=""3 cycle lockers and 26 cycle stand parking spaces"">3 cycle lockers and 26 cycle stand parking spaces</span></p>","Lockers, Stands",<p>Station Entrance</p>,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/AHT.pdf"">here</a></p>",,,,,,,SW,,C5E0C82C61504604A7727398926738CB,,,,,
AON,Alton,SHall,02/02/2014,554400,ALTON.,Station Road,Alton,,,,GU34 2PZ,-0.966920228,51.15196497,SW,partTime,Y,,,,<p>Customer Help points are located on every platform</p>,Y,,Y,<p>By entrance to booking hall</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,Y,,,,,,N,<p>Please contact our Customer Service Department on 0845 6000 650</p>,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,N,,Y,Y,,N,,N,Y,CardsAndCoins,<p>Find WiFi Hotspots around Alton station</p>,N,,N,Y,,N,,N,,N,,N,,,,,,Y,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,Y,,,,N,,<p>Platform 1 (Trains to Woking and London) - step free access. Platform 2 (Trains to Woking and London) - access via a track crossing point at some times and with staff assistance. Please allow a minimum of 20 minutes for this. Please contact our Assisted Travel helpline on 0800 5282100 for more details. Please note that Watercress Line services depart from platform 3 which is accessible at some times via the track crossing with staff assistance.</p>,N,,,,N,,Y,42,Yes,Y,<p>Platform 1</p>,"<p><span style=""font-family: ;"" data-sheets-rawvalue=""6 cycle lockers amd 36 cycle stand parking spaces"">6 cycle lockers amd 36 cycle stand parking spaces</span></p>","Lockers, Stands",<p>Southbound buses will stop in the lay-by on the near side of Lavender Hill.Northbound buses will stop in the lay-by on the far side of Lavender Hill.</p>,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/AON.pdf"">here</a></p>",,,,,,,SW,,F2A695CAD0AF4B63975814026A944601,,,,,
ADV,Andover,KMiller,28/12/2013,551000,ANDOVER.,Station Approach,Andover,,,,SP10 3HN,-1.49223998,51.21154584,SW,partTime,Y,,,,<p>Customer Help points are located on every platform</p>,Y,,Y,"<p>On Platform 2, near to the ticket office</p>",TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,Y,,,,,,N,<p>Please contact our Customer Service Centre on 0845 6000 650</p>,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,Y,,Y,Y,,Y,,N,Y,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=SP10 3HN&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Andover station</a></p>",N,,N,Y,,N,,Y,,N,,Y,,,,,,Y,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,Y,Y,,,,N,<p>A National Key scheme toilet is available on platform 1. Radar key is available from platform staff.</p> <p>&nbsp,</p>,"<p>There is level access to the main booking hall and platform 2 (for Trains to Grateley and Salisbury).</p> <p>Access to platform 1 (for trains to Basingstoke, Woking and London Waterloo) is via an underpass with steep ramps.</p> <p>A staff operated powered wheelchair is available for use at the station to assist passengers who have difficulty using the slopes. Please speak to a member of staff or contact our Assited Travel team.</p>",Y,,,,N,,Y,110,Yes,Y,<p>Platform 2</p>,,"Lockers, Stands",<p>Southbound and Northbound buses will stop directly outside the main station exit.</p>,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/ADV.pdf"">here</a></p>",,,,,,,SW,,FBC59F60E66A4E5B8D6250BA5ED71AD6,,,,
ACT,Ascot (Berks),KThimbleby,20/01/2014,566600,ASCOT (BERKS),Station Hill,Ascot,Berkshire,,,SL5 9EG,-0.675830536,51.40624634,SW,partTime,Y,,,,<p>Customer Help points are located on every platform</p>,Y,,Y,<p>Near station entrance and in booking hall</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,<p>Please contact our Customer Service Centre on 0845 6000 650</p>,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,N,,Y,Y,,N,,N,Y,CardsAndCoins,,N,,N,Y,,N,,Y,,N,,N,,,,,,Y,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,Y,<p>Accessible taxis are located outisde the main station building.</p>,,,N,"<p>A National Key Scheme toilet is available on platform 1. Radar Key available from station staff. If you wish to buy a 'National Key Scheme' key, [RADAR]. Their address is 12 City Forum, 250 City Road, London EC1V 8AF, tel: 020 7250 3222, minicom: 020 7250 4119, fax: 020 7250 0212, email: radar@radar.org.uk, web www.radar.org.uk/ site:</p>","<p>Platform One (for trains to Staines, Clapham Junction and London Waterloo)&nbsp;has step-free access the booking hall or side entrance from car park.</p> <p>Platforms&nbsp;2 (for trains to Bracknell and Reading)&nbsp;and&nbsp;3 (for Trains to aldershot and Guildford)&nbsp;can be accessed via&nbsp;a crossing over the&nbsp;tracks&nbsp;with staff assistance. Interchange between platforms is via this crossing and passengers are advised to arrive 15 minutes prior to departure to recieve assistance.</p>",N,,,,N,,Y,28,Yes,Y,<p>Platform 1</p>,<p>Secure area</p>,Stands,<p>Station car park off Station Hill Mini buses can use the Station Forecourt</p>,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/ACT.pdf"">here</a></p>",,,,,,,SW,,A5E32B61AC69427EB7A0DA9C023E3599,,,,,
ASH,Ash,BAyres,28/01/2014,564100,ASH,Ash Church Road,Ash,Aldershot,,,GU12 6BE,-0.712804737,51.24959566,SW,unstaffed,Y,,,,<p>Customer Help points are located on every platform</p>,Y,,Y,<p>On Disabled ramp leading to platform 2</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,Applicable Operators: First Great Western,GW,,N,<p>Please contact our Customer Services Department on 0845 6000 650</p>,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,N,,N,N,,N,,N,N,CardsAndCoins,<p>Find WiFi Hotspots around Ash station</p>,N,,N,N,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,N,,,<p>Aldershot or Guildford</p>,N,,<p>Ash has level access to both platforms and step free interchange via a level crossing at the end of the platform.</p>,Y,,,,N,,N,10,Yes,Y,,,Stands,<p>Guildford Road - Aldershot side of station</p>,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/ASH.pdf"">here</a></p>",,,,,,<p><strong>A note about step free access:</strong></p> <p>Ash has level access to both platforms and step free interchange via a level crossing at the end of the platform.</p> <p>�</p>,SW,,0C09F45DC42548F1B85A9373D507819E,,,,,
AHV,Ash Vale,cplewa,19/11/2013,554700,ASH VALE,Station Approach,"Ash, Ash Vale",Aldershot,,,GU12 5LP,-0.72164797,51.27224595,SW,partTime,Y,,,DepartureScreens,<p>Customer Help points are located on every platform</p>,Y,,Y,<p>By entrance to booking hall</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,Y,,,,,,N,<p>Please contact our Customer Service Centre on 0845 6000 650</p>,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,N,Buffet,Y,Y,,N,,N,Y,CardsAndCoins,"<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=GU12 5LP&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Ash Vale station</a></p>",N,,N,N,,N,,N,,N,Kiosk,Y,,,,,,Y,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,N,,,,N,,<p>Access to the platforms is via four flights of steps (approx 40 to each platform)</p> <p>Passengers for stations towards Ascot and Alton are advised to use Aldershot station. Passengers for stations towards&nbsp,London Waterloo are advised to use Woking station.</p>,N,,,,N,,N,32,Yes,Y,,,Stands,<p>To Aldershot, Lysons Avenue bus shelter. To Ascot, Frimley Road bus shelter.</p>,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/AHV.pdf"">here</a></p>",,,,,,,SW,,28D2E1808AA6464AA7822476EBA5E691,,
AFS,Ashford (Surrey),KMiller,28/12/2013,566700,ASHFORD (MIDDX),Station Approach,Ashford,,,,TW15 2QN,-0.468062256,51.43651024,SW,partTime,Y,,,,<p>Customer Help points are located on every platform</p>,Y,,Y,<p>Near the station entrance and on platform 1</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,N,,,,,,N,<p>Please contact our Customer Service Centre on 0845 6000 650</p>,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,N,,N,N,,N,,N,Y,CardsAndCoins,,N,,N,Y,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,Y,,,<p>Staines or Feltham</p>,N,,<p>Platform&nbsp,1 is accessed via side gate from Station Approach and platform&nbsp,2 can be accessed by a side from the footpath leading from Church Road.</p>,N,,,,N,,N,24,Yes,Y,<p>Car park</p>,,Stands,<p>Woodthorpe Road London Transport bus stops</p>,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/AFS.pdf"">here</a></p>",,,,,,<p><strong>A note about step free access: </strong></p> <p>Platform�1 is accessed via side gate from Station Approach and platform�2 can be accessed by a side from the footpath leading from Church Road.</p> <p>�</p>,SW,,EF43E9D0F05C447DBA5228B7E9B83A76,,,
ANF,Ashurst New Forest,cevans,22/08/2013,590600,ASHURST N FOREST,Ashurst New Forest,Hampshire,,,,SO40 7AA,-1.526640531,50.88984033,SW,unstaffed,N,,,,<p>Customer Help points are located on every platform</p>,Y,,N,<p>Platform 1 just inside entrance.</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,Y,,,,,,N,Please contact our Customer Service Centre on 0845 6000 650,,,,,N,,,,,,,Y,,,,N,Y,,,N,,N,,N,N,,N,,N,N,Cards,<p>Find WiFi Hotspots around Ashurst New Forest station</p>,N,,N,N,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,Y,,,,N,,<p>There is step free access to Platform 1 (For trains to Southampton and London Waterloo)</p> <p>Access to platform 2 (For trains to Bournemouth and Weymouth) is via an unmade gravel path (approx 150m long)</p> <p>Step free interchange between platforms is possible but is via the road outside the station</p>,N,,,,N,,N,4,Yes,N,,"<p><span style=""font-family: ;"" data-sheets-rawvalue=""2 lockers and 2 cycle stand parking spaces"">2 lockers and 2 cycle stand parking spaces</span></p>","Lockers, Stands",<p>Stop on main road - To Southampton: Bus stop at Woodlands Road junction. To Brockenhurst: Bus lay-by next to New Forset Hotel</p>,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/ANF.pdf"">here</a></p>",,,,,,<p><strong>A note about step free access:</strong></p> <p>There is step free access to Platform 1 (For trains to Southampton and London Waterloo)</p> <p>Access to platform 2 (For trains to Bournemouth and Weymouth) is via an unmade gravel path (approx 150m long)</p> <p>Step free interchange between platforms is possible but is via the road outside the station</p> <p>�</p>,SW,,DFB6C28CAA344CCFAD81996724E9307C,,,,,
AXM,Axminster,KMiller,28/12/2013,571400,AXMINSTER,Station Yard,Axminster,,,,EX13 5PF,-3.00522804,50.7785826,SW,partTime,Y,,,,<p>Customer Help points are located on every platform</p>,Y,,Y,<p>Outside the main station entrance.</p>,TicketMachine,Y,N,N,NotAvailable,N,,N,N,NotAvailable,Y,,,,,,N,Please contact our Customer Service Centre on 0845 6000 650,,,,,N,,,,,,,Y,,,,N,Y,,,Y,,Y,Caf&eacute,,Y,Y,,Y,,N,N,CardsAndCoins,<p>Find WiFi Hotspots around Axminster station</p>,N,,N,Y,,N,,N,,N,,N,,,,,,N,Y,"<p>All South West Trains ticket machines are able to sell tickets with Disabled Persons Railcard discounts. All machines are accessible, however the station may not be so please check the station access note for further details</p>",Y,,N,Y,<p>Need to pre-book</p>,,,N,,<p>There is step free access to Platform One.</p> <p>The lift is operational 24 hours a day</p>,Y,,,,N,,N,20,Yes,Y,,,Stands,<p>Station forecourt</p>,,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/AXM.pdf"">here</a></p>",,,,,,,SW,,D9A0C53782B8431083FA6E38588C4CB1,,,,
