"Crs Code","Name","Changed By","Changed Date","NLC","16 Char Name","Address Line 1","Address Line 2","Address Line 3","Address Line 4","Address Line 5","Postcode","Longitude","Latitude","Station Operator","Staffing Level","CCTV Available","Info. avail. from staff","Opening Note","CIS","Help Points","Help Points Available","Ticket Office Opening Note","Ticket Office Available","Ticket Office Location","Pre-purchase Collection","Ticket Machine Available","Oyster Issued","Oyster Topup","Oyster Pickup","Use Oyster","Oyster Comments","Smartcard Issued","Smartcard Topup","Smartcard Pickup","Smartcard Validator","Smartcard Comments","Travelcard Zone","Penalty Fares","Penalty Fares TOCs","Penalty Fares URL","Always show Oyster","Note","Primary Tel Country","Primary Tel Nr.","Primary Tel Ext.","Url","Available","Operator Name","Primary Tel Country","Primary Tel Nr.","Primary Tel Ext.","Url","Opening Note","Available","Operator Name","1st Class Lounge Note","1st Class Lounge Opening Note","1st Class Lounge Available","Seated Area Available","Seated Area Location","Waiting Room Opening Note","Waiting Room Available","Waiting Room Location","Trolleys Available","Refreshments Note","Refreshments Available","WC Available","WC Location","Baby Change Available","Baby Change Location","Showers Available","Telephones Exist","Telephones Usage Type","Wifi Note","Wifi Available","Web Kiosk Opening Note","Web Kiosk Available","Postbox Available","Postbox Location","Tourist Info Available","Tourist Info Location","ATM Available","ATM Location","Bureau de Change Available","Shops Note","Shops Available","Helpline Note","Helpline Contact","Helpline Opening Note","Staff Help Note","Staff Help Opening Note","Staff Help Available","Induction Loop","Accessible Ticket Machines Note","Accessible Ticket Machines Available","Height Adjusted Counter Note","Height Adjusted Counter Available","Train Access Ramp Available","Accessible Taxis","Accessible Phones","Nearest Stations More Facilities Note","National Key Toilets Available","National Key Toilets Location","Step Free Access Note","Step Free Access Available","Ticket Gates Note","Ticket Gates Available","Impaired Mobility Set Down Note","Impaired Mobility Set Down Available","Wheelchairs Opening Note","Wheelchairs Available","Spaces","Sheltered","Security","Location","Note","Type","Rail Replacement Note","Rail Replacement Map","Taxi Rank","Onward Travel","Metro Services","Airport","Port","Car Hire","Cycle Hire","Station Alert","TOCs","Station Category","Page Guid"
"ARN","Arnside","cevans","16/08/2013",196300,"ARNSIDE","Station Road","ARNSIDE","Cumbria",,,"LA5 0HQ",-2.8277661014,54.2021088843,"TP","unstaffed","Y",,,"DepartureScreens",,"N",,"N",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"N",,,,"N","N",,,"N",,"N",,"N","N",,"N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=LA5 0HQ&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Arnside station</a>","N",,"N","Y",,"N",,"N",,"N",,"N",,,,,,"N","Y",,"N",,"N","Y",,,,"N",,,"N",,,,"N",,"N",5,"No","Y","platform",,"Stands","<p>Pick Up / Drop Off at bus stop outside station entrance (midi-Coach Only)</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/ARN.pdf"">here</a></p>",,,,,,,"TP",,"41A16E27E30B45C598C4C6B2551911AE"
"BTB","Barnetby","steelee","26/04/2013",640600,"BARNETBY","Kings Road","BARNETBY","North Lincolnshire",,,"DN38 6DG",-0.4097056648,53.5742414643,"TP","unstaffed","Y",,,"DepartureScreens, Announcements",,"Y",,"N",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"N",,,,"N","Y",,,"N",,"N",,"N","N",,"N",,"N","Y","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=DN38 6DG&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Barnetby station</a></p>","N",,"N","N",,"N",,"N",,"N",,"N",,,,,,"N","Y",,"N",,"N","Y",,,,"N",,,"Y",,,,"N",,"N",6,"No","Y","station entrance",,,"<p>Pick Up / Drop Off on Station Car Park.</p>",,"<p>The nearest taxi rank is at Humberside Airport, approximately 2 miles from the airport.</p>","<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/BTB.pdf"">here</a></p>",,"<p>Humberside International Airport on A18 3.5 miles from this station. Airport taxi 01652 688456</p>",,,,,"TP",,"B8E9455737354AF98F21AEC69F850419"
"BIF","Barrow-in-Furness","cplewa","20/11/2013",195400,"BARROW IN FURNSS","Central Station","BARROW-IN-FURNESS","Cumbria",,,"LA14 5QZ",-3.2261293008,54.1190048018,"TP","fullTime","Y","Yes - from help point, Yes - from information point",,"DepartureScreens, Announcements",,"Y",,"Y",,"TicketOffice","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"N",,,,"N","Y",,,"Y",,"Y",,"N","Y",,"Y",,"N","Y","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=LA14 5QZ&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Barrow-in-Furness station</a></p>","N",,"N","N",,"N",,"N",,"N",,"N",,"0800 107 2149",,,,"Y","Y",,"N",,"Y","Y",,,,"N",,,"N",,,,"Y",,"Y",23,"Yes","Y","Platform 1",,"Stands","Pick Up / Drop Off on Station Car Park.",,"<p>The nearest taxi rank is on the station front.</p>","<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/BIF.pdf"">here</a></p>",,,,,"Cycles 100 Ltd - 0.5 miles from station.<BR>Extensive range of cycles available & delivery / collection service provided.<BR>More details at <A href=""http://www.cycle100.co.uk/"">www.cycle100.co.uk</A>&nbsp;",,"TP",,"3522065930F34D569E4D000DD5A21C3C"
"BWD","Birchwood","jbird","08/12/2013",230400,"BIRCHWOOD","Dewhurst Road","Birchwood","WARRINGTON",,,"WA3 7PU",-2.5280153426,53.4119610057,"TP","partTime","Y",,,"DepartureScreens, Announcements",,"Y",,"Y",,"TicketOffice, TicketMachine","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N","<p>Available during booking office opening hours</p>",,,,,"N",,,,,,,"Y",,,,"N","Y",,,"Y",,"N",,"N","Y",,"N",,"N","Y","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=WA3 6NZ&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Birchwood station</a></p>","N",,"N","N",,"N",,"N",,"N","News agent","Y",,,,,,"Y","Y",,"Y",,"Y","Y",,,"<p>Warrington Central</p>","N",,"<p>Ticket hall and Platform 1 only</p>","N",,,,"N",,"N",20,"Yes","Y","platform 1",,"Stands","<p>Rail replacement bus services call outside the station entrance.</p>",,"<p>The nearest taxi rank is on Dewhurst Road adjacent to the station.</p>","<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/BWD.pdf"">here</a></p>",,,,,"Brompton Dock facility - more details at <A href=""http://www.bromptondock.co.uk/our-docks/warrington"">www.bromptondock.co.uk/our-docks/warrington</A>&nbsp;",,"TP",,"597E159025CC49B296EB1ED454E21DAF"
"BUH","Brough","cevans","16/08/2013",805100,"BROUGH","Station Road","BROUGH",,,,"HU15 1DZ",-0.5794391673,53.7272443331,"TP","partTime","Y",,,"DepartureScreens",,"Y",,"Y",,"TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"N",,,,"N","Y",,,"Y",,"N",,"N","N",,"N",,"N","N","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=HU15 1DZ&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Brough station</a></p>","N",,"N","N",,"N",,"N",,"N",,"N",,,,,,"Y","Y",,"N",,"Y","Y",,,,"N",,,"Y",,,,"N",,"Y",35,"Yes","Y","under footbridge",,"Stands","<p>Due to restricted access Replacement bus services will depart from the top of Station Rd opposite the Ferry Inn. 5 minutes level walk</p>",,"<p>The nearest taxi office is on the station platform.</p>","<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/BUH.pdf"">here</a></p>",,,,,,,"TP",,"C6BC51AD50834447BD4A437132436E64"
"BUD","Burneside (Cumbria)","steelee","26/04/2013",197500,"BURNESIDE CUMBR","Station Road","BURNESIDE","Cumbria",,,"LA9 6RD",-2.7662155197,54.355307679,"TP","unstaffed","Y",,,"DepartureScreens",,"Y",,"N",,"NotAvailable","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"N",,,,"N","N",,,"N",,"N",,"N","N",,"N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=LA9 6RD&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Burneside station</a>","N",,"N","N",,"N",,"N",,"N",,"N",,,,,,"N","Y",,"N",,"N","N",,,"The nearest station(s) with more facilities than Burneside are: <ul><li>Kendal<li>Windermere</ul>","N",,,"N",,,,"N",,"N",6,"No","Y","platform",,,"Buses will call on Winter Lane",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/BUD.pdf"">here</a></p>",,,,,,,"TP",,"D699ACE53D384FBFBDFF4C36012BBF69"
"CNF","Carnforth","Ahoughton","18/02/2014",264000,"CARNFORTH","Market Street","CARNFORTH","Lancashire",,,"LA5 9ET",-2.7712284956,54.1296909457,"TP","unstaffed","Y",,,"DepartureScreens",,"Y","Ticket office is independently provided by Carnforth Connect on behalf of Lancashire County Council.","Y",,"TicketOffice","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"N",,,,"N","Y",,,"N",,"N",,"Y","N",,"N",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=LA5 9ET&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Carnforth station</a>","N",,"N","N",,"N",,"N",,"N",,"Y",,,,"Please Note: The ticket office is manned during the ticket office opening times but these staff are unable to provide any physical assistance to customers.",,"N","Y",,"N",,"Y","Y",,,,"N",,,"Y",,,,"Y",,"N",14,"Yes","Y",,,"Lockers, Stands","<p>Pick Up / Drop Off at the Station Front.</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/CNF.pdf"">here</a></p>",,,,,,,"TP",,"798035B1391F46319C9E2D3315D74A4B"
"CLE","Cleethorpes","cevans","16/08/2013",627400,"CLEETHORPES","Station Approach","CLEETHORPES","North East Lincolnshire",,,"DN35 8AX",-0.0292173928,53.5619240743,"TP","fullTime","Y",,,"DepartureScreens, Announcements",,"Y",,"Y",,"TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"N",,,,"N","Y",,,"Y",,"N",,"Y","Y",,"Y",,"N","Y","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=DN35 8AX&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Cleethorpes station</a></p>","N",,"N","Y",,"N",,"N",,"N",,"N",,,,,,"Y","Y",,"Y",,"Y","Y",,,,"N",,,"Y",,,,"N",,"Y",20,"Yes","Y","station concourse",,"Stands","<p>Replacement buses will depart from the station car park.</p> <p></p> <p></p> <p>Northern Rail replacement buses pick up / drop off at the entrance to the station car park</p>",,"<p>The nearest taxi rank is on Grant St&nbsp;at the top of&nbsp;the station approach.</p>","<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/CLE.pdf"">here</a></p>",,,,,,,"TP",,"E1F072B9DE0E445982BB79E180D1234D"
"DEW","Dewsbury","cevans","16/08/2013",832600,"DEWSBURY.","Wellington Road","Dewsbury",,,,"WF13 1HF",-1.6334820658,53.6921034393,"TP","partTime","Y",,,"DepartureScreens, Announcements",,"Y",,"Y",,"TicketOffice, TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"N",,,,"N","Y",,,"Y",,"N",,"Y","N",,"N",,"N","Y","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=WF13 1HF&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Dewsbury station</a></p>","N",,"N","Y",,"N",,"N",,"N",,"Y",,,,,,"Y","Y",,"Y",,"Y","Y",,,,"N",,"<p>During ticket office opening hours only as lifts are closed when station un-staffed.</p>","N",,,,"N",,"N",12,"Yes","Y","Platforms 1 & 2",,"Stands","<p>Pick Up / Drop Off in front of the station (adjacent to station car park).</p>",,"<p>The nearest taxi rank is outside the station.</p>","<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/DEW.pdf"">here</a></p>",,,,,,,"TP",,"891B2B3032E6487183F49EF3EF1FD50A"
"GOS","Grange-Over-Sands","cplewa","21/11/2013",196500,"GRANGE OVR SANDS","Station Square","GRANGE OVER SANDS",,,,"LA11 6EH",-2.902736771,54.1952789,"TP","partTime","Y",,,"DepartureScreens, Announcements",,"Y",,"Y",,"TicketOffice","N","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"N",,,,"N","Y",,,"Y",,"Y",,"Y","Y",,"Y",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=LA11 6EH&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Grange-Over-Sands station</a>","N",,"N","N",,"N",,"N",,"N",,"Y",,,,,,"Y","Y",,"N",,"Y","Y",,,,"N",,,"Y",,,,"N",,"Y",9,"No","Y","Platform, subway ramp",,"Stands","<p>Station Car Park</p>",,"<p>The nearest taxi rank is outside the station.</p>","<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/GOS.pdf"">here</a></p>",,,,,,,"TP",,"CCCD2C4290A44E689699554337DB63D7"
