"Crs Code","Name","Changed By","Changed Date","NLC","16 Char Name","Address Line 1","Address Line 2","Address Line 3","Address Line 4","Address Line 5","Postcode","Longitude","Latitude","Station Operator","Staffing Level","CCTV Available","Info. avail. from staff","Opening Note","CIS","Help Points","Help Points Available","Ticket Office Opening Note","Ticket Office Available","Ticket Office Location","Pre-purchase Collection","Ticket Machine Available","Oyster Issued","Oyster Topup","Oyster Pickup","Use Oyster","Oyster Comments","Smartcard Issued","Smartcard Topup","Smartcard Pickup","Smartcard Validator","Smartcard Comments","Travelcard Zone","Penalty Fares","Penalty Fares TOCs","Penalty Fares URL","Always show Oyster","Note","Primary Tel Country","Primary Tel Nr.","Primary Tel Ext.","Url","Available","Operator Name","Primary Tel Country","Primary Tel Nr.","Primary Tel Ext.","Url","Opening Note","Available","Operator Name","1st Class Lounge Note","1st Class Lounge Opening Note","1st Class Lounge Available","Seated Area Available","Seated Area Location","Waiting Room Opening Note","Waiting Room Available","Waiting Room Location","Trolleys Available","Refreshments Note","Refreshments Available","WC Available","WC Location","Baby Change Available","Baby Change Location","Showers Available","Telephones Exist","Telephones Usage Type","Wifi Note","Wifi Available","Web Kiosk Opening Note","Web Kiosk Available","Postbox Available","Postbox Location","Tourist Info Available","Tourist Info Location","ATM Available","ATM Location","Bureau de Change Available","Shops Note","Shops Available","Helpline Note","Helpline Contact","Helpline Opening Note","Staff Help Note","Staff Help Opening Note","Staff Help Available","Induction Loop","Accessible Ticket Machines Note","Accessible Ticket Machines Available","Height Adjusted Counter Note","Height Adjusted Counter Available","Train Access Ramp Available","Accessible Taxis","Accessible Phones","Nearest Stations More Facilities Note","National Key Toilets Available","National Key Toilets Location","Step Free Access Note","Step Free Access Available","Ticket Gates Note","Ticket Gates Available","Impaired Mobility Set Down Note","Impaired Mobility Set Down Available","Wheelchairs Opening Note","Wheelchairs Available","Spaces","Sheltered","Security","Location","Note","Type","Rail Replacement Note","Rail Replacement Map","Taxi Rank","Onward Travel","Metro Services","Airport","Port","Car Hire","Cycle Hire","Station Alert","TOCs","Station Category","Page Guid"
"BHI","Birmingham International","dwalker","24/02/2014",121500,"BIRMINGHAM INTL","Stationlink Road","Bickenhill Lane","Solihull","West Midlands",,"B40 1PA",-1.725863394,52.4508146079,"VT","fullTime","Y",,,,,"N",,"Y",,"TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N","<p>Except Christmas Day & Boxing Day</p>",,,,,"N",,,,,,,"Y",,"<p> </p> <p><strong>Located</strong></p> <p>Up the stairs from the platforms, lift available</p> <p><strong>Tickets Accepted</strong></p> <p> Virgin Business, First Open or Advance First tickets. You can only enter the lounge on the travel date shown on your ticket.</p> <p><strong>Facilities</strong></p> <p>Dedicated business areas are fully equipped with telephone points, desks, fax photocopier and modem facilities, screens with updated train information.</p> <p> <strong>Refreshments</strong></p> <p>Tea, coffee, soft drinks.</p> <p><strong>Wi-Fi</strong></p> <p>Wi-Fi is available</p> <p><strong>Showers</strong></p> <p>No showers are available</p> <p> </p>",,"Y","Y",,,"Y",,"Y",,"Y","Y",,"Y",,"N","Y","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=B40 1PA&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Birmingham International station</a></p>","N",,"N","Y",,"N",,"Y",,"Y",,"Y",,,,,,"Y","Y",,"Y",,"N","Y",,,,"N",,"<p>lifts to all platforms</p>","Y",,,,"Y",,"Y",35,"Yes","Y","Front of station by taxi rank",,"Stands, Wheel Racks","<p>Rail replacement coach services can be found at the front of the station opposite the long stay car park.</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/BHI.pdf"">here</a></p>",,,,,,,"VT",,"EDF8BD7119A543BDA3BA081BA2F6D2AF"
"CAR","Carlisle","dwalker","13/03/2014",211800,"CARLISLE.","Court Square","Carlisle","Cumbria",,,"CA1 1QZ",-2.9338102284,54.8906462619,"VT","fullTime","Y",,,,,"N",,"Y","<p>In Ticket Hall</p>","TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"Y",,,,"N","Y",,,"Y",,"Y",,"Y","Y",,"Y",,"N","Y","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=CA1 1QZ&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Carlisle station</a></p>","N",,"N","Y",,"N",,"Y",,"N","News agent","Y",,,,,,"Y","Y",,"Y",,"Y","Y",,,,"N",,"<p>ramped footbridge, staff available to assist</p>","N",,,,"Y",,"Y",20,"Yes","Y","At the top of the long stay car park, and on platform 8.",,"Lockers, Wheel Racks","<p>Rail replacement coach services can be found at the front of the station</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/CAR.pdf"">here</a></p>",,,,"<p>Hertz</p>","Peddalpushers<BR>Lonnings End, Sandy Lonning, Brampton, CA8 1RA &nbsp;",,"VT",,"F572F5411F8D4E7FA290F2B7BF8143AA"
"COV","Coventry","dwalker","27/03/2014",103000,"COVENTRY.","Station Square","Eaton Road","Coventry","West Midlands",,"CV1 2GT",-1.5134605167,52.400828377,"VT","fullTime","Y",,,,,"Y",,"Y","In Ticket Hall","TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"Y",,"<p> <p><strong>Located</strong> <p>Platform 1</p> <p><strong> <p>Tickets Accepted</p> </strong></p> <p>Virgin Business, First Open or Advance First tickets. You can only enter the lounge on the travel date shown on your ticket.</p> <p><strong> <p>Facilities</p> </strong></p> <p>Dedicated business areas are fully equipped with telephone points, desks, fax photocopier and modem facilities, screens with updated train information.</p> <p><strong> <p>Refreshments</p> </strong></p> <p>Tea, coffee, soft drinks.</p> <p> <p><strong>Wi-Fi</strong></p> <p>Wi-Fi is available</p> </p> <p><strong> <p>Showers</p> </strong></p> <p>Showers are not available</p> </p> </p>",,"Y","Y",,,"Y",,"Y",,"Y","Y",,"Y",,"N","Y","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=CV1 2GT&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Coventry station</a></p>","Y",,"N","Y",,"N",,"Y",,"N",,"Y",,,,,,"Y","Y",,"Y",,"N","Y",,,,"N",,"<p>lifts to platforms 2/3 & 4</p>","Y",,,,"Y",,"Y",30,"Yes","Y","all platforms","<p>Charge made for locker</p>","Wheel Racks","<p>Rail replacement coach services can be found at the front of the station.</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/COV.pdf"">here</a></p>",,,,,,"<p style=""margin: 0cm 0cm 0pt;""><span>Please be aware that there are major roadworks taking place near the station which are expected to last until June 2015.</span></p> <p style=""margin: 0cm 0cm 0pt;""><span> </span><span>The works will affect customers arriving at Coventry station as re-development work is taking place at a major junction on the approach to the station entrance.</span></p>","VT",,"6B1A5FE6825442CA95D6D7854CC1BC00"
"CRE","Crewe","dwalker","13/03/2014",124300,"CREWE","Nantwich Road","Crewe","Cheshire",,,"CW2 6HR",-2.4329771737,53.0896432517,"VT","fullTime","Y",,,,,"N",,"Y","<p>In Ticket Hall</p>","TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"Y",,"<p><strong>Location</strong></p> <p>On the concourse above platform 5.</p>",,"Y","Y",,,"Y",,"Y",,"Y","Y",,"Y",,"N","Y","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=CW2 6HR&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Crewe station</a></p>","N",,"N","Y",,"N",,"Y",,"N",,"Y",,,,,,"Y","Y",,"N",,"N","Y",,,,"N",,"<p>lifts to platforms</p>","Y",,,,"Y",,"Y",80,"Yes","Y","all platforms","<p>Cycle storage is only available on Platforms 5, 6 & 11</p>","Stands, Wheel Racks","<p>Rail replacement coach services can be found at the side of the station on the left as you exit.</p> <p>Northern Rail buses pick up / drop off in the Horse Landing area at the designated bus stop. <br /> </p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/CRE.pdf"">here</a></p>",,,,,"Tracs (U.K.) Ltd<BR>Linmere visitor centre<BR>Delamere Forest<BR>Northwich<BR>Cheshire<BR>CW8 2JD<BR><A href=""http://www.tracs-uk.co.uk/"">www.tracs-uk.co.uk</A><BR>07949088477&nbsp;",,"VT",,"0D80914EAD21436D83B9ED2AC4E51CEA"
"LAN","Lancaster","dwalker","13/03/2014",268500,"LANCASTER.","Meeting House Lane","Lancaster","Lancashire",,,"LA1 5NW",-2.8079099139,54.048557891,"VT","fullTime","Y",,,,,"N",,"Y","<p>Ticket hall and platform 3</p>","TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,"01707 373734",,,,"Y",,,,"N","Y",,,"Y",,"Y",,"Y","Y",,"Y",,"N","Y","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=LA1 5NW&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Lancaster station</a></p>","N",,"N","N",,"N",,"Y","Located on concourse Located by the ticket office","N","News agent","Y",,,,,,"Y","Y",,"Y",,"N","Y",,,,"N",,"<p>lifts to platforms</p>","Y",,,,"Y",,"Y",20,"Yes","Y","all platforms",,"Stands","<p>Pick Up / Drop Off at the bus stop outside the station rear entrance.</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/LAN.pdf"">here</a></p>",,,,,"Leisure Lakes Bikes<BR>103 Penny Street <BR>Lancaster<BR>01524 844389<BR><A href=""mailto:lancaster@leisure-lakes.co.uk"">lancaster@leisure-lakes.co.uk</A><BR><A href=""http://www.leisurelakesbikes.co.uk/"">www.leisurelakesbikes.co.uk</A>",,"VT",,"1C8AB37D8D6E4097B45BE20360A1F687"
"MAC","Macclesfield","dwalker","13/03/2014",287100,"MACCLESFIELD","Watersgreen","Macclesfield","Cheshire",,,"SK11 6JP",-2.1213804779,53.2593560928,"VT","fullTime","Y",,,,"<p>Help point available in the car park.</p>","Y",,"Y","Ticket hall","TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"Y",,,,"N","Y",,,"Y",,"Y",,"Y","Y",,"Y",,"N","Y","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=SK11 7JP&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Macclesfield station</a></p>","N",,"N","N",,"N",,"N",,"N",,"Y",,,,,,"Y","Y",,"N",,"N","Y",,,,"N",,"<p>lifts to platforms</p>","Y",,,,"Y",,"Y",20,"Yes","Y","all platforms","Charge made for locker",,"Pick Up / Drop Off on station forecourt.",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/MAC.pdf"">here</a></p>",,,,,,,"VT",,"7B0D802943F34611B0B6714FDE8269A4"
"OXN","Oxenholme Lake District","dwalker","07/01/2014",209000,"OXENHOLME LAKE D","Oxenholme Road","Kendal","Cumbria",,,"LA9 7HG",-2.7222531831,54.3052479653,"VT","fullTime","Y",,,,,"N",,"Y","In Ticket Hall","TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"Y",,,,"N","Y",,,"Y",,"Y",,"Y","Y",,"Y",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=LA9 7HG&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Oxenholme Lake District station</a>","N",,"N","Y",,"N",,"N",,"N",,"Y",,,,,,"Y","Y",,"Y",,"N","Y",,,"<p>The nearest station(s) with more facilities than Oxenholme Lake District are:</p> <ul> <li>Kendal</li> </ul>","N",,"<p>access to platforms 2 & 3 via steep ramp, staff available to assist</p>","N",,,,"Y",,"Y",10,"Yes","Y","all platforms",,"Stands, Wheel Racks","<p>Rail replacement coach services can be found at the front of the station.</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/OXN.pdf"">here</a></p>",,,,,,,"VT",,"BC71E47186B64DAA8C10D1237C9E1645"
"PNR","Penrith (North Lakes)","dwalker","13/03/2014",210200,"PENRITH","Ullswater Road","Penrith","Cumbria",,,"CA11 7JQ",-2.7580354209,54.661811699,"VT","fullTime","Y",,,,,"Y",,"Y","Booking hall","TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"Y",,,,"N","Y",,"Plaform 1 05:30 - 21:30 Platform 2 05:30 - 22:30","Y","<p>Platform1 and Platform 2 </p>","Y",,"N","Y",,"Y",,"N","Y","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=CA11 7JQ&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Penrith station</a></p>","N",,"N","Y",,"N",,"N",,"N",,"N",,,,,,"Y","Y",,"Y",,"N","Y",,,,"Y",,"<p>barrow crossing to platform 2, staff available to assist</p>","N",,,,"Y",,"Y",10,"Yes","Y","all platforms","<p>Charge made for locker</p>","Stands, Wheel Racks","<p>Rail replacement coach services can be found at the front of the station.</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/PNR.pdf"">here</a></p>",,,,,"Electric Cycle centre - Auction Mart Lane Castlegate Penrith, Cumbria CA11 7JD&nbsp; -&nbsp; <A href=""mailto:electriccyclcles@live.co.uk"">electriccyclcles@live.co.uk</A>&nbsp; 01768864775<BR>&nbsp;<BR>St Patricks Boat and cycle hire - Glenridding&nbsp; Ullswater Penrith&nbsp; Cumbria CA11 0QQ - <A href=""http://www.stpatricksboatlanding.co.uk/"">www.stpatricksboatlanding.co.uk</A>&nbsp; 01768482393&nbsp;",,"VT",,"3A2644CEC47446049AE3463EDEC90F6B"
"PRE","Preston (Lancs)","dwalker","09/01/2014",275300,"PRESTON LANCS","Platform 3/4","Fishersgate","Preston","Lancashire",,"PR1 8AP",-2.7081246571,53.756870522,"VT","fullTime","Y",,,,"<p>Information Kiosk on Platform 3</p>","Y",,"Y","<p>Booking hall</p>","TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"Y",,,,"N","Y",,,"Y",,"Y",,"Y","Y",,"Y",,"N","Y","CardsAndCoins","<a href='http://btopenzone.hotspot-directory.com/results.php?txtQuick=PR1 8AP&z=9&radRoaming=1' target='_blank'>Find WiFi Hotspots around Preston station</a>","N",,"N","Y",,"N",,"Y",,"N",,"Y",,,,,,"Y","Y",,"N",,"Y","Y",,,,"N",,,"Y",,,,"Y",,"Y",30,"Yes","Y","all platforms","<p>Charge made for locker. Storage located on Platform 7</p>","Stands, Wheel Racks","<p>Pick Up / Drop Off in the short stay car park on Butler St.</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/PRE.pdf"">here</a></p>","<p>No Metro services</p>",,,"<p>Nearest Eurocar about half a mile from the station</p>",,,"VT",,"242F5F0A359C4F5591358A04C8A8C8BD"
"RUG","Rugby","dwalker","24/02/2014",108700,"RUGBY.","Station Approach","Rugby","Warwickshire",,,"CV21 3LA",-1.250477907,52.3791079756,"VT","fullTime","Y",,,,,"Y",,"Y","<p>Booking hall</p>","TicketMachine","Y","N","N","NotAvailable","N",,"N","N","NotAvailable","N",,,,,,"N",,,,,,"N",,,,,,,"N",,,,"N","Y",,,"Y",,"Y",,"Y","Y",,"Y",,"N","Y","CardsAndCoins","<p><a href=""http://btopenzone.hotspot-directory.com/results.php?txtQuick=CV21 3LA&amp;z=9&amp;radRoaming=1"" target=""_blank"">Find WiFi Hotspots around Rugby station</a></p>","N",,"N","Y",,"N",,"Y",,"N",,"Y",,,,,,"Y","Y",,"N",,"N","Y",,,,"N",,"<p>steep ramp from entrance to platforms, staff available to assist</p>","Y",,,,"Y",,"Y",48,"Yes","Y","8 at the front of the station, 32 on platform 2 and 8 on platform 4","<p>There are 48 cycle stands in total, each can hold up to 2 cycles. 8 at the front of the station,32 on platform 2 and 8 on platform 4. </p>","Stands, Wheel Racks","<p>Rail replacement coach services can be found at the front of the station,out towards the right hand side near to the short stay car park by the bus garage.</p>",,,"<p>Information to plan your onward journey is available in a printable format&nbsp;<a href=""http://www.nationalrail.co.uk/posters/RUG.pdf"">here</a></p>",,"<p>Nearest Birmingham International Airport</p>",,,,,"VT",,"C0B10757CAFD470386E4D5291D53869C"
