,Toilet Name,Area,Location,Provider,Latitude,Longitude,Eastings,Northings,Postcode,Grid Ref,Location Notes:,24 hours,Open,Closed,Days of the Week open,Open Season - Summer,Closed Season-Winter,Time Notes:,Male,Female,Unisex,Disabled,RADAR,Baby Change,Location of Baby Change,Attendant,Automatic?,Special Provisons,Car Parking, Cost ,Report Problems,Date,Data Collected from,
County Durham,/,Barnard Castleÿÿÿÿ,Morrisons Car Park,/,/,/,/,/,/,/,/,/,06.00 - 18.00,18.00 - 06.00,/,/,/,/,1,1,0,1,Yes,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=579,
County Durham,/,Barnard Castleÿÿÿÿÿ,Market Place,/,/,/,/,/,/,/,/,/,08.00 - 18.00,18.00 - 08.00,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=580,
County Durham,/,Bishop Auckland,Bus Station,/,/,/,/,/,/,/,/,/,07.00 - 17.00,17.00 - 07.00,/,/,/,/,1,1,0,1,Yes,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=581,
County Durham,/,Butterknowle,Pinfold Lane,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=582,
County Durham,/,Chester-le-Street,Foundry Lane,/,/,/,/,/,/,/,/,/,08.00 - 16.00,16.00 - 08.00,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=583,
County Durham,/,Crook,South Street,/,/,/,/,/,/,/,/,/,07.00 - 17.00,17.00 - 07.00,/,/,/,/,1,1,0,1,Yes,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=584,
County Durham,/,Durham,Palace Green,/,/,/,/,/,/,/,/,/,08.00 - 18.00,18.00 - 08.00,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=585,
County Durham,/,Durham,North Road,/,/,/,/,/,/,/,/,/,08.00 - 18.00,18.00 - 08.00,/,/,/,/,1,1,0,0,/,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=586,
County Durham,/,Easington,Black Diamond/Co-opÿÿÿ,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,0,0,0,/,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=587,
County Durham,/,Easington,Commit Hill,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,0,0,0,/,/,/,/,/,/,/, / ,/,15/03/2014,http://www.durham.gov.uk/Pages/Service.aspx?ServiceId=588,
