,Toilet Name,Area,Location,Provider,Provider,Latitude,Longitude,Eastings,Northings,Postcode,Grid Ref,Location Notes,24 hours,Open,Closed,Days of the Week open,Open Season,Closed Season,Notes,Male,Female,Unisex,Disabled,RADAR,Baby Change,Location of Baby Change,Attendant,Automatic?,Special Provisions?,Car Parking, Cost ,Report Problems,Date,Data Collected from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Hessle Mill PC,"Cliff Road, Redcliff Road, Hessle",/,/,/,/,502191,425393,HU13 0HB,/,/,/,06.00 - 18.00,18.00 - 06.00,/,/,/,/,1,1,0,1,Yes,1,/,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Willerby Square Car Park PC,Willerby Square,/,/,/,/,502527,430019,HU10 7AA,/,/,/,05.45 - 18.00,18.00 - 05.45,/,/,/,/,1,1,0,1,Yes,1,Separate,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Sow Hill PC,"Beverley Bus Station, Sow Hill Road",/,/,/,/,503261,439775,HU17 8BG,/,/,/ ,08.30 - 18.00,18.00 - 08.30,/,/,/,/,1,1,0,1,Yes,1,/,/,/,/,/, 0.2 A/10p C ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Dyer Lane PC,"Dyer Lane, Walkergate",/,/,/,/,503355,439639,HU17 8AE,/,/,/ ,08.30 - 18.00,18.00 - 08.30,/,/,/,/,1,1,0,1,Yes,1,Separate,/,/,/,/, 0.2 A/10p C ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Hessle Square PC,The Square,/,/,/,/,503415,426366,HU13 0RB,/,/,/,08.30 - 18.00,18.00 - 08.30,/,/,/,/,1,1,0,1,Yes,1,/,/,/,/,/, 0.2 A/10p C ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Lord Roberts Road PC,Lord Roberts Road,/,/,/,/,503598,439418,HU17 9BE,/,/,/,06.00 - 18.10,18.10 - 06.00,/,/,/,/,1,1,0,1,Yes,0,/,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Market Green PC,"Cottingham Civic Hall, Market Green",/,/,/,/,504577,432839,HU16 5QG,/,/,/,08.30 - 18.00,18.00 - 08.30,Monday - Saturday,/,/,/,1,1,0,1,Yes,1,Separate,/,/,/,/, 0.2 A/10p C ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Belvedere Parade PC,"Bridlington Park & Ride, Belvedere Parade",/,/,/,/,517320,465056,YO15 3LX,/,/,/,07.15 - 16.15,16.15 - 07.15,/,/,/,/,1,1,0,1,Yes,1,In Disabled toilet,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Princess Mary Promenade PC,"Princess Mary Promenade, South Marine Drive",/,/,/,/,517813,465824,YO15 8LG,/,/,/,07.15 - 16.15,16.15 - 07.15,/,/,/,/,1,1,0,1,Yes,1,Separate,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Riding of Yorkshire UA,/,Hilderthorpe Road PC,"Hilderthorpe Rd Coach Park, Hilderthorpe Road",/,/,/,/,517976,466794,YO15 3EP,/,/,/,07.15 - 16.15,16.15 - 07.15,/,/,/,/,1,1,0,1,Yes,1,Separate,/,/,/,/, No Charge ,/,12/04/2014,FOI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
